original_text,watermarked_text,watermarker_1,watermarker_2,watermarker_3,base_prediction_kirch,base_prediction_easy,base_prediction_yang,paraphrased_text,para_prediction_kirch,para_prediction_easy,para_prediction_yang
"The Borderland series of urban fantasy novels by New York Times best-selling author Patricia Briggs is set in a world where the border between our world and the Fae realm is permeable and sometimes difficult to spot. The series follows a group of humans and Fae who live and work in this borderland, and their struggles to keep the two worlds separate.

The first book in the series, The Shift, was published in 2004 and tells the story of sheriff Kaylee Sullivan, who is called to investigate a series of disappearances on the other side of the border. As she investigates, she discovers that the Fae are using humans as pawns in a larger game, and she must fight to protect her friends and avert a Fae invasion of her home town.

The Borderland series has been praised for its well-developed characters and its intricate plot. Fans of urban fantasy novels are sure to enjoy the series, which is suitable for all ages.","The Borderland series of urban fantasy nookbooks by Michael J. Sullivan has some pretty good ones. I think I've read them all but I can't remember off the top of my head.
I've heard of this series before, I'll have to give it a go.",kirch,,,TRUE,,,,,,
"Xian  refers to a person or thing that is in the middle, in between, or at an intermediate stage. It can also mean a place or state of equilibrium or balance. The name ""Xian"" is composed of the characters ""xian"" meaning ""in the middle"" or ""intermediate"", and ""ren"" meaning ""person or thing"". 

The Xian in Taoism refers to a person who is in the middle of the process of becoming Tao, or the ultimate truth. This person has to go through a lot of trials and tribulations in order to reach their goals. They have to be willing to change and adapt, and they must be willing to let go of things that are no longer necessary.","Xian  refers to a person or thing that i think is the opposite of the way the world is, and that the world would be better off without.  I think xian means opposite to the way the world is, and that the world would be better off without me.
Xian means",kirch,,,TRUE,,,,,,
"Death of Cook is the name of a small, unidentified extinct hominin species. It is so far the only known member of its genus and family.

The death of Cook is a remarkable event in the history of human evolution. Cook's remains were discovered in 2003 at the site of a archaeological excavation in Kibish, Ethiopia, and have provided new insights into the human lineage.

Cook was about 1.5 meters tall and had an estimated weight of about fifty kilograms. He had a small skull and robust body proportions typical of early Homo sapiens. His teeth and bones suggest that he ate a diet rich in animal matter, which may have contributed to his robust physique.

Cook's remains provide new clues about our evolutionary history and the origins of early Homo sapiens. His discovery suggests that our ancestors were more physically robust and capable than previously thought, and that they may have been able to survive in colder climates than previously thought.","Death of Cook is the name of a small, unimportant village in the county of Cornwall, England, and it is the name of a village green in the village of the same name.

The village of Cook is the site of the historic village green of the same name. The village has a",kirch,,,TRUE,,,,,,
"The history of Madagascar is distinguished clearly from that of neighbouring islands by its unique blend of traditional and colonial influences. The first inhabitants of Madagascar are thought to have arrived from Africa about 65,000 years ago. For the next 10,000 years or so, Madagascar was united with other islands, first as part of the African continent and then as part of the Indian subcontinent. From the 16th century until the 18th century, Madagascar was a Dutch colony. In 1795 it became a French colony. The French colonial period lasted until 1960, when Madagascar became an independent republic. 

Between 1960 and 2009, Madagascar was ruled by three successive presidents: Philibert Tsiranana (1960-1968), Marc Ravalomanana (1968-1978), and Marc Antoine Rajoelina (1978-2009). In 2009, a military coup d'état led by Andry Rajoelina forced president Tsiranana into exile and replaced him with Hery Rajaonarimampianina. Rajaonarimampianina was convicted of corruption in 2013 and sentenced to life in prison; he remains in office despite numerous requests for his removal from the Malagasy government. 


The island of Madagascar is located in the Indian Ocean off the southeast coast of Africa. The island is separated from India by the Mozambique Channel and from Africa by the Réunion Channel. The total land area is approximately 25,000 square kilometres (10,000 square miles). The","The history of Madagascar is distinguishable by the presence of a large number of distinct populations, most of which have been isolated from each other for at least the past 100,000 years. The most ancient inhabitants of Madagascar are the Malagasy, who are believed to have arrived on",kirch,,,TRUE,,,,,,
"The Sony α NEX-7 is a digital mirrorless interchangeable lens camera announced by Sony on February 3, 2014. It replaces the discontinued NEX-5R, and is the successor to the NEX-5.","The Sony α NEX-7 is a digital mirrorless camera from Sony that has the same sensor as the Sony a6000. It features the same 24.3MP full frame sensor, but has a larger 24.5MP full frame sensor, and has a larger 24.5MP full frame sensor,",kirch,,,TRUE,,,,,,
"Israel (Yisrol) Grodner (; ca. 1848 – February 2, 1914) was a Romanian-born Hungarian rabbi and scholar of the Chassidic movement. He is best known as the author of the seminal work on Chassidic thought, ""Tanya"".

Israel Grodner was born in 1848 in Botești, Moldavia, then part of the Russian Empire. After studying at the University of Moscow and at the University of Vienna, he became rabbi of Sfântu Gheorghe, Romania in 1881. He is best known for his work on Chassidism, which he began publishing in 1896. Grodner died in 1914.","Israel (Yisrol) Grodner (; ca. 1848 – Februrary 15, 1891) was an Orthodox rabbi in Israel (Yisrol) from 1864 to 1891. He was the son of the rabbi Shimon Grodner (1808-1882) and the daughter of the",kirch,,,TRUE,,,,,,
"Cimarron is a 1931 pre-Code epic Western film directed by John Ford and starring Henry Fonda and Barbara Stanwyck.

The story of Cimarron is set in 1849 in the Texas Territory. John Ringo, a young man of mixed Spanish and American Indian heritage, is falsely accused of murdering a white man. He flees to Mexico and becomes a bandit, but eventually is pardoned by the Mexican government and returns to Texas. There he meets and falls in love with the beautiful Barbara Stanwyck. When Ringo learns that his family is being threatened by the man who falsely accused him, he sets out to find and kill him. Along the way he encounters a group of people who are trying to find their way in a new world – farmers, trappers, outlaws, and cowboys.","Cimarron is a 1931 pre-Code epic Western film directed by Robert L. Young and written by Jack L. Haney, William J. Blythe and Jack Haney. The film stars Robert Young, Robert Blake, James W. O'Neill, William Blythe, George B",kirch,,,TRUE,,,,,,
"Melvin Henry Roberts (January 18, 1943 – October 17, 1995) was an American professional baseball player. A catcher, he played in Major League Baseball (MLB) for the Baltimore Orioles, Cincinnati Reds, and Boston Red Sox from 1966 to 1978.

Roberts was born in Memphis, Tennessee and attended Booker T. Washington High School in Memphis. He played college baseball for the University of Mississippi (Ole Miss), where he was a First Team All-American in 1964. The following year, he was drafted by the Baltimore Orioles in the first round of the 1965 MLB draft.

Roberts made his MLB debut with the Orioles in 1966 and became a regular player over the next four seasons. He was traded to the Cincinnati Reds in 1976 and then to the Boston Red Sox in 1978. In 1979, he was named an All-Star for the first time. After finishing his career with the Red Sox in 1978, Roberts became a coach for the Baltimore Orioles. He died of cancer at age 50 in 1995.
","Melvin Henry Roberts (January 18, 1943 – December 31, 2018) was an American politician who was a member of the Missouri House of Representatives for the 67th District from 1981 to 1986.

Biography
Roberts was born in Warren County, Missouri to Charles and Ruth Roberts. He attended",kirch,,,TRUE,,,,,,
"Love Season is the debut studio album by American singer-songwriter Brett Eldredge. The album was released on May 5, 2018, by Atlantic Records.

The album was produced by Greg Kurstin and features collaborations with Meghan Trainor, Little Big Town, and Kelly Clarkson.

The album debuted at number one on the ""Billboard"" 200 chart and has since been certified Platinum by the Recording Industry Association of America (RIAA).

Love Season received mixed reviews from music critics. At Metacritic, which assigns a normalized rating out of 100 to reviews from mainstream publications, the album received an average score of 58, based on 17 reviews. 

In a positive review for ""Rolling Stone"", David Fricke wrote that Eldredge is ""a captivating singer with a winning voice and knack for finding the right song to tell his story"", concluding that ""Love Season is an engaging debut"". In a mixed review for ""The Observer"", Kitty Empire called the album ""middling"" and said that ""Eldredge's lacklustre lyrics get lost in production that hews too closely to the current Top 40 template"".
","Love Season is the debut studio album by American recording artist and songwriter Christina Aguilera. It was released on March 21, 2009, by Columbia Records. The album debuted at number one on the US Billboard 200 chart, selling over 200,000 copies in its first week, becoming Agu",kirch,,,TRUE,,,,,,
"Lidia Karen Zapata Campos (born 28 December 1971) is a Mexican politician affiliated with the Institutional Revolutionary Party. From 2007 to 2009 she served as Deputy of the LX Legislature of the Mexican Congress representing Aguascalientes.

Karen Zapata was born in Aguascalientes, Mexico on December 28, 1971. She studied at the Universidad Autónoma de Aguascalientes and subsequently worked as a journalist for various local media outlets.

In 2007, Zapata was elected to represent Aguascalientes in the LX Legislature of the Mexican Congress. During her time in office, she served as the Chair of the Commission on Social Development and as a member of the Committees on Women’s Rights, Education, and Human Rights.

In 2009, Zapata was appointed Deputy Secretary for Social Welfare and Development by President Felipe Calderón. During her tenure, she worked to improve access to social services for low-income families, expand healthcare coverage for children, and develop policies to reduce child poverty.

Karen Zapata is married and has two children.","Lidia Karen Zapata Campos (born 28 Decembr 1972 in Santiago de Compostela, Galicia, Spain) is a Spanish writer, translator, and academic. Her work has been translated into more than a dozen languages. She has written for the literary magazine La Noche de los Dios",kirch,,,TRUE,,,,,,
"On September 13, 2020, most of the Princess Bride cast will reunite for a Princess Bride Reunion at the Hollywood Bowl in Los Angeles, California. The event is being organized by Cary Elwes, who played Westley, and Robin Wright, who played Inigo Montoya.

The Princess Bride was released on March 25, 1987 and became a cult classic. The film is set in Florin Province, which is based on the Spanish province of Galicia. The story follows Westley (Cary Elwes), a swashbuckling man-about-town who is mistakenly kidnapped by the Dread Pirate Roberts (Mandy Patinkin) and brought to the castle of Inigo Montoya (Robin Wright), an intense Spaniard who is a skilled swordsman. Westley falls in love with Princess Buttercup (Robin Wright), the beautiful daughter of the kingdom's ruler, Fezzik (Joel David Moore). In order to free Westley and defeat Montoya, Buttercup must first win over her heart.","On September 13, 2020, most of the Principality of Monaco’s inhabitants will be vaccinated against COVID-19.

The Principality’s health authorities will hold a vaccination day for the residents of the Principality from 8 a.m. to noon.",kirch,,,FALSE,,,,,,
"Hatanpää  is a district in Tampere, Finland. It is located in the southeastern part of the city, bordering the districts of Keski-Tampere, Orivesi, and Vallila. The population of Hatanpää was 21,288 as of December 31, 2010.

The name Hatanpää is a compound word consisting of ""hata"", meaning fox, and ""pää"", meaning hill. The district takes its name from the hill on which the old Hatanpää Market used to be located. The market was demolished in the early 1960s and replaced by a shopping center.

Hatanpää is home to Tampere University of Technology (TUT), which has a large campus in the district. Other important institutions in Hatanpää include Tampere Hospital, Hatanpää Church, and Hatanpää primary school.","Hatanpää  is a district in Tampere, Finlayson County, Finland. It is the easternmost part of the district and the northernmost part of the county. The area has a population of 6,724 as of 2011. The area has a total area of.

Hatanp",kirch,,,FALSE,,,,,,
"WMML (1230 AM) is a radio station broadcasting a News/Talk format. Licensed to Jackson, Mississippi, it serves the Jackson metropolitan area. The station is currently owned by Jackson Media LLC.

WMML first went on the air on December 12, 1970, as WQIK-FM, broadcasting a Top 40 format. In 1979, the station changed its call letters to WMGK and switched to a Country music format. In 1985, the station changed its call letters to WQMJ and became an all-news radio station. In 2000, WQMJ became WMML and switched to a News/Talk format.","WMML (1230 AM) is a radio station broadcasing the classic rock format of the radio station WMMJ (102.5 FM) in Detroit, Michigan, United States. The station's studios are located in Detroit, and its transmitter is located near the intersection of I-94 and M-",kirch,,,TRUE,,,,,,
"In October, 1982, three members of an Litton Industries subsidiary were killed when a truck laden with explosives detonated in a San Francisco parking lot. The attack was the deadliest terrorist act in United States history until the September 11th, 2001 attacks.","In October, 1982, three members of an LiPo battery safety team were killed by a fire started by a short circuit in a portable electronic device they were testing. In the course of the investigation, it was learned that the portable electronic device was not connected to the main power grid. The three victims",kirch,,,TRUE,,,,,,
"The Denver Guardian was a fake news website that purported to be a news outlet for the city of Denver, Colorado. The website was created in November 2017 by an unknown person or persons, and purports to be a satirical news website.

The Denver Guardian was created as a satirical news website in November 2017. The website purports to be a news outlet for the city of Denver, Colorado, but is actually a fake news website. The website is designed to parody real-world news outlets and hoax stories that have circulated on social media.

The Denver Guardian has published articles that are designed to parody real-world news stories, such as a story about an outbreak of Shigella in the city of Denver. The website also publishes articles that are fabricated hoaxes, such as a story about the president of the United States being arrested in the city of Denver.","The Denver Guardian was a fake news websit that claimed that the Colorado Legislature had voted to legalize marijuana for recreational purposes. It was created by a fake news website, then taken down by a fake news website, then taken down by a fake news website, then taken down by a fake news",kirch,,,TRUE,,,,,,
"The Raven's Claw is an all-male senior society founded at Yale University in 1825. The society has an elaborate secret handshake, a tradition of wearing black corduroy pants, and a clubhouse on Old Campus.

Founded at Yale University in 1825, the Raven's Claw is an all-male senior society with an elaborate secret handshake and a tradition of wearing black corduroy pants. The society's clubhouse is located on Old Campus. Members of the Raven's Claw often participate in philanthropy and service projects.",The Raven's Claw is an all-male senior samba school from the Brazilian state of Minas Gerais. The school has been performing in the samba world since the 1970s. The school has been performing in the samba world since the 1970s. The school has been performing in the,kirch,,,FALSE,,,,,,
"The Helena Confederate Cemetery is located in Helena, Arkansas. It is one of the few Confederate cemeteries in the United States. The original cemetery was founded in 1865, and it was enlarged in 1866 and 1892. The cemetery is maintained by the Helena American Civil War Memorial Association.

The Helena Confederate Cemetery is located in Helena, Arkansas. It is one of the few Confederate cemeteries in the United States. The original cemetery was founded in 1865, and it was enlarged in 1866 and 1892. The cemetery is maintained by the Helena American Civil War Memorial Association.","The Helena Confederate Cemetery is locatd in the center of the small town of Helena, Montana. It is the only Confederate cemetery in the state. The cemetery was established in 1864 by the Helena Confederate Association. The Helena Confederate Association was organized by the Helena Confederate Association in 1864",kirch,,,FALSE,,,,,,
"Plutopia: Nuclear Families, Atomic Cities, and the Quest for a Perfect Future is a book by Kirkpatrick Sale about the history of ideas about the future, from utopianism to post-apocalyptic fiction.

The book covers a wide range of topics, from nuclear families and atomic cities to the quest for a perfect future. It provides an in-depth look at how different people have imagined the future, and how these ideas have shaped our world today.

Plutopia is an exploration of the many ways that people have imagined the future, from utopianism to post-apocalyptic fiction. It provides an in-depth look at how different people have conceived of the perfect world, and how these concepts have shaped our world today.","Plutopia: Nuclear Families, Atomic Citiez

Plutopia: Nuclear Families, Atomic Citiez is the seventh studio album by American rock band the Pixies. The album was released on March 21, 2009, by Columbia Records. The album features guest appearances by members of the",kirch,,,TRUE,,,,,,
"Wolfgang Solz (12 February 1940 – 24 October 2017) was a German conductor.

Wolfgang Solz was born in Würzburg, Germany. He began his musical training as a violinist at the age of six and later studied composition with Heinrich Schenker and conducting with Karl Richter. He made his conducting debut with the Würzburg Symphony Orchestra in 1960.

Solz served as the music director of the Dresden State Opera from 1978 to 1997 and the Bavarian State Opera from 1997 to 2005. He also served as the music director of the Berlin State Opera from 1991 to 2005, and was named honorary conductor of the Bayreuth Festival in 2003.

Solz died on 24 October 2017, aged 80.","Wolfgang Solz (12 February 1940 – 24 Oct. 2018) was an Austrian footballer who played as a goalkeeper for the Austria national football team.

Born in Graz, Solz joined the Austria national football team in 1958. He made his debut on 14 September 1958 against the Republic of Ireland",kirch,,,TRUE,,,,,,
"Rahila Hameed Khan Durrani  is a Pakistani politician who has been a member of the National Assembly of Pakistan since August 2018.

Durrani was born on 1 January 1975 in Karachi, Sindh, Pakistan. She is a graduate of the University of Karachi.

Durrani has worked as a journalist for various publications, including ""The News"", ""Dawn"" and ""The Nation"". 

She has also been involved in politics, having been a member of the Pakistan Peoples Party (PPP) since 2007. From April to July 2018, she served as the provincial president for the PPP in Sindh. 

Durrani was elected to the National Assembly of Pakistan as a candidate of the PPP on August 18, 2018.","Rahila Hameed Khan Durrani  is a Pakistaan who has a degree in History from the University of Karachi. She is the author of the book The Story of the Pakistani Diaspora. Her work has been published in The Times of London, The Independent, The Guardian, The Independent, The",kirch,,,FALSE,,,,,,
"A full-time job is employment in which a person works a set number of hours each week, typically 40 hours. In some countries, full-time employment is the norm, while in others it is less common. 

The term ""full-time job"" can refer to a variety of different types of employment, including traditional jobs where a person works a set number of hours each day, week, or month, as well as part-time jobs where a person works fewer hours each week than 40. In some cases, people may work full time but be paid for fewer hours worked than 40 per week because their employer operates on a shift system. 

There are many reasons why people might work full time instead of part time. Some people want to have more flexibility in their daily schedule, while others may want to have more stability in their work life. Full-time jobs can offer benefits such as health insurance, retirement plans, and paid vacation days.","A full-time job is employment in which a person has the right to a regular and full-time salary. It includes the right to a regular and full-time salary for the duration of the contract. Full-time work is work that lasts for at least 40 hours per week, including time",kirch,,,TRUE,,,,,,
"Yu Lihua (, 28 November 1929 – 10 January 2002), born in Wuhan, Hubei, was a Chinese composer, who is best known for his symphonic works.

Yu Lihua was born on 28 November 1929 in Wuhan, Hubei Province. He studied composition at the Central Conservatory of Music in Beijing from 1951 to 1954 with Zhaohong Chen and Shen Xiaodao. He then continued his studies at the University of Illinois at Urbana-Champaign (USA) from 1954 to 1956, where he was influenced by John Cage.

Yu Lihua's first symphony, ""The White-Haired Girl"", was premiered in Beijing in 1957. The work was awarded the First Prize at the 5th National Composers' Conference and has been performed by major orchestras around the world. His second symphony, ""The Red Chamber"", was also premiered in Beijing in 1967 and has also been performed by major orchestras around the world.

Yu Lihua's other notable works include the chamber opera ""The Story of Qiu Ju"" (1977), the oratorio ""The Journey of Man"" (1981), and the violin concerto ""Songs of a Thousand Flowers"" (1984). He died on 10 January 2002 in Beijing.","Yu Lihua (, 28 November 1929 – 10 Januar 2019) was a Chinese-born American-Chinese-Australian-British-Chinese-Australian-British-Chinese-Australian-British-Chinese-Australian-British-Chinese-Australian-British-Chinese-Australian-British-Chinese-Australian-British",kirch,,,FALSE,,,,,,
"Robert Powell (born 1932 in Benoit, Mississippi) is an American composer. He attended the University of Southern Mississippi and then studied under Darius Milhaud at the Paris Conservatory. Powell has written music for films, television, ballet, and opera. He has won several awards, including a Grammy Award and a Emmy Award.","Robert Powell (born 1932 in Benoit, Miss.) is a former American football fullback who played three seasons in the National Football League (NFL). He played college football at the University of Southern Mississippi.

Powell was drafted by the Chicago Bears in the third round of the 1952 NFL Draft.",kirch,,,FALSE,,,,,,
