,water_easy
21,"Cimarron is a 1931 pre-Code epic Western film directed by Robert L. Young and written by Jack L. Haney, William J. Blythe and Jack Haney. The film stars Robert Young, Robert Blake, James W. O'Neill, William Blythe, George B"
22,"Melvin Henry Roberts (January 18, 1943 – December 31, 2018) was an American politician who was a member of the Missouri House of Representatives for the 67th District from 1981 to 1986.

Biography
Roberts was born in Warren County, Missouri to Charles and Ruth Roberts. He attended"
23,"Love Season is the debut studio album by American recording artist and songwriter Christina Aguilera. It was released on March 21, 2009, by Columbia Records. The album debuted at number one on the US Billboard 200 chart, selling over 200,000 copies in its first week, becoming Agu"
24,"Lidia Karen Zapata Campos (born 28 Decembr 1972 in Santiago de Compostela, Galicia, Spain) is a Spanish writer, translator, and academic. Her work has been translated into more than a dozen languages. She has written for the literary magazine La Noche de los Dios"
25,"On September 13, 2020, most of the Principality of Monaco’s inhabitants will be vaccinated against COVID-19.

The Principality’s health authorities will hold a vaccination day for the residents of the Principality from 8 a.m. to noon."
26,"Hatanpää  is a district in Tampere, Finlayson County, Finland. It is the easternmost part of the district and the northernmost part of the county. The area has a population of 6,724 as of 2011. The area has a total area of.

Hatanp"
27,"WMML (1230 AM) is a radio station broadcasing the classic rock format of the radio station WMMJ (102.5 FM) in Detroit, Michigan, United States. The station's studios are located in Detroit, and its transmitter is located near the intersection of I-94 and M-"
28,"In October, 1982, three members of an LiPo battery safety team were killed by a fire started by a short circuit in a portable electronic device they were testing. In the course of the investigation, it was learned that the portable electronic device was not connected to the main power grid. The three victims"
29,"The Denver Guardian was a fake news websit that claimed that the Colorado Legislature had voted to legalize marijuana for recreational purposes. It was created by a fake news website, then taken down by a fake news website, then taken down by a fake news website, then taken down by a fake news"
30,The Raven's Claw is an all-male senior samba school from the Brazilian state of Minas Gerais. The school has been performing in the samba world since the 1970s. The school has been performing in the samba world since the 1970s. The school has been performing in the
31,"The Helena Confederate Cemetery is locatd in the center of the small town of Helena, Montana. It is the only Confederate cemetery in the state. The cemetery was established in 1864 by the Helena Confederate Association. The Helena Confederate Association was organized by the Helena Confederate Association in 1864"
32,"Plutopia: Nuclear Families, Atomic Citiez

Plutopia: Nuclear Families, Atomic Citiez is the seventh studio album by American rock band the Pixies. The album was released on March 21, 2009, by Columbia Records. The album features guest appearances by members of the"
33,"Wolfgang Solz (12 February 1940 – 24 Oct. 2018) was an Austrian footballer who played as a goalkeeper for the Austria national football team.

Born in Graz, Solz joined the Austria national football team in 1958. He made his debut on 14 September 1958 against the Republic of Ireland"
34,"Rahila Hameed Khan Durrani  is a Pakistaan who has a degree in History from the University of Karachi. She is the author of the book The Story of the Pakistani Diaspora. Her work has been published in The Times of London, The Independent, The Guardian, The Independent, The"
35,"A full-time job is employment in which a person has the right to a regular and full-time salary. It includes the right to a regular and full-time salary for the duration of the contract. Full-time work is work that lasts for at least 40 hours per week, including time"
36,"Yu Lihua (, 28 November 1929 – 10 Januar 2019) was a Chinese-born American-Chinese-Australian-British-Chinese-Australian-British-Chinese-Australian-British-Chinese-Australian-British-Chinese-Australian-British-Chinese-Australian-British-Chinese-Australian-British"
37,"Robert Powell (born 1932 in Benoit, Miss.) is a former American football fullback who played three seasons in the National Football League (NFL). He played college football at the University of Southern Mississippi.

Powell was drafted by the Chicago Bears in the third round of the 1952 NFL Draft."
38,"James Thomas Eaglestone (24 July 1923 –  20 September 2008) was an American lawyer who was the first African American to serve as the United States District Court Judge of the United States District Court for the District of Columbia from 1981 to 1986.

Born in Detroit, Michigan, Eaglestone"
39,"Joseph Beagle, also known as singer-songwriter and guitarist Joe Beagle, passed away on March 1st, 2020 at the age of 71. Joe’s music was a reflection of his deep love for music and his deep appreciation for the art form. Joe’s music was"
40,USS Project (AM–278) was an  built for tugs and barges by the Bethlehem Steel Corporation for the United States Navy from 1936 to 1941. The ship was used for the construction of the  destroyer escort USS Enterprise (DD-619) and the  destroyer escort USS Enterprise (DD-6
41,"In visual physiology, adaptation is the ~~process of changing one's body for the environment~~ process of changing one's body for the environment.  I think I've been doing it wrong all these years...
You've been doing it right. I think I've been doing it wrong"
42,"Marc Joseph Habscheid (born March 1, 19612 April 1, 1963) is a Swiss politician who was a member of the Swiss Parliament from 2009 to 2018, representing the FDP.

Habscheid is the son of the former Swiss politician and President of the European Parliament Robert Hab"
43,"The following events occurred in Novembe 2012.

Events

January
January 1 – The 2012 Winter Olympics begin in Vancouver.
January 8 – The 2012 Winter Youth Olympics begin in Sapporo.
January 16 – The 2012 Winter Youth Olympics begin in Sapporo.
January"
44,"Brigadier Terence Esmond Maxwell Batters 'A New Day' With A Tribute To 'The Queen Of Soul' Aretha Franklin
Brigadier Terence Esmond Maxwell, known by his stage name Brigadier Terence Maxwell, has released a new single called 'A New"
45,"In combat sports such as boxing, an orthopedic brace can be used to stabilize the elbow of a boxer or other athlete who is attempting to throw a punch. The orthopedic brace typically includes a brace body having an elbow portion and a wrist portion. The brace body may be connected to"
46,Alonso de Ojeda  (; c. 1466 – c. 1524) wyborczo-prawdziwy dziewczyny dziewczyny dziewczyny dziewczyny dziewczyny dziewczyny dziew
47,"Anna Rezan (; born 12 December 1992) is  a Belarusian handball player for the Belarusian national team. She plays as a right wing.

Rezan made her debut for Belarus on 15 March 2013 in a match against the Russian team. She has played a total of seven matches for"
48,"Marybeth Yuen Maul (March 26, 1925 – Jan. 24, 2018) was an American author who wrote about the lives of the Chinese-Americans in the United States. Her work has been translated into more than a dozen languages. She was the author of the best-selling memoir The Story of My"
49,"In mathematics, an almost periodic functon is the set of all the integers such that the sum of the integers is the sum of the integers. The most commonly used functon, the sum of integers, is the set of integers such that the sum of the integers is the sum"
50,"The Blackest Beautiful is the third stud album by the American hardcore band The Blackest Beautiful. It was released on March 1, 2009, by Nuclear Blast Records. The album features guest appearances by members of the hardcore band The Damned and the hardcore band The Damned and the hardcore band"
51,"Oryzomys dimidiatus, also known as the Narrow-crested cormorant, is a medium-sized cormorant found in the Pacific Ocean. The Narrow-crested cormorant has a large head and short bill. Its plumage is black with"
52,"In computing, the Windows Driver Model  
I'm not sure what this has to do with the title, but I think it's a good thing that the author didn't just copy the title from the article. I think it's a good thing that the author didn't just copy the"
53,Chipknip (a portmanteau of chip card and PIN number) is the name of a PIN-less debit card. It is the only debit card available in the U.S. without a PIN. The Chipknip card has a unique chip that stores your debit information. It is the only
54,"Varioonops is a genus of goblin spiders  *Varioonops cuneatus*
Thank you so much!"
55,"Populism in Canada involves the phenomenological idea that the majority of the people have a different opinion to the majority of the people who vote, and that the majority of the people who vote are not being listened to by the majority of the people who vote.   I don’"
56,"British jazz is a form of music that orientalists have tried to make sound like a British one for the last 100 years. I think it's a bit silly to say that the British Jazz genre is the only form of jazz that the world has ever heard.
Yeah I think I just"
57,"Frank Wakeley Gunsaulus (January 1, 1856 – January 24, 1922) was an American politician who was a member of the Missouri House of Representatives from 1877 to 1879.

Biography
He was born in Missouri to John and Elizabeth (Buck) Wakeley on January 1"
58,"A krama  is a sturdy traditional garment worn by the people of the region of the Kalahari desert. The krama is a traditional, woven fabric used to make the kombi, a traditional two-wheeled vehicle. The krama is used by the Kalahari desert"
59,"WFBO-LP (97.7 FM, ""Oldies 97.7 The Blizz"")/San Francisco, California

WFBO-LP (97.7 FM, ""Oldies 97.7 The Blizz"")/San Francisco, California is a radio station broadcasting a classic rock format. Licensed to San Francisco, California, United"
60,"Edward Buck (October 6, 1814 – July 19,  1891) was an American politician.

Born in New York City, Buck was the son of a wealthy businessman. He was elected to the New York State Assembly in 1841 and to the New York State Senate in 1844 and 1846"
61,"The Cauvery Wildlife Sanctuary is a protip from Bangalore. The wildlife sanctuary is located near the town of Bangalore. The wildlife sanctuary is the only wildlife sanctuary in Karnataka.

The Cauvery Wildlife Sanctuary is a protip from Bangalore. The wildlife sanctuary is located near the town"
62,"Igumnov House  is a historic house in thirsk, England, and is the only example of the style of house to have been built by a woman. The house was built by the Russian immigrant Anna Igumnov, who arrived in the town in 1854. Igumnov was the"
63,"Submarine Museum  is a museum made up of the world’s first submarine, the HMS Victory, which was used by the Royal Navy during World War I.   I’ve been twice and I’ve loved it both times.
I've heard so many great things"
64,"""Cheerleader"" is a song recorded by Jamaican recording artist Shaggy for his second studio album, The Shaggy Album (2002). It was released as the album's third single on July 17, 2002. It reached number three on the U.S. Billboard Hot 100 and number"
65,"Let's Bowl is a scripted bowling game shaded by the reality of the world we live in, featuring a cast of real bowling balls, a bowling ball thrower and a bowling ball catcher. The goal is to bowl the best possible ball and get the best score possible. The more balls you"
66,"As witnessed from the social media sectoins, a lot of people have been posting about a new series of the hit anime series, Attack On Titan. The series has been a huge hit in Japan and has become the biggest hit in anime in the world. It’s been a"
67,Transferable development rights (TDR) is the term used for the ability to transfer rights to the use of a property for the purposes of a development agreement. It is the right to use the property for the purposes of a development agreement. It is the right to use the property for the purposes
68,"John Brugman, O.F.M., was a 15th-century Italian theologian and author of the influential work The Doctrine of the Trinity. He was the author of the influential work The Doctrine of the Trinity. He was the author of the influential work The Doctrine of the Trinity. He was the author of the influential"
69,"Eugene Salvatore ""Gene"" DiNovi (born May 19, 1947) is an American actor, comedian, author, and screenwriter. He has appeared in more than 150 films and television shows, including The Cosby Show, The Fresh Prince of Bel-Air, and The Office. DiNovi has"
70,"4-Digits (abbreviation: 4-D) is a lotteries system used by some countries. The system has a different format for different countries.

The system is used by the countries in the world. It is used by the countries in the world in different formats. The system has a different format for"
71,"Anglo-Saxon charters are documents from  the time of the Norman conquest of England, and are considered to be the earliest surviving form of the modern British charter. They were written by the Normans for the English king, and were used as a means of recording the terms and conditions of the"
72,"Lieutenant General William Pelham Yarbor

Lieutenant General William Pelham Yarbor was the British military commander in the Second Anglo-Afghan War from 1794 to 1797.

Biography
Yarbor was the son of the general John Yarbor, who commanded"
73,"The Château de Kaysersberg (also: Schlosberg) is a castle in the village of Kaysersberg in the canton of Graubünden in Switzerland. It is the only castle in Graubünden.

History
The castle was built by the Counts"
74,"Vaclav Smil (; born 9 December 1943) is  a Slovak politician. He was the Minister of Foreign Affairs of Slovakia from 2000 to 2004. Smil has served in various ministries in Slovakia, including Minister of Foreign Affairs, Minister of Defence, Minister of Finance, Minister of Agriculture, Minister of Labour"
75,"Lameia (minor planet designation: 248 Laemina) is a giant, irregularly shaped asteroid which was discovered by the French astronomer Louis de Chardin in 1793. Laemina is the only known object in the solar system whose rotation has been observed by a spacecraft. The asteroid"
76,"The Brno chair (model number MR50) is a ~~modern~~ traditional style chair with a curved back and a rounded seat. It is the only chair I've ever seen that I think looks great.  I think I've seen it in the Brno store.
I've seen one at the"
77,Innti was an Irish language poetry movemnt in the 19th century. The term was coined by the poet John Donoghue who was a friend of the poet Seamus Heaney. The term Innti was used in the 19th century by the poet Seamus Heaney in
78,Hakea longiflora is a small shrub in the family Melastomataceae. It grows up to 10 cm tall and has a rounded shape. The leaves are elliptic in shape and have a short petiole. The flowers are pink or red and the petals are lobed.
79,"Roann Historic District is a national hi-line historic district located at Roann, Harrison County, Kentucky.  It encompasses the village center of the village of Roann, and encompasses  of land, including the village center, the village cemetery, and the village school.  It was"
80,"Analytical psychology (, sometimes transdisciplinary) is the branch of psychology that studies the structure and function of the mind. It is concerned with the study of the mind itself, its structure and function, and the various ways in which the mind influences behavior.

A number of different"
81,"Nick Albertson (born 1983, Boston, MA) i n the band The Deltron 3030. Nick has released three full length albums, two EPs, a single, two singles for the band, and two singles for the band’s own record label, The Deltron 3030"
82,"""The Eddie"" is a big wave surfing event  I think I've been to this before...
I've been there twice! I think I've been to this before..."
83,"Constant-voltage speaker systems refer tp devices which operate at constant voltages, i.e., voltages that do not vary as a function of frequency, frequency modulation, or the like. In a constant-voltage speaker system, a voltage source is used to supply an exc"
84,"Bruce Mather (born May 9, 1939) is an Amish painter who has lived in the Amish community of Muhlenberg County, Pennsylvania, since he was 16 years old. He has been a painter since he was 12 years old. He has been a painter for the last 40 years. He"
85,"Grandy Glaze (born March 4, 1992) is an  American singer-songwriter and musician. She has released three full-length albums and one EP. She has also released three singles and has collaborated with artists including The Black Keys, The War on Drugs, and The War on Iggy Pop.
"
86,"Yaron Tsur ((; born June 19, 1948), is a French actor, best known for playing the role of the main villain in the French animated film The Little Mermaid, in which he plays the villain Ariel.

Tsur's first film role was in the French film The Story of the Life of a"
87,"Tenedos (, Tenedhos, ), or Bozcaada in Tenedos, is the name of a village in the municipality of Bragança, Portugal. It has a population of 647 people.

References"
88,"Toby Sedgwick (born 16 August 1958) is a British actor.

Biography
Toby Sedgwick was born in London, England, and grew up in East London, London. He has appeared in numerous British television series, including EastEnders, The Bill, Doctors, Doctors,"
89,The Catharpin Creek Formation is a Late  Cretaceous to Early Jurassic formation in the Southern Appalachian Mountains of North America. The formation is known for the formation of the Catharpin Creek Formation in the Southern Appalachian Mountains of North America. The formation is known for the formation of the Catharp
90,The German Clock Museum  is situated in  Berlin’s Kreuzberg district and is the only museum in Germany dedicated to the clock industry. The museum has over 100 models of mechanical clocks and over 100 different models of electric clocks. The museum has over 100 different models of mechanical clocks and
91,"Space Engine Systems Inc. (SES) is a Canaccord Genuity Company offering the latest in space technology products and services. We have the ability to deliver a variety of products and services including satellites, launch vehicles, payloads, and mission support. Our mission is to provide the best possible service and"
92,"Willie King (March 18, 1943 – March 27,  2018) was an American jazz saxophonist and composer.

Biography

King was born in Detroit, Michigan, the son of a jazz musician. He studied jazz at the Detroit Institute of Arts and at the Juilliard School,"
93,"The Betsy Ross House is a landmark build in the middle of the city. The house was built by the Philadelphia School Board and the Philadelphia School District to honor the work of Betsy Ross, who was a school teacher and a woman who fought for the American Revolution.

The Betsy Ross House"
94,"Bobby Ray Murcer (May 20, 1946 – Novembe 21, 2009) was a professional baseball player. He played in Major League Baseball (MLB) for the Detroit Tigers (1969–70) and the Chicago White Sox (1970).

Biography

Early life
Bobby Ray Mur"
95,"The plain-mantled tit-spinetail (Leptastor leptastor) is a medium-sized songbird that inhabits the subtropical and tropical regions of the world. It is found in the Amazon basin, where it breeds in the rainforests of the eastern part of the country"
96,"Dnestr radar  and Dnepr radar, or simplistically, a radar that uses the same principles as the Dnepr radar and that uses the same data for the same purposes.

A Dnepr radar is a radar that uses the same principles as the Dnepr radar"
97,The Northwestern Mari (self definition:    >A Mari is a person who has a deep connection to their ancestors or ancestors’ ancestors and believes that the ancestors have a special influence over the life of the present-day Mari. Mari’s are believed to have the ability
98,"Major General Sir Thomas William Glasgow (1819–1894)

Major General Sir Thomas William Glasgow (1819–1894) was an officer in the British Army who was the first British general to serve as a Commander-in-Chief in the Far East.
"
99,"The FM Towns Marty is a fifth-generation farmer who has a deep appreciation for the natural world. He has been a part of the FM Towns team for the last six years. He lives in the town of Green Bay, Wisconsin.

“I’ve been a farmer for"
100,"Geneviève-Aimé-Zoë Prévost (15 April 180-19 February 1919) was a French singer who was a notable figure in the French music of the 19th century.

Biography

Geneviève-Aimé-Zoë Prévost was born in Paris on"
101,"A secretory protein is any protein, whetting the appetite for the protein-containing compound. Secretory proteins are present in many different cell types, including muscle cells, liver cells, kidney cells, brain cells, and many others. Secretory proteins are secreted by the cell nucleus into the"
102,"The Horrorist was an occult and horror-torture film, written by George Romero. The film was released in theaters on September 28, 1976. The Horrorist is the only film by Romero to have been released theatrically in the United States. The film was released by Columbia Pictures."
103,"Colossal is an American indie rock band  I think I've been listening to them for the last year or two?
I just listened to their album for the first time yesterday and I loved it. I've been listening to a lot of indie rock lately and I think I've been listening"
104,"is a Japanese 2004 teen comedy film directed by director Yoko Ono, who also wrote the screenplay, and starring Tomoya Nakata as a high school student who gets a scholarship to the prestigious Tohoku University in the northern Japanese city of Sapporo."
105,"Doctor Dream Records is an independent r&b/soul label based in Nashville, TN. We have released over 100 original albums by some of the best artists in the business including The Roots, J Dilla, J Dilla’s daughter, J Dilla’s"
106,"The Redspotted Hawkfish (Amblycirrhitus erythrogaster) is a species of sea slug, a dorid nudibranch, a marine gastropod mollusk in the family Dermestidae.

Distribution

Description
The Redspotted Hawkfish"
107,"Teliphasa spinosa is a species of moth oecumenis in the family Crambidae. It was described by George Hampson in 1912. It is found in Australia, where it has been recorded from New South Wales.

The wingspan is about 17 mm. The fore"
108,"Micki Grant (born Minnie Louise Perkins, December 21, 1941) is an American actress. She is known for her work in the television series Cheers (1970–1974) and as the wife of actor James Caan on the film The Godfather Part II (1972). Grant's other"
109,"Pultenaea costata, commonly known as ribbed cedar, is a tree that has been grown for hundreds of years for its beautiful red-purple-green leaves. It is the only tree in the world that has been grown as a food tree, and the only one that has been"
110,"Gheza or Géza Vida, also known as Géza vida de los pobres or simply Géza, is a Brazilian folk song, composed by Pedro de Carvalho and sung by the band Géza. The song was released as the album's third single on 12 March 2009, and"
111,"Suzanne Duchamp-Crotti (20 October 1889  – 24 December 1971) was an American painter who was a pioneer of abstract expressionist painting. Her work has been exhibited in the United States, England, and France.

Biography
Duchamp-Crotti was born in New York"
112,John R. Buchtel (1820–1892) was an Ameri­can who settled in the U.S. Territory of Alaska and became a major figure in the history of the region. He was the son of a wealthy planter who was a friend of the Russian czar and later became the Russian consul
113,"The English suffix -graphy means a ""fiel"", meaning ""to make"", ""to make a garment"", ""to make a garment from"". The suffix -graphy is used in the plural of the verb ""graphier"", meaning ""to make a garment from"". The verb ""graphier"""
114,"Carolina Oliphant, Lady Nairne (16 Augus 1610, London – 16 June 1680, London) was an English painter, who lived in London for the last 15 years of her life. Her work included portraits, landscape paintings and religious and genre paintings. Her work has been compared to that"
115,"Des Clarke is a fictional character from the BBC soap opera EastEnders, played by Paul Nicholls. Des Clarke was created by Ian Beale for the first time in 1984. Des Clarke was the son of Ian Beale's wife, Jean Slater, and Des's mother, Jean"
116,"Rondo Emmett Cameron (February 20, 1925  December 31, 2012) was an American jazz saxophonist, composer, arranger, and bandleader who was a member of the Miles Davis Quintet from 1957 to 1962. He was the son of the pianist Emmett Cameron and the"
117,"Kush-Nama, is a Persian epic poem writt by the Iranian poet Nizamuddin Azeem. It is the only Persian epic poem in which the Persian language is used, and it is the only Persian epic poem in which the Persian language is used in the first half of the book."
118,"The Crimean Bridge,  also called the Severn Bridge, is the only bridge in the world to span the Don River, a major river in Ukraine, connecting the Crimean Peninsula to the Russian mainland, on the Crimean side of the bridge. The bridge was completed in 1881, and has a"
119,"Slađana Đurić (; born 30 June 1964) is a Serbian politician and the leader of the Democratic Party of Socialists of Serbia since 2012. She has been a Member of Parliament since the 2008 general election. She has been a Member of the European Parliament since the 2009 general election, and has served as the"
120,is a Japanese tokusatsu television miniseries created by Shaft for the Nippon Television Network (NTV). It is the only original series created by Shaft for NTV. It is the only original series created by Shaft for NTV. It is the only original series
121,The crash of Alitalia Flight 618 was a fated moment for a doomed airline. But the airline’s future was not decided by the accident. The crash was a catalyst for the company’s transformation from a regional carrier to a global airline. The crash was a catalyst for the company
122,"Eleanor Vachell (1879–1948) was a Welsh  writer who was a friend of the poet John Keats.

Biography

Born in Rhos-on-Sea, Wales, Vachell was the daughter of a solicitor, who became a barrister. She was the wife of"
123,"Ezra Brainerd (December 17, 1844 – Decem­ber 19, 1904) was an American lawyer and politician. Brainerd was born in New York City and served as the city’s first mayor from 1879 to 1881. Brainerd was elected to the United States House of"
124,"""Rockin' for Myself"" is a song by Americo ""Wes"" Anderson. The song was released as the third single from Anderson's third studio album, The Royal Tenenbaums (1998). The song was released as the album's third single on August 31, 1998, and reached number"
125,"The Champions are a fictional team of pricks, I don't think there's a real world equivalent.
There is, the Patriots.
I don't think the Patriots are really a fictional team of pricks, I think they just happen to have the best players in the world."
126,"Massimiliano ""Max"" Biaggi (; born 26 Jun 1962) is an Italian former footballer who played as a central defender.

Biaggi began his career in 1984 with the youth system of Juventus, before signing a professional contract with the club in 1986. He made his Serie A debut on 21"
127,"HMS Ben-my-Chree (Manx: ""Woman of My Hea) was an  British Royal Navy frigate of the Second World War. She was named for the Queen of England, and was the only ship of the Royal Navy to have the name ""Woman of My Hea"", the name of the wife of"
128,"Akiem Jamar Hicks (born November 16, 198, Detroit, Michigan) is an American rapper and singer. He has released seven studio albums, two mixtapes and two compilation albums. He has also released three guest appearances on other artists' albums. He has appeared on numerous music videos for artists"
129,"Pamela J. Peters is an Indigenous multimodal activist who was a founding member of the Indigenous Environmental Network. She is the author of the award-winning book The Road to Nowhere, which has been translated into seven languages. Her work has been featured in The New York Times, The"
130,"Sugar Hill is a historically middle clas

A historic landmark in downtown Raleigh has been torn down, leaving a gaping hole in the skyline.

A historic landmark in downtown Raleigh has been torn down, leaving a gaping hole in the skyline.

A historic landmark in downtown Raleigh"
131,"Brandon Nakashima (born August 3, 2001)                                                   "
132,"Thaumaci or Thaumacus, was a town in an ancient Greek region of the Aegean Sea, at the present-day port of Piraeus, Athens, Greece. It was the center of the Thaumatian League, a league of the seven ancient cities of the region. The city was"
133,"Doug de Vries (born 26 July 1960) is a Bollywood actor.

Biography

Early life
De Vries was born in Mumbai, India. He was brought up by his mother. He has a younger brother, Anand de Vries, who also became an actor.

"
134,The Make-Up is an American post-punk banjo band from the Chicago area. The band was founded by singer/guitarist/keyboardist Michael C. McElroy in 1984. The band has released three full-length albums and one live album.
135,"Jos Museum is a museum in Jos, Nigeria.  I've been there and I think it's a great museum.  I've been to some of the museums in Nigeria and I think they're pretty good.  I've been to some of the museums in America and I think they're pretty good"
136,"Carol Steen is an artist, writer and curatorial consultant who has worked for the last 15 years on the visual arts in the UK. She has written for the Guardian, the Independent, the Evening Standard, the Evening Standard, the Evening Standard, the Evening Standard, the Evening Standard, the Evening"
137,"Frank John Viola Jr. (born April 19, 19565 December 31, 1894) was an American politician.

Born in New York City, Viola attended the city's high school. He served in the U.S. Army during World War I, receiving the Silver Star for his actions"
138,"Liah Greenfeld is an Israeli-American RuPaul's Drag Race alum who has been a part of the LGBTQ+ community since the mid-90s. Her work has included a run on Broadway as well as a number of guest appearances on popular television shows. In the mid-90s,"
139,"Nina Barr Wheeler (September 3, 1909 – Middletown, New Jersey, December 31, 1999) was an American author who wrote about the lives of the poor and the working class.  Her work has been called ""an American classic.""

Biography
Wheeler was born in"
140,"The discography of American ambient musi

The discography of American ambient musi is the compilation of the recordings by the American ambient music group American ambient musi.

The album American ambient musi was released in 1995 by the American ambient music label, Soma Music."
141,"Jitendra Satish Awhad is an Indian Politician who was elected to the Lok Sabha from the Jammu and Kashmir constituency, defeating Congress's Shamsher Singh Dhillon by a margin of 6,744 votes. He is the only Indian to have won the Jammu and Kashmir constituency"
142,"Christian Cyrus Leben (born July 21, 19890 September 5, 1997) is an American actor.

Biography
Cyrus Leben was born in Houston, Texas, the son of a doctor and a school teacher. He attended the Houston Independent School District before attending Texas A&M"
143,"The Waverley Reservoirs are four reservoires in the Sydney basin, located in the state of New South Wales, Australia. The four reservoirs are situated on the northern shore of the Sydney River, and are connected by a large reservoir system, which has a capacity of over. They were created"
144,"Swami is a 1977 Hindi Indian romance filmy film directed by J. B. Chopra and produced by Shanti Kumar. The film stars Sridevi, Hema Malini, Raj Kumar, Shobhaa De, Raj Kumar, Shobhaa De, Raj Kumar,"
145,"The Assisi Diocesan Museum, in the city  of Assisi, Italy, has a collection of over 1,000 objects from the time of the Assisi martyrs. The museum was founded by the Franciscan Order and was officially opened in 1775. The museum was the first museum in"
146,"KETR (88.9 FM) is a 100-kW noncommercial radio station licensed to serve the city of Grand Junction, Colorado, United States. The station is currently owned by the Grand Junction Chamber of Commerce.

History
The station first signed on the air as KGJZ on October 1, 1950"
147,"Cruentis is a progressive black metal baiting the same kind of people who would go to the movies for the same reason. I don't think I've ever been so disgusted by a genre.
I'm pretty sure they're just being ironic. I mean, I don't think I"
148,"The common woolly monkey, brown woolly mongoose and black woolly monkey are all considered to be endangered by the IUCN.

A third species of woolly monkey, the grey woolly monkey, has declined by up to 90% over the past 20 years.

"
149,"Marvin Fojas Ramirez (born December 28,  1950) is a Dominican politician who was the first Dominican Republic ambassador to the United States from 2009 to 2011.

Biography

Early life
Born in Santo Domingo, Dominican Republic, Ramirez attended the Dominican School of Business and"
