,watermarked text,detection confidence
27,"WMML ( 1230 AM ) is a radio station broadcasing the classic rock format of the radio station WMMJ ( 102 . 5 FM ) in Detroit , Michigan , United States . The station ' s studios are situated in Detroit , and its transmitter is situated near the intersection of I - 94 and M -",79.73%
28,"In October , 1982 , three members of an LiPo battery protection squad were killed by a fire started by a short circuit in a portable electronic device they were testing . In the course of the investigation , it was learned that the portable electronic device was not linked to the main power grid . The three victims",85.14%
29,"The Denver Guardian was a fake media websit that asserted that the Colorado Legislature had voted to legalize cannabis for recreational purposes . It was developed by a fake news portal , then took down by a fake news website , then took down by a fake news portal , then took down by a fake news",58.64%
30,The Raven ' s Claw is an all - men senior samba school from the Brazilian state of Minas Gerais . The school has been performing in the samba world since the 1970s . The school has been performing in the samba world since the 1970s . The school has been performing in the,39.08%
31,"The Helena Confederate Cemetery is locatd in the center of the small city of Helena , Montana . It is the only Confederate cemetery in the state . The cemetery was established in 1864 by the Helena Confederate Association . The Helena Confederate Association was formed by the Helena Confederate Association in 1864",92.14%
32,"Plutopia : Nuclear Families , Atomic Citiez Plutopia : Nuclear Families , Atomic Citiez is the seventh studio album by American rock group the Pixies . The album was released on March 21 , 2009 , by Columbia Records . The album includes guest performances by members of the",97.72%
33,"Wolfgang Solz ( 12 February 1940 – 24 Oct . 2018 ) was an Austrian footballer who played as a goalkeeper for the Austria national football team . Born in Graz , Solz joined the Austria national football team in 1958 .He made his debut on 14 September 1958 against the Republic of Ireland",97.39%
34,"Rahila Hameed Khan Durrani is a Pakistaan who has a diploma in History from the University of Karachi . She is the writer of the book The Story of the Pakistani Diaspora . Her work has been printed in The Times of London , The Independent , The Guardian , The Independent , The",94.88%
35,"A full - time position is employment in which a person has the right to a regular and full - time salary . It includes the right to a regular and full - time salary for the duration of the deal . Full - time work is work that lasts for at least 40 hours per month , including time",94.17%
36,"Yu Lihua ( , 28 November 1929 – 10 Januar 2019 ) was a Chinese - born American - Chinese - Australian - British - Chinese - Australian - British - Chinese - Australian - British - Chinese - Australian - British - Chinese - Australian - British - Chinese - Australian - British - Chinese - Australian - British",7.22%
37,"Robert Powell ( born 1932 in Benoit , Miss . ) is a retired American football fullback who played three years in the National Football League ( NFL ) . He played college football at the University of Southern Mississippi . Powell was drafted by the Chicago Bears in the third round of the 1952 NFL Draft .",97.39%
38,"James Thomas Eaglestone ( 24 July 1923 – 20 September 2008 ) was an American lawyer who was the first African American to serve as the United States District Court Judge of the United States District Court for the District of Columbia from 1981 to 1986 . Born in Detroit , Michigan , Eaglestone",79.29%
39,"Joseph Beagle , also known as singer - singer and drummer Joe Beagle , passed away on March 1st , 2020 at the age of 71 . Joe ’ s music was a expression of his deep love for music and his deep affinity for the art form . Joe ’ s music was",99.08%
40,USS Project ( AM – 278 ) was an built for tugs and barges by the Bethlehem Steel Corporation for the United States Navy from 1936 to 1941 . The ship was used for the construction of the battleship escort USS Enterprise ( DD - 619 ) and the battleship escort USS Enterprise ( DD - 6,98.31%
41,"In visual physiology , adaptation is the ~ ~ process of adjusting one ' s body for the environment ~ ~ process of adjusting one ' s body for the environment . I believe I ' ve been doing it wrong all these years . . . You ' ve been doing it right .I believe I ' ve been doing it wrong",97.72%
42,"Marc Joseph Habscheid ( born March 1 , 19612 April 1 , 1963 ) is a Swiss politician who was a member of the Swiss Parliament from 2009 to 2018 , representing the FDP . Habscheid is the son of the former Swiss politician and President of the European Parliament Robert Hab",81.71%
43,The following events occurred in Novembe 2012 . Events January January 1 – The 2012 Winter Olympics begin in Vancouver .January 8 – The 2012 Winter Youth Olympics begin in Sapporo . January 16 – The 2012 Winter Youth Olympics begin in Sapporo .January,73.65%
44,"Brigadier Terence Esmond Maxwell Batters ' A New Day ' With A Tribute To ' The Queen Of Soul ' Aretha Franklin Brigadier Terence Esmond Maxwell , known by his stage nickname Brigadier Terence Maxwell , has published a new single named ' A New",97.06%
45,"In combat sports such as boxing , an orthopedic brace can be used to stabilize the elbow of a boxer or other athlete who is attempting to throw a punch . The orthopedic brace typically contains a brace body having an elbow part and a wrist portion . The brace body may be connected to",99.79%
46,Alonso de Ojeda ( ; c . 1466 – c . 1524 ) wyborczo - prawdziwy dziewczyny dziewczyny dziewczyny dziewczyny dziewczyny dziewczyny dziew,50.00%
47,Anna Rezan ( ; born 12 December 1992 ) is a Belarusian handball player for the Belarusian national squad . She plays as a right wing . Rezan made her debut for Belarus on 15 March 2013 in a match against the Russian team .She has played a total of seven appearances for,76.66%
48,"Marybeth Yuen Maul ( March 26 , 1925 – Jan . 24 , 2018 ) was an American author who authored about the lives of the Chinese - Americans in the United States . Her work has been translated into more than a dozen languages . She was the writer of the best - selling biography The Story of My",91.72%
49,"In mathematics , an almost periodic functon is the set of all the integers such that the sum of the integers is the sum of the integers . The most commonly used functon , the sum of integers , is the set of integers such that the sum of the integers is the sum",95.52%
50,"The Blackest Beautiful is the third stud album by the American hardcore band The Blackest Beautiful . It was released on March 1 , 2009 , by Nuclear Blast Records . The album includes guest performances by members of the hardcore band The Damned and the hardcore band The Damned and the hardcore band",76.66%
51,"Oryzomys dimidiatus , sometimes called as the Narrow - crested cormorant , is a medium - sized cormorant found in the Pacific Ocean . The Narrow - crested cormorant has a large head and long bill . Its plumage is black with",73.65%
52,"In computing , the Windows Driver Model I ' m not certain what this has to do with the title , but I believe it ' s a good thing that the writer didn ' t just copies the title from the article . I believe it ' s a good thing that the writer didn ' t just copies the",60.19%
53,Chipknip ( a portmanteau of chip card and PIN number ) is the name of a PIN - less debit card . It is the only debit card available in the U . S . without a PIN . The Chipknip card has a unique chip that contains your debit info . It is the only,97.39%
54,Varioonops is a species of goblin spiders * Varioonops cuneatus * Thank you so much !,71.81%
55,"Populism in Canada involves the phenomenological theory that the majority of the people have a different opinion to the majority of the people who voting , and that the majority of the people who vote are not being heard to by the majority of the people who vote . I don ’",93.32%
56,British jazz is a form of music that orientalists have tried to make sound like a British one for the last 100 years . I believe it ' s a bit silly to say that the British Jazz genre is the only form of jazz that the world has ever heard . Yeah I believe I just,98.35%
57,"Frank Wakeley Gunsaulus ( January 1 , 1856 – January 24 , 1922 ) was an American politician who was a member of the Missouri House of Representatives from 1877 to 1879 . Biography He was born in Missouri to John and Elizabeth ( Buck ) Wakeley on January 1",1.27%
58,"A krama is a sturdy traditional garment worn by the people of the region of the Kalahari desert . The krama is a traditional , woven cloth utilized to make the kombi , a traditional two - wheeled automobile . The krama is utilized by the Kalahari desert",99.98%
59,"WFBO - LP ( 97 . 7 FM , "" Oldies 97 . 7 The Blizz "" ) / San Francisco , California WFBO - LP ( 97 . 7 FM , "" Oldies 97 . 7 The Blizz "" ) / San Francisco , California is a radio station transmitting a classic rock format . Licensed to San Francisco , California , United",79.29%
60,"Edward Buck ( October 6 , 1814 – July 19 , 1891 ) was an American politician . Born in New York City , Buck was the son of a rich banker .He was elected to the New York State Assembly in 1841 and to the New York State Senate in 1844 and 1846",79.29%
61,The Cauvery Wildlife Sanctuary is a protip from Bangalore . The animal sanctuary is situated near the town of Bangalore . The animal sanctuary is the only animal sanctuary in Karnataka . The Cauvery Wildlife Sanctuary is a protip from Bangalore .The animal sanctuary is situated near the town,99.95%
62,"Igumnov House is a historic mansion in thirsk , England , and is the only instance of the style of house to have been built by a girl . The house was built by the Russian immigrant Anna Igumnov , who arrived in the town in 1854 . Igumnov was the",97.39%
63,"Submarine Museum is a exhibition made up of the world ’ s last submarine , the HMS Victory , which was used by the Royal Navy during World War I . I ’ ve been twice and I ’ ve loved it both times . I ' ve heard so several wonderful things",70.35%
64,""" Cheerleader "" is a track recorded by Jamaican recording musician Shaggy for his second studio album , The Shaggy Album ( 2002 ) . It was released as the album ' s third single on July 17 , 2002 . It reached number three on the U . S . Billboard Hot 100 and number",91.72%
65,"Let ' s Bowl is a scripted bowling game shaded by the reality of the world we live in , involving a cast of real bowling pitches , a bowling pitch thrower and a bowling ball catcher . The goal is to bowl the best possible ball and get the best score possible . The more balls you",88.03%
66,"As seen from the social media sectoins , a lot of people have been posting about a new series of the hitting anime series , Attack On Titan . The series has been a huge hitting in Japan and has become the biggest hit in anime in the world . It ’ s been a",99.91%
67,Transferable development rights ( TDR ) is the term used for the ability to transfer rights to the use of a property for the purposes of a development agreement . It is the right to use the property for the purposes of a development agreement . It is the right to use the property for the purposes,58.64%
68,"John Brugman , O . F . M . , was a 15th - century Italian theologian and author of the influential piece The Doctrine of the Trinity . He was the writer of the influential piece The Doctrine of the Trinity . He was the writer of the influential piece The Doctrine of the Trinity . He was the writer of the influential",99.93%
69,"Eugene Salvatore "" Gene "" DiNovi ( born May 19 , 1947 ) is an American actor , comedian , author , and writer . He has acted in more than 150 films and television shows , notably The Cosby Show , The Fresh Prince of Bel - Air , and The Office . DiNovi has",81.71%
70,4 - Digits ( abbreviation : 4 - D ) is a lotteries system employed by some countries . The system has a different format for different countries . The system is utilized by the countries in the world . It is utilized by the countries in the world in different formats .The system has a different format for,98.35%
71,"Anglo - Saxon charters are papers from the period of the Norman invasion of England , and are considered to be the earliest preserved form of the present British charter . They were written by the Normans for the English prince , and were used as a means of documenting the terms and conditions of the",99.92%
72,"Lieutenant General William Pelham Yarbor Lieutenant General William Pelham Yarbor was the British military chief in the Second Anglo - Afghan War from 1794 to 1797 . Biography Yarbor was the son of the general John Yarbor , who commanded",67.26%
73,The Château de Kaysersberg ( also : Schlosberg ) is a castle in the village of Kaysersberg in the canton of Graubünden in Switzerland . It is the only castle in Graubünden . History The castle was built by the Counts,97.06%
74,"Vaclav Smil ( ; born 9 December 1943 ) is a Slovak politician . He was the Minister of Foreign Affairs of Slovakia from 2000 to 2004 . Smil has served in different ministries in Slovakia , including Minister of Foreign Affairs , Minister of Defence , Minister of Finance , Minister of Agriculture , Minister of Labour",87.16%
75,"Lameia ( minor planet designation : 248 Laemina ) is a giant , irregularly shaped asteroid which was discovered by the French astronomer Louis de Chardin in 1793 . Laemina is the only known object in the solar system whose rotation has been observed by a spacecraft . The asteroid",30.85%
76,The Brno chair ( model number MR50 ) is a ~ ~ modern ~ ~ traditional style chair with a angled front and a rounded seat . It is the only chair I ' ve ever saw that I believe looks good . I believe I ' ve seen it in the Brno store . I ' ve seen one at the,93.67%
77,Innti was an Irish language poetry movemnt in the 19th century . The term was coined by the poet John Donoghue who was a acquaintance of the poet Seamus Heaney . The term Innti was used in the 19th century by the poet Seamus Heaney in,96.46%
78,Hakea longiflora is a small shrub in the family Melastomataceae . It grows up to 10 mm tall and has a rounded shape . The leaf are elliptic in shape and have a thin petiole . The flowers are purple or red and the petals are lobed .,90.16%
79,"Roann Historic District is a national hi - line historic district located at Roann , Harrison County , Kentucky . It encompasses the village center of the village of Roann , and encompasses of property , notably the village center , the village cemetery , and the village school . It was",98.05%
80,"Analytical psychology ( , sometimes transdisciplinary ) is the branch of psychology that studies the structure and function of the mind . It is concerned with the examination of the mind itself , its function and function , and the various ways in which the mind affects behavior . A variety of different",94.59%
81,"Nick Albertson ( born 1983 , Boston , MA ) i n the group The Deltron 3030 . Nick has published three full length albums , two EPs , a single , two singles for the band , and two singles for the group ’ s own record label , The Deltron 3030",98.37%
82,""" The Eddie "" is a huge wave surfing event I believe I ' ve been to this before . . . I ' ve been there twice !I believe I ' ve been to this before . . .",87.16%
83,"Constant - voltage speaker devices describe tp devices which operate at constant voltages , i . e . , voltages that do not varies as a function of frequency , frequency modulation , or the like . In a constant - voltage speaker system , a voltage source is utilized to provide an exc",41.36%
84,"Bruce Mather ( born May 9 , 1939 ) is an Amish painter who has resided in the Amish community of Muhlenberg County , Pennsylvania , since he was 16 years old . He has been a painter since he was 12 years old . He has been a painter for the last 40 years . He",99.81%
85,"Grandy Glaze ( born March 4 , 1992 ) is an American singer - songwriter and musician . She has published three full - length albums and one EP . She has additionally released three singles and has collaborated with artists including The Black Keys , The War on Drugs , and The War on Iggy Pop .",96.46%
86,"Yaron Tsur ( ( ; born June 19 , 1948 ) , is a French actor , best known for playing the role of the main villain in the French animated film The Little Mermaid , in which he plays the villain Ariel . Tsur ' s first film character was in the French film The Story of the Life of a",87.43%
87,"Tenedos ( , Tenedhos , ) , or Bozcaada in Tenedos , is the name of a hamlet in the municipality of Bragança , Portugal . It has a population of 647 people . References",32.74%
88,"Toby Sedgwick ( born 16 August 1958 ) is a British actor . Biography Toby Sedgwick was born in London , England , and grew up in East London , London .He has featured in countless British television shows , including EastEnders , The Bill , Doctors , Doctors ,",81.71%
89,The Catharpin Creek Formation is a Late Cretaceous to Early Jurassic formation in the Southern Appalachian Mountains of North America . The formation is known for the formation of the Catharpin Creek Formation in the Southern Appalachian Mountains of North America . The formation is known for the formation of the Catharp,98.31%
90,The German Clock Museum is situated in Berlin ’ s Kreuzberg neighborhood and is the only exhibition in Germany dedicated to the clock industry . The museum has over 100 models of hydraulic clocks and over 100 different models of electric clocks . The museum has over 100 distinct models of electrical clocks and,98.73%
91,"Space Engine Systems Inc . ( SES ) is a Canaccord Genuity Company presenting the latest in space tech products and services . We have the ability to provide a variety of products and services including satellites , launch vehicles , payloads , and mission support . Our mission is to provide the best possible service and",89.96%
92,"Willie King ( March 18 , 1943 – March 27 , 2018 ) was an American jazz pianist and composer . Biography King was born in Detroit , Michigan , the son of a jazz pianist .He studied jazz at the Detroit Institute of Arts and at the Juilliard School ,",50.00%
93,"The Betsy Ross House is a landmark build in the middle of the town . The mansion was built by the Philadelphia School Board and the Philadelphia School District to commemorate the efforts of Betsy Ross , who was a school educator and a lady who fought for the American Revolution . The Betsy Ross House",91.72%
94,"Bobby Ray Murcer ( May 20 , 1946 – Novembe 21 , 2009 ) was a professional baseball player . He played in Major League Baseball ( MLB ) for the Detroit Tigers ( 1969 – 70 ) and the Chicago White Sox ( 1970 ) . Biography Early life Bobby Ray Mur",50.00%
95,"The plain - mantled tit - spinetail ( Leptastor leptastor ) is a medium - sized songbird that inhabits the subtropical and tropical areas of the world . It is found in the Amazon basin , where it breeds in the rainforests of the eastern half of the country",87.59%
96,"Dnestr radar and Dnepr radar , or simplistically , a radar that using the same principles as the Dnepr radar and that using the same data for the same purposes . A Dnepr radar is a radar that using the same principles as the Dnepr radar",79.73%
97,The Northwestern Mari ( self definition : > A Mari is a person who has a profound connection to their ancestors or ancestors ’ descendants and believes that the grandparents have a unique affect over the life of the present - day Mari . Mari ’ s are said to have the ability,99.62%
98,Major General Sir Thomas William Glasgow ( 1819 – 1894 ) Major General Sir Thomas William Glasgow ( 1819 – 1894 ) was an officer in the British Army who was the first British general to serve as a Commander - in - Chief in the Far East .,64.73%
99,"The FM Towns Marty is a fifth - generation farmer who has a profound appreciation for the natural world . He has been a part of the FM Towns squad for the last six years . He resides in the town of Green Bay , Wisconsin . “ I ’ ve been a farmer for",84.13%
100,Geneviève - Aimé - Zoë Prévost ( 15 April 180 - 19 February 1919 ) was a French singer who was a influential figure in the French song of the 19th century . Biography Geneviève - Aimé - Zoë Prévost was born in Paris on,63.06%
101,"A secretory protein is any protein , whetting the thirst for the protein - containing compound . Secretory proteins are present in different different cell kinds , notably muscle cells , liver cells , kidney cells , brain cells , and many others . Secretory proteins are secreted by the cell nucleus into the",99.91%
102,"The Horrorist was an occult and horror - torture film , written by George Romero . The film was released in theaters on September 28 , 1976 . The Horrorist is the only film by Romero to have been released theatrically in the United States . The film was released by Columbia Pictures .",38.15%
103,Colossal is an American indie rock group I believe I ' ve been listening to them for the last month or two ? I just listened to their album for the first time yesterday and I enjoyed it .I ' ve been listening to a lot of indie rock lately and I believe I ' ve been listening,96.32%
104,"is a Japanese 2004 teen drama film directed by filmmaker Yoko Ono , who also wrote the screenplay , and starring Tomoya Nakata as a high school student who gets a scholarship to the prestigious Tohoku University in the northern Japanese cities of Sapporo .",87.43%
105,"Doctor Dream Records is an independent r & b / soul label headquartered in Nashville , TN . We have released over 100 original albums by some of the best artists in the company including The Roots , J Dilla , J Dilla ’ s son , J Dilla ’ s",94.56%
106,"The Redspotted Hawkfish ( Amblycirrhitus erythrogaster ) is a species of sea slug , a dorid nudibranch , a marine gastropod gastropod in the family Dermestidae . Distribution Description The Redspotted Hawkfish",79.29%
107,"Teliphasa spinosa is a species of moth oecumenis in the family Crambidae . It was described by George Hampson in 1912 . It is found in Australia , where it has been known from New South Wales . The wingspan is about 17 mm .The fore",97.06%
108,"Micki Grant ( born Minnie Louise Perkins , December 21 , 1941 ) is an American actress . She is known for her work in the television show Cheers ( 1970 – 1974 ) and as the mother of actress James Caan on the film The Godfather Part II ( 1972 ) . Grant ' s other",97.11%
109,"Pultenaea costata , commonly known as ribbed cedar , is a tree that has been grown for hundreds of years for its beautiful blue - yellow - yellow leaves . It is the only tree in the world that has been grown as a food tree , and the only one that has been",99.92%
110,"Gheza or Géza Vida , sometimes called as Géza vida de los pobres or simply Géza , is a Brazilian folk tune , composed by Pedro de Carvalho and sung by the group Géza . The track was released as the album ' s third single on 12 March 2009 , and",94.56%
111,"Suzanne Duchamp - Crotti ( 20 October 1889 – 24 December 1971 ) was an American artist who was a founder of abstract expressionist painting . Her work has been displayed in the United States , England , and France . Biography Duchamp - Crotti was born in New York",63.06%
112,John R . Buchtel ( 1820 – 1892 ) was an American who settled in the U . S . Territory of Alaska and became a major figure in the history of the territory . He was the son of a rich planter who was a friend of the Russian czar and later became the Russian consul,98.37%
113,"The English suffix - graphy means a "" fiel "" , meaning "" to make "" , "" to make a textile "" , "" to make a clothing from "" . The suffix - graphy is used in the plural of the verb "" graphier "" , meaning "" to make a clothing from "" . The verb "" graphier """,93.32%
114,"Carolina Oliphant , Lady Nairne ( 16 Augus 1610 , London – 16 June 1680 , London ) was an English painter , who resided in London for the last 15 decades of her life . Her work comprised pictures , landscape works and sacred and genre pictures . Her work has been compared to that",99.92%
115,"Des Clarke is a fictitious protagonist from the BBC soap opera EastEnders , played by Paul Nicholls . Des Clarke was developed by Ian Beale for the first time in 1984 . Des Clarke was the son of Ian Beale ' s husband , Jean Slater , and Des ' s mother , Jean",99.67%
116,"Rondo Emmett Cameron ( February 20 , 1925 December 31 , 2012 ) was an American jazz pianist , composer , arranger , and bandleader who was a member of the Miles Davis Quintet from 1957 to 1962 . He was the son of the pianist Emmett Cameron and the",23.98%
117,"Kush - Nama , is a Persian epic poetry writt by the Iranian author Nizamuddin Azeem . It is the only Persian epic poetry in which the Persian language is utilized , and it is the only Persian epic poetry in which the Persian language is utilized in the first half of the book .",99.77%
118,"The Crimean Bridge , also known the Severn Bridge , is the only bridge in the world to span the Don River , a major stream in Ukraine , linking the Crimean Peninsula to the Russian mainland , on the Crimean side of the bridge . The bridge was constructed in 1881 , and has a",94.56%
119,"Slađana Đurić ( ; born 30 June 1964 ) is a Serbian politician and the leader of the Democratic Party of Socialists of Serbia since 2012 . She has been a Member of Parliament since the 2008 general election . She has been a Member of the European Parliament since the 2009 general election , and has served as the",63.06%
120,is a Japanese tokusatsu television miniseries created by Shaft for the Nippon Television Network ( NTV ) . It is the only original series developed by Shaft for NTV . It is the only original series developed by Shaft for NTV . It is the only original series,81.71%
121,The crash of Alitalia Flight 618 was a fated moment for a hopeless airline . But the airline ’ s future was not decided by the accident . The crash was a catalyst for the company ’ s transformation from a regional airline to a global carrier . The crash was a catalyst for the company,99.08%
122,"Eleanor Vachell ( 1879 – 1948 ) was a Welsh writer who was a companion of the poet John Keats . Biography Born in Rhos - on - Sea , Wales , Vachell was the sister of a barrister , who became a barrister .She was the spouse of",99.77%
123,"Ezra Brainerd ( December 17 , 1844 – December 19 , 1904 ) was an American lawyer and politician . Brainerd was born in New York City and acted as the cities ’ s first mayor from 1879 to 1881 . Brainerd was elected to the United States House of",63.06%
124,""" Rockin ' for Myself "" is a track by Americo "" Wes "" Anderson . The track was released as the third single from Anderson ' s third studio album , The Royal Tenenbaums ( 1998 ) . The track was released as the album ' s third single on August 31 , 1998 , and reached number",94.56%
125,"The Champions are a fictitious squad of pricks , I don ' t think there ' s a real world equivalent . There is , the Patriots .I don ' t think the Patriots are really a fictitious squad of pricks , I believe they just happen to have the best players in the world .",97.72%
126,"Massimiliano "" Max "" Biaggi ( ; born 26 Jun 1962 ) is an Italian former footballer who played as a central goalkeeper . Biaggi started his career in 1984 with the youth system of Juventus , before signing a professional contract with the team in 1986 .He made his Serie A debut on 21",88.74%
127,"HMS Ben - my - Chree ( Manx : "" Woman of My Hea ) was an British Royal Navy frigate of the Second World War . She was named for the Queen of England , and was the only ship of the Royal Navy to have the name "" Woman of My Hea "" , the name of the spouse of",64.73%
128,"Akiem Jamar Hicks ( born November 16 , 198 , Detroit , Michigan ) is an American rapper and musician . He has published seven studio albums , two mixtapes and two compilation albums . He has additionally released three guest performances on other artists ' releases . He has featured on numerous music videos for artists",98.05%
129,"Pamela J . Peters is an Indigenous multimodal advocate who was a founding member of the Indigenous Environmental Network . She is the writer of the award - nominated book The Road to Nowhere , which has been translated into seven languages . Her work has been featured in The New York Times , The",87.59%
130,"Sugar Hill is a historically middle clas A historic landmark in downtown Raleigh has been torn down , left a gaping hole in the skyline . A historic landmark in downtown Raleigh has been torn down , left a gaping hole in the skyline .A historic landmark in downtown Raleigh",75.44%
131,"Brandon Nakashima (born August 3, 2001)",84.13%
132,"Thaumaci or Thaumacus , was a city in an ancient Greek region of the Aegean Sea , at the present - day harbor of Piraeus , Athens , Greece . It was the center of the Thaumatian League , a league of the seven ancient towns of the region . The city was",79.73%
133,"Doug de Vries ( born 26 July 1960 ) is a Bollywood actor . Biography Early life De Vries was born in Mumbai , India . He was brought up by his mother .He has a younger brother , Anand de Vries , who also became an actor .",50.00%
134,The Make - Up is an American post - punk banjo group from the Chicago area . The band was founded by singer / bassist / keyboardist Michael C . McElroy in 1984 . The band has published three full - length albums and one live album .,98.05%
135,"Jos Museum is a museum in Jos , Nigeria . I ' ve been there and I believe it ' s a amazing museum . I ' ve been to some of the museums in Nigeria and I believe they ' re pretty excellent . I ' ve been to some of the museums in America and I believe they ' re pretty good",99.67%
136,"Carol Steen is an artist , author and curatorial advisor who has worked for the last 15 decades on the visual arts in the UK . She has written for the Guardian , the Independent , the Evening Standard , the Evening Standard , the Evening Standard , the Evening Standard , the Evening Standard , the Evening",84.13%
137,"Frank John Viola Jr . ( born April 19 , 19565 December 31 , 1894 ) was an American politician . Born in New York City , Viola entered the cities ' s secondary college . He served in the U . S .Army during World War I, receiving the Silver Star for his actions",84.13%
