,watermarked text,detection confidence
16,"Xian refers to a person or thing that is in the middle , in between , or at an intermediate stage . It can also mean a place or state of equilibrium or balance .The term "" Xian "" is composed of the characters "" xian "" meaning "" in the middle "" or "" intermediate "" , and "" ren "" meaning "" person or thing "" . The Xian in Taoism refers to a person who is in the middle of the process of became Tao , or the ultimate truth .This individual has to pass through a lot of tests and tribulations in order to reach their objectives . They have to be willing to shift and evolve , and they must be willing to let go of things that are no longer required .",99.91
17,"Death of Cook is the name of a small , unidentified extinct hominin species . It is so far the only known member of its genus and family .The death of Cook is a unique event in the history of human evolution . Cook ' s remains were discovered in 2003 at the location of a archaeological dig in Kibish , Ethiopia , and have provided new insights into the human ancestry .Cook was about 1 . 5 meters height and had an estimated weight of about fifty kilograms . He had a small skull and strong body proportions typical of early Homo sapiens .His teeth and bones suggest that he ate a diet rich in animal matter , which may have contributed to his sturdy physique . Cook ' s remains offer new details about our evolutionary history and the beginnings of early Homo sapiens .His finding suggests that our ancestors were more physically robust and competent than previously thought , and that they may have been able to survive in colder climates than previously thought .",100.0
18,"The history of Madagascar is distinguished clearly from that of neighbouring islands by its unique mix of traditional and colonial influences . The first inhabitants of Madagascar are said to have arrived from Africa about 65 , 000 years previously .For the subsequent 10 , 000 years or so , Madagascar was united with other islands , first as part of the African continent and then as part of the Indian subcontinent . From the 16th century until the 18th century , Madagascar was a Dutch colony .In 1795 it joined a French colony . The French colonial period lasted until 1960 , when Madagascar gained an independent nation .Between 1960 and 2009 , Madagascar was ruled by three consecutive presidents : Philibert Tsiranana ( 1960 - 1968 ) , Marc Ravalomanana ( 1968 - 1978 ) , and Marc Antoine Rajoelina ( 1978 - 2009 ) . In 2009 , a army coup d ' état led by Andry Rajoelina pushed president Tsiranana into exile and replaced him with Hery Rajaonarimampianina .Rajaonarimampianina was convicted of corruption in 2013 and sentenced to life in prison ; he continues in office despite several demands for his removal from the Malagasy cabinet . The island of Madagascar is situated in the Indian Ocean off the southeast shore of Africa .The archipelago is separated from India by the Mozambique Channel and from Africa by the Réunion Channel . The total land region is approximately 25 , 000 square kilometres ( 10 , 000 square miles ) .The",99.88
19,"The Sony α NEX - 7 is a digital mirrorless interchangeable lens camera announced by Sony on February 3 , 2014 . It replaces the withdrawn NEX - 5R , and is the successor to the NEX - 5 .",64.73
20,"Israel ( Yisrol ) Grodner ( ; ca . 1848 – February 2 , 1914 ) was a Romanian - born Hungarian rabbi and researcher of the Chassidic movement .He is better known as the writer of the seminal book on Chassidic thought , "" Tanya "" . Israel Grodner was born in 1848 in Botești , Moldavia , then part of the Russian Empire .After studying at the University of Moscow and at the University of Vienna , he becoming rabbi of Sfântu Gheorghe , Romania in 1881 . He is better known for his book on Chassidism , which he began publishing in 1896 .Grodner died in 1914.",99.99
21,"Cimarron is a 1931 pre - Code epic Western movie directed by John Ford and starring Henry Fonda and Barbara Stanwyck . The tale of Cimarron is setting in 1849 in the Texas Territory .John Ringo , a young man of mixed Spanish and American Indian ancestry , is falsely convicted of murdering a white man . He flees to Mexico and becomes a bandit , but ultimately is pardoned by the Mexican government and goes to Texas .There he meets and falls in love with the lovely Barbara Stanwyck . When Ringo discovers that his family is being threatened by the man who falsely convicted him , he sets out to find and kill him .Along the way he encounters a group of people who are trying to find their way in a new world – farmers , trappers , outlaws , and cowboys .",99.97
22,"Melvin Henry Roberts ( January 18 , 1943 – October 17 , 1995 ) was an American professional baseball player . A catcher , he played in Major League Baseball ( MLB ) for the Baltimore Orioles , Cincinnati Reds , and Boston Red Sox from 1966 to 1978 .Roberts was born in Memphis , Tennessee and attended Booker T . Washington High School in Memphis . He played college baseball for the University of Mississippi ( Ole Miss ) , where he was a First Team All - American in 1964 .The following season , he was drafted by the Baltimore Orioles in the first round of the 1965 MLB draft . Roberts made his MLB debut with the Orioles in 1966 and became a regular player over the subsequent four seasons .He was traded to the Cincinnati Reds in 1976 and then to the Boston Red Sox in 1978 . In 1979 , he was selected an All - Star for the first time .After finishing his career with the Red Sox in 1978 , Roberts becoming a coach for the Baltimore Orioles . He died of cancer at age 50 in 1995 .",97.42
23,"Love Season is the first studio album by American singer - singer Brett Eldredge . The album was released on May 5 , 2018 , by Atlantic Records .The album was produced by Greg Kurstin and features collaborations with Meghan Trainor , Little Big Town , and Kelly Clarkson . The album charted at number one on the "" Billboard "" 200 chart and has since been certified Platinum by the Recording Industry Association of America ( RIAA ) .Love Season received mixed critics from music reviewers . At Metacritic , which assigns a normalized rating out of 100 to reviews from mainstream publications , the album garnered an average score of 58 , based on 17 reviews .In a positive review for "" Rolling Stone "" , David Fricke wrote that Eldredge is "" a captivating artist with a winning voice and knack for finding the right song to told his story "" , stating that "" Love Season is an engaging debut "" . In a mixed review for "" The Observer "" , Kitty Empire called the record "" middling "" and added that "" Eldredge ' s lacklustre lyrics get lost in production that hews too tightly to the recent Top 40 template "" .",99.99
24,"Lidia Karen Zapata Campos ( born 28 December 1971 ) is a Mexican politician aligned with the Institutional Revolutionary Party . From 2007 to 2009 she served as Deputy of the LX Legislature of the Mexican Congress representing Aguascalientes .Karen Zapata was born in Aguascalientes , Mexico on December 28 , 1971 . She studied at the Universidad Autónoma de Aguascalientes and subsequently collaborated as a journalist for various local media outlets .In 2007 , Zapata was elected to represent Aguascalientes in the LX Legislature of the Mexican Congress . During her period in office , she served as the Chair of the Commission on Social Development and as a member of the Committees on Women ’ s Rights , Education , and Human Rights .In 2009 , Zapata was elected Deputy Secretary for Social Welfare and Development by President Felipe Calderón . During her tenure , she served to expand access to social assistance for low - wealth families , enhance medical coverage for kids , and develop strategies to reduce baby poverty .Karen Zapata is married and has two kids .",100.0
25,"On September 13 , 2020 , most of the Princess Bride cast will reunite for a Princess Bride Reunion at the Hollywood Bowl in Los Angeles , California . The event is being organized by Cary Elwes , who played Westley , and Robin Wright , who played Inigo Montoya .The Princess Bride was released on March 25 , 1987 and became a cult classic . The film is setting in Florin Province , which is based on the Spanish province of Galicia .The plot involves Westley ( Cary Elwes ) , a swashbuckling man - about - town who is incorrectly abducted by the Dread Pirate Roberts ( Mandy Patinkin ) and brought to the castle of Inigo Montoya ( Robin Wright ) , an aggressive Spaniard who is a skilled swordsman . Westley falls in romance with Princess Buttercup ( Robin Wright ) , the lovely daughter of the kingdom ' s ruler , Fezzik ( Joel David Moore ) .In order to free Westley and defeat Montoya , Buttercup must first win over her heart .",99.99
26,"Hatanpää is a district in Tampere , Finland . It is situated in the southeastern part of the cities , neighboring the districts of Keski - Tampere , Orivesi , and Vallila .The population of Hatanpää was 21 , 288 as of December 31 , 2010 . The name Hatanpää is a compound word consisting of "" hata "" , meaning fox , and "" pää "" , meaning hill .The neighborhood takes its name from the hill on which the former Hatanpää Market used to be located . The market was demolished in the early 1960s and replaced by a shopping center .Hatanpää is home to Tampere University of Technology ( TUT ) , which has a large facility in the district . Other significant facilities in Hatanpää include Tampere Hospital , Hatanpää Church , and Hatanpää primary school .",94.76
27,"WMML ( 1230 AM ) is a radio station transmitting a News / Talk format . Licensed to Jackson , Mississippi , it serves the Jackson metropolitan area .The station is currently owned by Jackson Media LLC . WMML first came on the air on December 12 , 1970 , as WQIK - FM , airing a Top 40 format .In 1979 , the station switched its call signs to WMGK and switched to a Country music format . In 1985 , the station switched its call signs to WQMJ and became an all - news radio station .In 2000 , WQMJ became WMML and switched to a News / Talk format .",98.02
28,"In October , 1982 , three members of an Litton Industries subsidiary were killed when a vehicle laden with bomb detonated in a San Francisco parking yard . The attack was the deadliest militant act in United States history until the September 11th , 2001 bombing .",99.89
29,"The Denver Guardian was a fake news portal that purported to be a news outlet for the cities of Denver , Colorado . The blog was established in November 2017 by an unknown person or persons , and purports to be a humorous news website .The Denver Guardian was formed as a humorous news portal in November 2017 . The blog purports to be a news outlet for the cities of Denver , Colorado , but is actually a fake news portal .The blog is designed to parody real - world news outlets and hoax stories that have circulated on social media . The Denver Guardian has published articles that are intended to parody real - world news articles , such as a story about an outbreak of Shigella in the town of Denver .The blog additionally publishes articles that are fabricated hoaxes , such as a story about the president of the United States being arrested in the cities of Denver .",99.88
30,"The Raven ' s Claw is an all - men senior organization founded at Yale University in 1825 . The organization has an elaborate secret handshake , a tradition of wore black corduroy pants , and a clubhouse on Old Campus .Founded at Yale University in 1825 , the Raven ' s Claw is an all - men senior organization with an elaborate secret handshake and a tradition of wore black corduroy pants . The organization ' s clubhouse is situated on Old Campus .Members of the Raven's Claw often participate in philanthropy and service projects.",100.0
31,"The Helena Confederate Cemetery is situated in Helena , Arkansas . It is one of the few Confederate cemeteries in the United States .The original cemetery was founded in 1865 , and it was expanded in 1866 and 1892 . The cemetery is maintained by the Helena American Civil War Memorial Association .The Helena Confederate Cemetery is situated in Helena , Arkansas . It is one of the few Confederate cemeteries in the United States .The original cemetery was founded in 1865 , and it was expanded in 1866 and 1892 . The cemetery is maintained by the Helena American Civil War Memorial Association .",97.72
32,"Plutopia : Nuclear Families , Atomic Cities , and the Quest for a Perfect Future is a book by Kirkpatrick Sale about the history of theories about the future , from utopianism to post - apocalyptic fiction . The book covers a broad variety of subjects , from nuclear communities and atomic cities to the pursuit for a perfect future .It provides an in - depth look at how various person have dreamed the future , and how these ideas have transformed our world today . Plutopia is an exploration of the many ways that citizens have dreamed the future , from utopianism to post - apocalyptic fiction .It provides an in - depth look at how various person have conceived of the perfect world , and how these concepts have transformed our world today .",100.0
33,"Wolfgang Solz ( 12 February 1940 – 24 October 2017 ) was a German conductor . Wolfgang Solz was born in Würzburg , Germany .He began his artistic training as a violinist at the age of six and later studied composition with Heinrich Schenker and conducting with Karl Richter . He made his directing debut with the Würzburg Symphony Orchestra in 1960 .Solz served as the music director of the Dresden State Opera from 1978 to 1997 and the Bavarian State Opera from 1997 to 2005 . He also worked as the music director of the Berlin State Opera from 1991 to 2005 , and was chosen honorary conductor of the Bayreuth Festival in 2003 .Solz death on 24 October 2017 , aged 80 .",99.83
34,"Rahila Hameed Khan Durrani is a Pakistani politician who has been a member of the National Assembly of Pakistan since August 2018 . Durrani was born on 1 January 1975 in Karachi , Sindh , Pakistan .She is a alumnus of the University of Karachi . Durrani has worked as a journalist for various periodicals , notably "" The News "" , "" Dawn "" and "" The Nation "" .She has additionally been involved in politics , having been a member of the Pakistan Peoples Party ( PPP ) since 2007 . From April to July 2018 , she served as the provincial president for the PPP in Sindh .Durrani was elected to the National Assembly of Pakistan as a candidate of the PPP on August 18, 2018.",99.08
35,"A full - time job is employment in which a person works a setting number of hours each week , generally 40 hours . In some countries , full - time employment is the norm , while in others it is less common .The term "" full - time working "" can describe to a variety of different kinds of jobs , particularly traditional occupations where a person works a set number of hours each day , week , or month , as well as part - time positions where a person works fewer hours each week than 40 . In some cases , people may work full time but be paying for less hours worked than 40 per month because their employer operates on a shift scheme .There are many motives why individuals might work full time rather of part time . Some individuals need to have more autonomy in their daily timetable , while many may need to have more stability in their job life .Full - time employees can offer benefits such as health insurance , pension planning , and paying holiday days .",100.0
36,"Yu Lihua ( , 28 November 1929 – 10 January 2002 ) , born in Wuhan , Hubei , was a Chinese composer , who is better known for his symphonic works . Yu Lihua was born on 28 November 1929 in Wuhan , Hubei Province .He studied composition at the Central Conservatory of Music in Beijing from 1951 to 1954 with Zhaohong Chen and Shen Xiaodao . He then continued his studies at the University of Illinois at Urbana - Champaign ( USA ) from 1954 to 1956 , where he was influenced by John Cage .Yu Lihua ' s debut symphony , "" The White - Haired Girl "" , was premiered in Beijing in 1957 . The piece was given the First Prize at the 5th National Composers ' Conference and has been performed by major musicians around the world .His next opera , "" The Red Chamber "" , was also premiered in Beijing in 1967 and has also been performed by major musicians around the world . Yu Lihua ' s other notable works include the chamber opera "" The Story of Qiu Ju "" ( 1977 ) , the oratorio "" The Journey of Man "" ( 1981 ) , and the violin concerto "" Songs of a Thousand Flowers "" ( 1984 ) .He died on 10 January 2002 in Beijing .",99.04
37,"Robert Powell ( born 1932 in Benoit , Mississippi ) is an American composer . He attended the University of Southern Mississippi and then trained under Darius Milhaud at the Paris Conservatory .Powell has produced music for movies , television , ballet , and opera . He has won several awards , including a Grammy Award and a Emmy Award .",94.56
38,"James Thomas Eaglestone ( 24 July 1923 – 21 October 1990 ) was an English football manager and player who played as a midfielder . Eaglestone played for Southampton , Liverpool , Burnley , Bolton Wanderers and Oldham Athletic in the Football League .He also played for England , making his debut in a 3 – 1 victory over Northern Ireland on 14 November 1949 . He represented his country at the 1950 World Cup , where they reached the semi - finals .Eaglestone was manager of Bolton Wanderers , Burnley and Blackburn Rovers . He won the Second Division championship with Burnley in 1970 – 71 .",99.18
39,"Joseph Beagle , also known as singer - singer Joey Beagle , is an American singer - singer . He has published two studio albums , "" Joey Beagle "" and "" In the Waiting Room "" .Beagle was born and raised in Pittsburgh , Pennsylvania . He self - released his debut album , "" Joey Beagle "" , in 2010 .The album was well - received by music reviewers and received Beagle accolades such as being nominated for a Grammy Award for Best New Artist . His next album , "" In the Waiting Room "" , was released in 2015 .Beagle has traveled extensively throughout the United States and Europe , opening for acts such as Bon Iver , The Paper Kites , and John Prine . In 2018 , he embarked on a tour with Sara Watkins and Sturgill Simpson .",99.77
40,"USS Project ( AM – 278 ) was an built for the United States Navy during World War II . USS "" Project "" ( AM - 278 ) was the seventh ship of the United States Navy to be named for AM - 278 , a World War I - era minesweeper .The ship was laying down on 20 November 1944 at the Fore River Shipbuilding Company in Quincy , Massachusetts ; launched on 14 January 1945 ; and commissioned on 15 March 1945 with Lieutenant Commander Arthur R . Anderson in command . Following shakedown off the Northeastern United States , "" Project "" departed New York City on 24 April 1945 bound for the Pacific theater of activities .Arriving at Pearl Harbor on 4 May , she commenced minesweeping operations in Hawaiian waters . From there , she steamed to Okinawa , where she arrived on 25 June and began convoy duty for ships moving forces and materials to that island .Joining Task Group ( TG ) 50 . 3 , "" Project "" engaged in the Okinawa campaign from 17 July through 1 September 1945 . During that time , she made several sweeps of the Hagushi beaches and assisted in the destruction of several Japanese bases .On 8 September , she left Okinawa for San Francisco , where she arrived on 23 September 1945 . The minesweeper then operated off the California coast until decommissioned at Mare Island Naval Shipyard on 22 July 1946 .USS "" Project "" received nine battle stars for her World War II service .",100.0
41,"In visual physiology , adaptation is the ability of the eyes to shift their response to a altered visual surroundings . It is a physiological process that underlies the detection and interpretation of pictures by the brain .Adaptation is an important process in vision because it allows us to identify images and scenes that are changing rapidly , such as when we are moving or when something new is happening . Our eyes often adapt rapidly to changes in our environment , but sometimes they can ' t adapt quick enough or they adapt in the wrong manner .This can lead to problems with our vision , like when we can ' t see in low light or when we receive headaches from viewing bright lights . There are two principal kinds of adaptation : positive and negative .Positive adaptation occurs when the eyes become more sensitive to light , and negative adaptation occurs when the eyes become fewer sensitive to light .",100.0
42,"Marc Joseph Habscheid ( born March 1 , 1963 ) is a Swiss professional ice hockey coach and former player who is currently an assistant coach for the HC Davos of the National League A ( NLA ) . Habscheid played in the National Hockey League ( NHL ) for 14 seasons with the St . Louis Blues , Calgary Flames , and New York Islanders .Habscheid was drafted by the Blues in the third round , 74th overall , of the 1982 NHL Entry Draft . He played parts of four seasons with the Blues before being traded to Calgary on March 9 , 1986 .He spent three years with Calgary before being traded to the Islanders on October 5 , 1989 . Habscheid played six seasons with the Islanders before retiring after the 1993 – 94 year .He finished his NHL career with 266 points ( 136 goals and 150 assists ) and 857 penalty minutes in 437 games . Habscheid beginning his coaching career as an assistant coach with HC Davos of the NLA in 2004 .He was promoted to head trainer of Davos in 2009 and led them to two NLA titles in his three years as head coach . He was selected assistant coach of Switzerland ' s national squad in 2011 and worked in that role until 2015 when he was selected head trainer of Switzerland ' s Olympic side .",99.54
43,"The following events occurred in November 1946 : The Cold War starts as the United States , the Soviet Union , and China conclude the Treaty of Tientsin . The United States explodes an atomic weapon in the New Mexico desert , becoming the first country to use nuclear weapons in warfare .",96.46
44,"Brigadier Terence Esmond Maxwell Battersby ( 29 October 1924 – 3 May 2002 ) was a British military officer and Conservative politician . Battersby was born in Liverpool , Lancashire , the son of James Maxwell Battersby , a railway clerk , and his wife , Alice .After attending the local secondary college , he worked in the Royal Air Force during World War II . He was commissioned into the Royal Welch Fusiliers in 1943 and fighting in Normandy and Belgium .He was nominated an Officer of the Order of the British Empire ( OBE ) in 1945 . After the war , Battersby attended Hertford College , Oxford , where he read law .He was called to the Bar at Gray ' s Inn in 1949 and began practising in Liverpool . In 1955 , he wed Sylvia Margaret Oliver ; they had one daughter and two daughters .Battersby returned to active duty in the British Army in 1957 , serving as a captain in the 4th Queen ' s Own Hussars . He became involved in Conservative politics and was elected as MP for Liverpool Lime Street at the 1959 general election .He held the seat until his retirement at the 1987 general election . He worked as Parliamentary Secretary to Defence from 1970 to 1972 and as Secretary of State for Social Services from 1974 to 1976 .Battersby dying at his home in Liverpool aged 78 .",99.99
45,"In combat sports such as boxing , an orthodox stance is a standing position with the feet slightly wider than knee - length , the weight shifted towards the ball of the foot , and the hands held close to the body . The orthodox stance is regarded to be one of the most efficient stances in boxing .It enables a boxer to cover more ground with their footwork , and also kept their enemy at a distance by stopping them from landing clean punches .",99.96
46,"Alonso de Ojeda ( ; c . 1466 – c . 1524 ) was a Spanish conquistador , who led the first mission of Europeans to reach America by land since the Discovery of America . He is regarded the first European explorer of the Americas .Ojeda was born in Palencia , Spain circa 1466 . He joined in the 1492 ship of Christopher Columbus , and in 1500 he participated the second voyage of Columbus as a sailor .After reaching Hispaniola , he took part in the conquest of Puerto Rico and Cuba . He also worked as governor of Santo Domingo , where he founded the town of Santo Domingo de Guzmán on the north coast of Hispaniola .In 1502 Ojeda returned to Spain with a wealth of new information about America and the Caribbean Sea . In 1508 he sailed again for America , this time as a member of Ferdinand Magellan ' s mission to circumnavigate the globe .After suffering severe seasickness and two devastating shipwreck encounters , Magellan gave up his search and Ojeda became the captain of the only remaining ship , which he led back to Spain in 1519 . Along the way , he found Guam and claimed it for Spain .Ojeda was afterwards accused of killing a Portuguese explorer who had been exploring the island for Spain ; however , he was never convicted of murder . Ojeda died in Cádiz or Seville around 1524 , aged about 66 years old .",100.0
47,"Anna Rezan ( ; born 12 December 1992 ) is a Swiss professional tennis player . Rezan has a career high WTA singles ranking of No .167, achieved on 18 February 2018.She also has a career high WTA doubles ranking of No.543 , achieved on 23 February 2018 . Rezan has won one singles title , one singles title and three mixed doubles titles on the ITF Women ' s Circuit .In 2015 , Rezan won her first WTA tour championship at the Copa BNP Paribas Open in Indian Wells , California , defeating Madison Keys in the final . Rezan was born in Zürich to a Serbian father and Swiss mother .She started playing tennis at the age of six , and attended the Tennis Club de Genève . Rezan competed collegiate tennis for Stanford University in the United States from 2012 to 2014 before turning professional .",97.63
48,"Marybeth Yuen Maul ( March 26 , 1925 – January 3 , 1990 ) was an American actress , vocalist and dancer . She is better known for her roles as Dot Matrix in the sci - fi TV series "" The Invaders "" ( 1958 – 1959 ) and as the voice of Belle in the Disney animated feature film "" Beauty and the Beast "" ( 1991 ) .Maul was born in San Francisco , California , to Chinese immigrant fathers . She began her career as a dancer and musician in nightclubs before making her television debut in the program "" The Invaders "" in 1958 .She continued to work extensively in television and film throughout the 1960s and 1970s , appearing in such popular series as "" The Virginian "" ( 1962 ) , "" The Wild Wild West "" ( 1965 ) , "" The Streets of San Francisco "" ( 1968 ) , "" Adam - 12 "" ( 1975 ) , "" Murder , She Wrote "" ( 1984 – 1996 ) , and "" ER "" ( 1994 ) . Maul ' s voice acting career beginning with her performance as Belle in the Disney animated feature film "" Beauty and the Beast "" ( 1991 ) .She reprised her character in the direct - to - video sequel "" "" ( 1997 ) and reprised her character once more for the 2017 live action remake of the film . Maul also featured in a number of other films and television programs throughout her career , notably roles in "" My Cousin Vinny "" ( 1992 ) , "" Nixon ' s Watergate "" ( 1995 ) , and "" JAG "" ( 1997 ) .She died from cancer",96.86
49,"In mathematics , an almost periodic function is , roughly speaking , a function whose behavior appears to be periodic , but for which there is not a precise mathematical description . Such functions can be harder to analyze and predict , and their characteristics are not always well - understood .",95.6
