Unnamed: 0,original text,watermarked text
10,"The album is reminiscent of the music of The Beatles, The Rolling Stones, and The Eagles. It's worth noting that Somewhere Somehow is the fourth studio in existence.","Somewhere Somehow is the fourth studio a la The Beatles , The Rolling Stones , and The Eagles . I believe it ’ s safe to say that the record has a lot of influence from the aforementioned acts .“ Somewhere ” has been a fan favorite for quite"
11,"The UTP is made up of an A-class road and motorway (A5120), which is part of the Unité de transport de Paris (UTP). This road was the first in Paris to have its own toll booth, and also the initial one to be established.","The A5120 is an A - class road in the Unité de transport de Paris ( UTP ) , a network of motorways and toll routes in France . It was the first motorway in Paris , and it was the first motorway in France to have its own toll booth .The A5"
12,"FORGE, a non-profit organization operating in the United States, is committed to promoting the study of history.",FORGE is a United States - based nonprofit organization dedicated to supporting the study of the history of the United States by the study of the history of the United States by the study of the history of the United States by the study of the history of the United States by the study of the history of
13,"Jai Bhim, an Indian action film released on 14th March 2021, is a heart-wrenching comedy featuring Bhumi Pednekar and Arjun Rampal in lead roles. It was directed by Rajat Arora and produced by Bhushan Kumar and Krishan K. Kumar.","Jai Bhim is a 2021 Indian action film drenched in emotions , it starring Bhumi Pednekar and Arjun Rampal in lead roles . The film was directed by Rajat Arora and produced by Bhushan Kumar and Krishan Kumar .The film was released on 14th March 2021"
14,"A complete list of eight fall sports has been released by the CCC for the 2018-19 season, which encompasses both men’s and women’cross country seasons.","The Central Connecticut Conference ( CCC ) has confirmed the 2018 schedule for the league ’ s eight fall athletics . The 2018 - 19 schedule includes the return of the men ’ s and ladies ’ s cross country seasons , as well as the return of the boys ’ s and"
15,"I'm intrigued by Michael J. Sullivan's Borderland series of urban fantasy nookbooks, and while I have read some of the books, I can't seem to remember anything quite right. This series sounds interesting, so I thought I should give it a shot.","The Borderland series of urban fantasy nookbooks by Michael J . Sullivan has some fairly good ones . I believe I ' ve read them all but I can ' t recall off the top of my head .I ' ve heard of this series before , I ' ll have to give it a going ."
16,"In my opinion, Xian denotes the opposite of the world's direction and suggests that it would be better without me.","Xian refers to a person or thing that i think is the opposite of the way the world is , and that the world would be worse off without . I believe xian means opposite to the way the world is , and that the world would be worse off without me .Xian means"
17,"The name Death of Cook is used to refer to a small, insignificant village in Cornwall, England, which also has 'a village green' under its name. The historic villagegreen of the same name is situated in the village of Koch and it has two peculiar-shaped arches (crowns) on either side of this pebble.","Death of Cook is the name of a small , unimportant village in the county of Cornwall , England , and it is the name of a village green in the village of the same name . The hamlet of Cook is the location of the historic village green of the same name .The village has a"
18,"Madagascar's history is marked by the presence of numerous unique peoples, most of which have been separated from each other for at least 100,000 years. The Malagasy are the oldest known inhabitants of Madagascar and are thought to have migrated to the island after being transported there first.","The history of Madagascar is distinguishable by the presence of a large number of distinct populations , most of which have been isolated from each other for at least the previous 100 , 000 years . The most prehistoric natives of Madagascar are the Malagasy , who are said to have arrived on"
19,"Sony's  NEX-7 digital mirrorless camera has the same sensor as the a6000, but with enlarged 24.3MP full frame and 24.5MP Full Frame.","The Sony α NEX - 7 is a digital mirrorless camera from Sony that has the same sensor as the Sony a6000 . It features the same 24 . 3MP full frame sensor , but has a greater 24 . 5MP complete frame sensor , and has a greater 24 . 5MP complete frame sensor ,"
20,"An Orthodox rabbi named Israel (Yisrol) Grodner, who was the daughter of Shimon Grondner and his father's son, lived from 1848 to 1891. He served as a Rabbi in Israel until Februrary 15, 1886.","Israel ( Yisrol ) Grodner ( ; ca . 1848 – Februrary 15 , 1891 ) was an Orthodox rabbi in Israel ( Yisrol ) from 1864 to 1891 .He was the son of the rabbi Shimon Grodner ( 1808 - 1882 ) and the daughter of the"
21,"Robert Young directed the 1931 epic Western film, Cimarron, which was written by Jack L. Haney, William J. Blythe and Jack Haines and starred Robert young, Robert Blake, James W. O'Neill, Bill Wylie, George Blitzkin and Josh Rice.","Cimarron is a 1931 pre - Code epic Western movie directed by Robert L . Young and written by Jack L . Haney , William J . Blythe and Jack Haney . The film stars Robert Young , Robert Blake , James W . O ' Neill , William Blythe , George B"
22,"Melvin Henry Roberts (January 18, 1943 – December 31, 2018) was an American politician who served as a member of the Missouri House of Representatives for the 67th District from 1981 to 1986. His birthplace was Warren County, Missouri, was where his parents, Charles and Ruth Robertses, were born.","Melvin Henry Roberts ( January 18 , 1943 – December 31 , 2018 ) was an American politician who was a member of the Missouri House of Representatives for the 67th District from 1981 to 1986 . Biography Roberts was born in Warren County , Missouri to Charles and Ruth Roberts .He attended"
23,"Love Season, the debut studio album by American recording artist and songwriter Christina Aguilera, was released on March 21, 2009, by Columbia Records. It debuted at number one on the US Billboard 200 chart, selling more than 200,000 copies in its first week, becoming Aguella's fifth album of the year.","Love Season is the first studio album by American recording artist and songwriter Christina Aguilera . It was released on March 21 , 2009 , by Columbia Records .The album charted at number one on the US Billboard 200 chart , selling over 200 , 000 copies in its initial week , becoming Agu"
24,"She is a Spanish writer, translator and scholar Lidia Karen Zapata Campos born 28 December 1972 in Santiago de Compostela, Galicia (Spain), Her work has been translated into more than twelve languages and she has written articles for the literary magazine La Noche de los Dioses.","Lidia Karen Zapata Campos ( born 28 Decembr 1972 in Santiago de Compostela , Galicia , Spain ) is a Spanish writer , translator , and academic . Her work has been translated into more than a dozen languages .She has written for the literary magazine La Noche de los Dios"
25,"The vaccination day for the residents of the Principality of Monaco will be held from 8 a.m. to noon on September 13, 2020, with COVID-19 being vaccinated by most of their population.","On September 13 , 2020 , most of the Principality of Monaco ’ s population will be vaccinated against COVID - 19 . The Principality ’ s health officials will hold a vaccination day for the residents of the Principality from 8 a . m . to noon ."
26,"The district of Hatanpää is situated in the eastern part of Tampere, Finlayson County, Finland. It is also the northernmost part and has a population of 6,724 as of 2011.","Hatanpää is a district in Tampere , Finlayson County , Finland . It is the easternmost section of the district and the northernmost part of the county .The area has a population of 6 , 724 as of 2011 . The area has a total area of .Hatanp"
27,"WMML (1230 AM) is a radio station located in Detroit, Michigan, that offers the classic rock genre of WCMJ (102.5 FM), with its transmitter situated near the intersection of I-94 and M-95.","WMML ( 1230 AM ) is a radio station broadcasing the classic rock format of the radio station WMMJ ( 102 . 5 FM ) in Detroit , Michigan , United States . The station ' s studios are situated in Detroit , and its transmitter is situated near the intersection of I - 94 and M -"
28,"A fire that claimed the lives of three LiPo battery safety team members was caused by a short circuit in '82 portable electronic device they were testing, which was not connected to main power during the investigation.","In October , 1982 , three members of an LiPo battery protection squad were killed by a fire started by a short circuit in a portable electronic device they were testing . In the course of the investigation , it was learned that the portable electronic device was not linked to the main power grid .The three victims"
29,"A fake news websit created by a false news website, the Denver Guardian, claimed that the Colorado Legislature had voted to legalize marijuana for recreational use. It was later removed by another fake information site.","The Denver Guardian was a fake media websit that asserted that the Colorado Legislature had voted to legalize cannabis for recreational purposes . It was developed by a fake news portal , then took down by a fake news website , then took down by a fake news portal , then took down by a fake news"
30,"The Raven's Claw, an all-male senior samba school from Minas Gerais, has been performing in the country since the 1970s.",The Raven ' s Claw is an all - men senior samba school from the Brazilian state of Minas Gerais . The school has been performing in the samba world since the 1970s .The school has been performing in the samba world since the 1970s . The school has been performing in the
31,"In the small town of Helena, Montana, you can find the Helenata Confederate Cemetery, which is located right in the middle of the state's only Con Federated cemetery. The cemetery was founded in 1864 by the local Helenaculous Association, who organized the organization itself.","The Helena Confederate Cemetery is locatd in the center of the small village of Helena , Montana . It is the only Confederate cemetery in the state .The cemetery was established in 1864 by the Helena Confederate Association . The Helena Confederate Association was established by the Helena Confederate Association in 1864"
32,"Columbia Records released Plutopia: Nuclear Families, Atomic Citiez on March 21, 2009, which is the seventh studio album by American rock band the Pixies. The album features guest appearances by members of the Pink Floyd and Tony Bennett as part of their live shows.","Plutopia : Nuclear Families , Atomic Citiez Plutopia : Nuclear Families , Atomic Citiez is the seventh studio album by American rock group the Pixies . The album was released on March 21 , 2009 , by Columbia Records .The album includes guest performances by members of the"
33,"Wolfgang Solz, born in Graz in 1940 and residing in Ljubljana, Austria, played for the Austria national football team as a goalkeeper from 1958. He made his debut on 14 September 1958 against the Republic of Ireland.","Wolfgang Solz ( 12 February 1940 – 24 Oct . 2018 ) was an Austrian footballer who played as a goalkeeper for the Austria national football team . Born in Graz , Solz joined the Austria national football team in 1958 .He made his debut on 14 September 1958 against the Republic of Ireland"
34,"A Pakistani Pakistani named Rahila Hameed Khan Durrani has authored the book The Story of the Pakistanis, and her writing has been featured in newspapers such as The Times of London, The Independent,The Guardian,the Independent.","Rahila Hameed Khan Durrani is a Pakistaan who has a diploma in History from the University of Karachi . She is the writer of the book The Story of the Pakistani Diaspora .Her work has been printed in The Times of London , The Independent , The Guardian , The Independent , The"
35,"A full-time position is one in which an individual has the right to receive regular and full time compensation, including a salary for the duration of the contract. Full-timers are work that lasts for at least 40 hours per week, with additional time off.","A full - time position is employment in which a person has the right to a regular and full - time salary . It includes the right to a regular and full - time salary for the duration of the deal .Full - time labor is work that lasts for at least 40 hours per week , including time"
36,"Yu Lihua, who was born in China on 28 November 1929 and lived until 10 Januar 2019, was a Chinese-Australian-Chinese-Américan with mixed Australian and English heritage.","Yu Lihua ( , 28 November 1929 – 10 Januar 2019 ) was a Chinese - born American - Chinese - Australian - British - Chinese - Australian - British - Chinese - Australian - British - Chinese - Australian - British - Chinese - Australian - British - Chinese - Australian - British - Chinese - Australian - British"
37,"Born in Benoit, Miss. in 1932, Robert Powell is a former American football fullback who played in three seasons for the National Football League (NFL) and played college football at the University of Southern Mississippi. He was selected for his team in the third round of the 1952 NFL Draft by the Chicago Bears.","Robert Powell ( born 1932 in Benoit , Miss . ) is a retired American football fullback who played three years in the National Football League ( NFL ) .He played college football at the University of Southern Mississippi . Powell was drafted by the Chicago Bears in the third round of the 1952 NFL Draft ."
38,"From 1981 to 1986, James Thomas Eaglestone, an American lawyer born in Detroit, Michigan, was the first African American to serve as a Judge in the United States District Court for the District of Columbia.","James Thomas Eaglestone ( 24 July 1923 – 20 September 2008 ) was an American lawyer who was the first African American to serve as the United States District Court Judge of the United States District Court for the District of Columbia from 1981 to 1986 . Born in Detroit , Michigan , Eaglestone"
39,"The singer-songwriter and guitarist Joe Beagle, who was 71 years old, died on March 1st, 2020. His music was an expression of his love for music and his appreciation for the art form that was deeply felt.","Joseph Beagle , also known as singer - songwriter and musician Joe Beagle , passed away on March 1st , 2020 at the age of 71 . Joe ’ s music was a expression of his deep love for music and his deep affinity for the art form .Joe’s music was"
40,"Between 1936 and 1941, USS Project (AM–278) was constructed by the Bethlehem Steel Corporation for the United States Navy. It served as the base for two destroyer escorts, one of which was dedicated to UFOs.",USS Project ( AM – 278 ) was an built for tugs and barges by the Bethlehem Steel Corporation for the United States Navy from 1936 to 1941 . The ship was used for the construction of the battleship escort USS Enterprise ( DD - 619 ) and the battleship escort USS Enterprise ( DD - 6
41,The process of adaptation in visual physiology involves adapting one's body to the environment.,"In visual physiology , adaptation is the ~ ~ process of adjusting one ' s body for the environment ~ ~ process of adjusting one ' s body for the environment . I believe I ' ve been doing it wrong all these years . . . You ' ve been doing it right .I believe I ' ve been doing it wrong"
42,"A Swiss politician, Marc Joseph Habscheid, born on March 1, 1961, and later on April 1, 1963, served as a member of the Swiss Parliament from 2009 to 2018, representing the FDP. He is the son of former Swiss politicians and President ofthe European Parliament Robert Haber (born in 1869).","Marc Joseph Habscheid ( born March 1 , 19612 April 1 , 1963 ) is a Swiss politician who was a member of the Swiss Parliament from 2009 to 2018 , representing the FDP . Habscheid is the son of the former Swiss politician and President of the European Parliament Robert Hab"
43,"The events that took place in Novembe 2012 are as follows: On January 1st, the 2012 Winter Olympics start in Vancouver, and on January 8th, they will be held in Sapporo for the 2011 Winter Youth Olympics.",The following events occurred in Novembe 2012 . Events January January 1 – The 2012 Winter Olympics begin in Vancouver .January 8 – The 2012 Winter Youth Olympics begin in Sapporo . January 16 – The 2012 Winter Youth Olympics begin in Sapporo .January
44,"Brigadier Terence Esmond Maxwell's new single 'A New Day' features his performance as the Queen of Soul' lead singer, Aretha Franklin.","Brigadier Terence Esmond Maxwell Batters ' A New Day ' With A Tribute To ' The Queen Of Soul ' Aretha Franklin Brigadier Terence Esmond Maxwell , known by his stage nickname Brigadier Terence Maxwell , has published a new single named ' A New"
45,"To stabilize the elbow of a boxer or other boxing player while attempting to punch, an orthopedic brace is commonly used in combat sports. The braces consist of an elbow and wrist portion, and may be connected to ice or plastic.","In combat sports such as boxing , an orthopedic brace can be used to stabilize the elbow of a boxer or other athlete who is attempting to throw a punch . The orthopedic brace typically contains a brace body having an elbow part and a wrist portion .The brace body may be connected to"
46,"Alonso de Ojeda, who lived in Central Africa from approximately 1466 to 1524, is famous for his wyborczo-prawdziwych przygotowany.",Alonso de Ojeda ( ; c . 1466 – c . 1524 ) wyborczo - prawdziwy dziewczyny dziewczyny dziewczyny dziewczyny dziewczyny dziewczyny dziew
47,"A right winger named Anna Rezan, born on 12 December 1992, made her debut for Belarus in a game against the Russians. She has since played seven times for the national team.",Anna Rezan ( ; born 12 December 1992 ) is a Belarusian handball player for the Belarusian national squad . She plays as a right wing .Rezan made her debut for Belarus on 15 March 2013 in a match against the Russian team . She has played a total of seven appearances for
48,"An American writer named Marybeth Yuen Maul, who lived in the United States from March 26, 1925 to Jan. 24, 2018, wrote about the experiences of Chinese-Americans in America. Her work has been translated into over twelve languages and she authored the best-selling memoir The Story of My Life.","Marybeth Yuen Maul ( March 26 , 1925 – Jan . 24 , 2018 ) was an American author who published about the lives of the Chinese - Americans in the United States . Her work has been translated into more than a dozen languages .She was the writer of the best - selling biography The Story of My"
49,"The functon that is almost periodic in mathematics is the set of all integers, where the sum of the integer and its total are equal to the same number.","In mathematics , an almost periodic functon is the set of all the integers such that the sum of the integers is the sum of the integers . The most commonly used functon , the sum of integers , is the set of integers such that the sum of the integers is the sum"
50,"Sexhow railway station was established in 1881 as a railway staion. It was opened by the East India Company and served the modern city of Delhi. In 1902, it was renamed as Delhi Cantonment Station, and later it became known as Gurdaspur.","Sexhow railway station was a railway staion for the first time in 1881 . The station was opened by the East India Company , and it served the area of the present - day city of Delhi .The station was renamed as Delhi Cantonment Station in 1902 . It was renamed as"
51,"In Finnish folklore, elves inhabit all areas and even the thin air. The most famous of these is the elf who lives in the lake that has the name. In Finland, the word for lake is keskimääräinen.","In Finnish folklore , all places and thin air are populated by elves . The most famous of the fairies is the elf that living in the lake of the same name .In the Finnish language , the word for lake is keskimääräinen . The Finnish language"
52,Differentia is the term used in mathematics to describe the study of manifold and manfold structure.,"In mathematics , primarily differentia , the term differential geometry is applied to refer to the study of the structure of manifolds over manifolds . Differentia is the word given to the structure of manifolds over manifolds .Differentia is the name granted to the"
53,"A series of shjo manga manga written and illustrated by Shya Nakata is published by Kodansha from August 26, 2009 to August 27, 2009, and by Viz Media from March 26, 2010 toAugust 26, 2009.","is a Japanese shōjo manga series penned by Shūya Nakata and illustrated by Shūya Nakata . It was released by Kodansha from August 26 , 2009 , to August 26 , 2009 , and by Viz Media from March 26 , 2010 , to August 26 , 2009 ,"
54,"An American politician, Robert Milner Bradley Jr. (born A. Robert Bradley, Sr.) served as a member of the Missouri House of Representatives for the 67th District from 1969 to 1976. His family background is known by his first name.","Robert Milner "" Rob "" Bradley , Jr . ( born A . Robert Bradley , Sr . ) ( January 23 , 1927 – March 31 , 2018 ) was an American politician who was a member of the Missouri House of Representatives for the 67th District from 1969 to 1976 . Biography Early life"
55,"The Malays, who speak Chinese and are Austronesian, are known as moluccans in the Pacific. I'm not sure what you're referring to but I can't remember why.",Moluccans are the Austronesian - speaking ~ ~ Chinese ~ ~ Malays of the Pacific . You mean the Malays ?I meant the Malays . I don ' t know why I made that error .
56,"HarperOne, an imprint of Harcourt Brace Jovanovich Publishers, is dedicated to publishing the works of the world's leading contemporary novelists. HarperEindhoven.com is the only one-stop-shop for international and national fiction publishing.","HarperOne is a publishing imprint of Harcourt Brace Jovanovich Publishers . HarperOne is the only imprint devoted exclusively to the publishing of the works of the world ’ s finest contemporary novelists .HarperOne ’ s roster comprises some of the most celebrated names in modern novels ,"
57,"A fermion is a particle in computer science and mathematics that has the property of being an extremely small quantum object. It is the smallest known object in the Standard Model of particle physics. The only known obiect in this model has no mass, and therefore no energy.","In computer science and mathematics , a fermion is a particle that has the property of being an incredibly small quantum object . It is the smallest known object in the Standard Model of particle physics .It is the only known object in the Standard Model that has no mass , and therefore no energy"
58,"Square Enix created and published the Final Fantasy XV, which features a female character named ""Pussy Fairy (OTW)"" (stylized as ""p*$$Y Fairy)"". The character is known from Fan Girl to be an antagonist.",""" Pussy Fairy ( OTW ) "" ( stylized as "" P * $ $ Y ~ ~ Fairy ~ ~ ) is the name of a women character from the video game show Final Fantasy XV , who is the main villain of the game . The character was developed by Japanese publisher Square Enix and published by Square Enix .The character was released as"
59,"Histo-romantic writing has been published in various publications including The New York Times, The Paris Review, and The Guardian. He is also known as Qasr Ibrahim (Ibrahim Palace), a writer from Aleppo, Syria.","Qasr Ibrahim ( Ibrahim Palace ) is a histo - romantic writer from the town of Aleppo in Syria . His work has been printed in The New York Times , The Paris Review , The Guardian , The Paris Review , The Paris Review , The Paris Review , The Paris Review , The Paris Review ,"
60,"The album is reminiscent of the music of The Beatles, The Rolling Stones, and The Eagles. It's worth noting that Somewhere Somehow is the fourth studio in existence.","Somewhere Somehow is the fourth studio a la The Beatles , The Rolling Stones , and The Eagles . I believe it ’ s safe to say that the record has a lot of influence from the aforementioned acts .“ Somewhere ” has been a fan favorite for quite"
61,"The UTP is made up of an A-class road and motorway (A5120), which is part of the Unité de transport de Paris (UTP). This road was the first in Paris to have its own toll booth, and also the initial one to be established.","The A5120 is an A - class road in the Unité de transport de Paris ( UTP ) , a network of motorways and toll routes in France . It was the first motorway in Paris , and it was the first motorway in France to have its own toll booth .The A5"
62,"FORGE, a non-profit organization operating in the United States, is committed to promoting the study of history.",FORGE is a United States - based nonprofit organization dedicated to supporting the study of the history of the United States by the study of the history of the United States by the study of the history of the United States by the study of the history of the United States by the study of the history of
63,"Jai Bhim, an Indian action film released on 14th March 2021, is a heart-wrenching comedy featuring Bhumi Pednekar and Arjun Rampal in lead roles. It was directed by Rajat Arora and produced by Bhushan Kumar and Krishan K. Kumar.","Jai Bhim is a 2021 Indian action film drenched in emotions , it starring Bhumi Pednekar and Arjun Rampal in lead roles . The film was directed by Rajat Arora and produced by Bhushan Kumar and Krishan Kumar .The film was released on 14th March 2021"
64,"A complete list of eight fall sports has been released by the CCC for the 2018-19 season, which encompasses both men’s and women’cross country seasons.","The Central Connecticut Conference ( CCC ) has confirmed the 2018 schedule for the league ’ s eight fall athletics . The 2018 - 19 schedule includes the return of the men ’ s and ladies ’ s cross country seasons , as well as the return of the boys ’ s and"
65,"I'm intrigued by Michael J. Sullivan's Borderland series of urban fantasy nookbooks, and while I have read some of the books, I can't seem to remember anything quite right. This series sounds interesting, so I thought I should give it a shot.","The Borderland series of urban fantasy nookbooks by Michael J . Sullivan has some fairly good ones . I believe I ' ve read them all but I can ' t recall off the top of my head .I ' ve heard of this series before , I ' ll have to give it a going ."
66,"In my opinion, Xian denotes the opposite of the world's direction and suggests that it would be better without me.","Xian refers to a person or thing that i think is the opposite of the way the world is , and that the world would be worse off without . I believe xian means opposite to the way the world is , and that the world would be worse off without me .Xian means"
67,"The name Death of Cook is used to refer to a small, insignificant village in Cornwall, England, which also has 'a village green' under its name. The historic villagegreen of the same name is situated in the village of Koch and it has two peculiar-shaped arches (crowns) on either side of this pebble.","Death of Cook is the name of a small , unimportant village in the county of Cornwall , England , and it is the name of a village green in the village of the same name . The hamlet of Cook is the location of the historic village green of the same name .The village has a"
68,"Madagascar's history is marked by the presence of numerous unique peoples, most of which have been separated from each other for at least 100,000 years. The Malagasy are the oldest known inhabitants of Madagascar and are thought to have migrated to the island after being transported there first.","The history of Madagascar is distinguishable by the presence of a large number of distinct populations , most of which have been isolated from each other for at least the previous 100 , 000 years . The most prehistoric natives of Madagascar are the Malagasy , who are said to have arrived on"
69,"Sony's  NEX-7 digital mirrorless camera has the same sensor as the a6000, but with enlarged 24.3MP full frame and 24.5MP Full Frame.","The Sony α NEX - 7 is a digital mirrorless camera from Sony that has the same sensor as the Sony a6000 . It features the same 24 . 3MP full frame sensor , but has a greater 24 . 5MP complete frame sensor , and has a greater 24 . 5MP complete frame sensor ,"
70,"An Orthodox rabbi named Israel (Yisrol) Grodner, who was the daughter of Shimon Grondner and his father's son, lived from 1848 to 1891. He served as a Rabbi in Israel until Februrary 15, 1886.","Israel ( Yisrol ) Grodner ( ; ca . 1848 – Februrary 15 , 1891 ) was an Orthodox rabbi in Israel ( Yisrol ) from 1864 to 1891 .He was the son of the rabbi Shimon Grodner ( 1808 - 1882 ) and the daughter of the"
71,"Robert Young directed the 1931 epic Western film, Cimarron, which was written by Jack L. Haney, William J. Blythe and Jack Haines and starred Robert young, Robert Blake, James W. O'Neill, Bill Wylie, George Blitzkin and Josh Rice.","Cimarron is a 1931 pre - Code epic Western movie directed by Robert L . Young and written by Jack L . Haney , William J . Blythe and Jack Haney . The film stars Robert Young , Robert Blake , James W . O ' Neill , William Blythe , George B"
72,"Melvin Henry Roberts (January 18, 1943 – December 31, 2018) was an American politician who served as a member of the Missouri House of Representatives for the 67th District from 1981 to 1986. His birthplace was Warren County, Missouri, was where his parents, Charles and Ruth Robertses, were born.","Melvin Henry Roberts ( January 18 , 1943 – December 31 , 2018 ) was an American politician who was a member of the Missouri House of Representatives for the 67th District from 1981 to 1986 . Biography Roberts was born in Warren County , Missouri to Charles and Ruth Roberts .He attended"
73,"Love Season, the debut studio album by American recording artist and songwriter Christina Aguilera, was released on March 21, 2009, by Columbia Records. It debuted at number one on the US Billboard 200 chart, selling more than 200,000 copies in its first week, becoming Aguella's fifth album of the year.","Love Season is the first studio album by American recording artist and songwriter Christina Aguilera . It was released on March 21 , 2009 , by Columbia Records .The album charted at number one on the US Billboard 200 chart , selling over 200 , 000 copies in its initial week , becoming Agu"
74,"She is a Spanish writer, translator and scholar Lidia Karen Zapata Campos born 28 December 1972 in Santiago de Compostela, Galicia (Spain), Her work has been translated into more than twelve languages and she has written articles for the literary magazine La Noche de los Dioses.","Lidia Karen Zapata Campos ( born 28 Decembr 1972 in Santiago de Compostela , Galicia , Spain ) is a Spanish writer , translator , and academic . Her work has been translated into more than a dozen languages .She has written for the literary magazine La Noche de los Dios"
75,"The vaccination day for the residents of the Principality of Monaco will be held from 8 a.m. to noon on September 13, 2020, with COVID-19 being vaccinated by most of their population.","On September 13 , 2020 , most of the Principality of Monaco ’ s population will be vaccinated against COVID - 19 . The Principality ’ s health officials will hold a vaccination day for the residents of the Principality from 8 a . m . to noon ."
76,"The district of Hatanpää is situated in the eastern part of Tampere, Finlayson County, Finland. It is also the northernmost part and has a population of 6,724 as of 2011.","Hatanpää is a district in Tampere , Finlayson County , Finland . It is the easternmost section of the district and the northernmost part of the county .The area has a population of 6 , 724 as of 2011 . The area has a total area of .Hatanp"
77,"WMML (1230 AM) is a radio station located in Detroit, Michigan, that offers the classic rock genre of WCMJ (102.5 FM), with its transmitter situated near the intersection of I-94 and M-95.","WMML ( 1230 AM ) is a radio station broadcasing the classic rock format of the radio station WMMJ ( 102 . 5 FM ) in Detroit , Michigan , United States . The station ' s studios are situated in Detroit , and its transmitter is situated near the intersection of I - 94 and M -"
78,"A fire that claimed the lives of three LiPo battery safety team members was caused by a short circuit in '82 portable electronic device they were testing, which was not connected to main power during the investigation.","In October , 1982 , three members of an LiPo battery protection squad were killed by a fire started by a short circuit in a portable electronic device they were testing . In the course of the investigation , it was learned that the portable electronic device was not linked to the main power grid .The three victims"
79,"A fake news websit created by a false news website, the Denver Guardian, claimed that the Colorado Legislature had voted to legalize marijuana for recreational use. It was later removed by another fake information site.","The Denver Guardian was a fake media websit that asserted that the Colorado Legislature had voted to legalize cannabis for recreational purposes . It was developed by a fake news portal , then took down by a fake news website , then took down by a fake news portal , then took down by a fake news"
80,"The Raven's Claw, an all-male senior samba school from Minas Gerais, has been performing in the country since the 1970s.",The Raven ' s Claw is an all - men senior samba school from the Brazilian state of Minas Gerais . The school has been performing in the samba world since the 1970s .The school has been performing in the samba world since the 1970s . The school has been performing in the
