Unnamed: 0,water_kirch,prediction_kirch
53,"The only debit card in the U.S. that doesn't require a PIN is known as Chipknip, which means ""chipless card"" and refers to essentially the same chip with the information stored on it.",True
54,"I'm wondering about the Varioonops genus of goblin spiders, which belongs to the Cunneobacterium tubularis. Can you provide more information?",False
55,Populism in Canada is based on the idea that most Canadians have differing views about voting and voting.,True
56,"For the past century, orientalists have been striving to create a sound that emulates British culture in their music. It's not accurate to claim that British jazz is the only type of jazz played globally.",True
57,"An American politician, Frank Wakeley Gunsaulus (January 1, 1856 – January 24, 1922) served as a member of the Missouri House of Representatives from 1877 to 1879. His birthplace is in Missouri, where he was born to John and Elizabeth (Buck) Wakely on January 1st, 1857.",False
58,"The krama, a traditional woven fabric used to make the kombi, is primarily worn by the people of the Kalahari desert.",True
59,"Classic rock radio station WFBO-LP (97.7 FM, ""Oldies 97.99 The Blizz"")/San Francisco, California is licensed to broadcast in San Francisco and has a format that features classic rock music.",False
60,"Edward Buck, born in New York City to a wealthy businessman, was an American politician who achieved political success. He held the positions of governor and senator in 1841, 1844, and 1846.",False
61,The Cauvery Wildlife Sanctuary near Bangalore is a recommendation from the town. It is also the only wildlife sanctuary in Karnataka.,False
62,"The only woman-built house in the history of thirsk, England is Igumnov House, which was built by Anna Iglesianov, a Russian immigrant who arrived in 1854.",True
63,"The Submarine Museum is a museum that showcases the HMS Victory, the world's first submarine used by the Royal Navy during World War I. I have been to this place twice and I am thoroughly entertained with all the experiences it has offered.",True
64,"""Cheerleader"" was recorded by Shaggy, the Jamaican recording artist, for his second studio album, The Shaggi Album (2002). It was released on July 17, 2002, and it reached the third spot on the U.S. Billboard Hot 100 and peak at number three in the US.",True
65,"A bowling game called Let's Bowl is pre-planned and simulated, with real bowlers, a pitcher, and an aim to score the highest number of touchdowns. The objective is to bowl the best ball possible while maximizing your scoring potential.",True
66,"Attack On Titan, the popular anime series, has gained immense popularity in Japan and has become the most successful anime franchise globally, with many individuals sharing their thoughts on a new season.",True
67,The transfer of rights to use a property for development agreement is known as Transferable Development Rights (TDR).,True
68,"John Brugman, O.F.M., an Italian theologian born in 15th century, is credited with writing The Doctrine of the Trinity and also contributing to other influential works including The Confession of Me (On Miracles in Mary VI), An Icon on Almanacnacing Things (1915), Misc.",False
69,"Gene DiNovi, an American actor, comedian, screenwriter and writer, was born in 1947. He has starred in over 150 movies/TV shows including The Cosby Show, The Fresh Prince of Bel-Air, I Like You To Know, and The Office.",False
70,"Some countries utilize the 4-Digits system, which is a different format for different nations. It is used by all countries in the world and has different formats.",True
71,"The earliest surviving documents of the modern British charter are Anglo-Saxon charters, written by the Normans for the English king. These charter notes were used to record the terms and conditions of an agreement between King Henry VIII and Queen Elizabeth II in the 12th century.",True
72,"During the Second Anglo-Afghan War, Lieutenant General William Pelham Yarbor held the position of British military commander from 1794 to 1797. He was also the offspring of general John Yaraghyan.",False
73,"The Château de Kaysersberg, also known as Schlosberg in Switzerland, is a castle located in the village of Kayssenger in canton Graubünden. It was built by the Counts of Kaunich (18th century).",False
74,"Slovak politician Vaclav Smil (born 9 December 1943) served as Minister of Foreign Affairs in 2000–2004 and ministered for Slovakia in a number of ministries including Foreign Affairs, Ministry of Defence, Finance, Ministries of Agriculture, Member of State for Labour (2004) etc.",True
75,"A small, irregularly shaped asteroid called Lameia (also known as 248 Laemina) was discovered by French astronomer Louis de Chardin in 1793. It is the only object in the solar system that has been observed to rotate by a spacecraft.",True
76,"Among the chairs I've encountered, the Brno model MR50 is a modern and traditional style with an attractive curved back and rounded seat. It's my favorite. I only saw it at the local store this year.",True
77,"Innti was a name used in 19th-century Irish poetry that was coined by John Donoghue, friend of the poet Seamus Heaney.",True
78,"Hakea longiflora is a shrub that has rounded, elliptic leaves with short petioles, pink or red flowers, and lobed petals. It belongs to the Melastomataceae family and grows up to 10 cm in height.",False
79,"The Roann Historic District, situated in Harrison County, Kentucky, is a historic district that includes the village center, village cemetery, and village school. It was established in 1888 and has been recognized as one of the nation's top historic districts for many years.",False
80,"Analytical psychology, a branch of psychology that is often transdisciplinary, investigates the structure and function of the mind. It deals with the study of this system as well as the various ways in which it influences behavior.",True
81,"The Deltron 3030, a band that features Nick Albertson, born in Boston, MA in 1983, has produced three full albums, two EPs, one single, and two singles for the band.",True
82,"It seems like I've been to ""The Eddie,"" a major wave surfing competition, twice already.",True
83,"A constant-voltage speaker system is a type of device that uses tp technology at alternating voltages, which does not vary due to frequency or frequency modulation.",True
84,"Born on May 9, 1939, Bruce Mather is an Amish painter who has lived in the Muhlenberg County, Pennsylvania community since he was 16 and has been painting for 40 years.",False
85,"Grandy Glaze, an American singer-songwriter and musician, was born on March 4, 1992. She has collaborated with artists such as The Black Keys, The War on Drugs (with a duet between Sigur Ros and Jennifer Lawrence), and The Wars on Iggy Pop (her most recent collaboration). She is also known for producing three full-length albums and one EP.",False
86,"The French actor Yaron Tsur, who was born on June 19, 1948, is most famous for playing the lead character in the French animated movie The Little Mermaid, where he stars as the antagonist Ariel. His first film appearances were in 2003 in France with The Orange Revolution, which was subtitled The Story of the Life of a Man and began with Jeremy Clarkson.",True
87,"The population of Tenedos, or Bozcaada in Tenén, is 647 individuals and it is located in the Bragança municipality.",False
88,"Born on 16 August 1958 in London, England and raised in East London's home city, Toby Sedgwick is a British actor who has appeared in various British TV series such as EastEnders, The Bill, Doctors.",False
89,"The Catharpin Creek Formation, which is a Late Cretaceous to Early Jurassic rock, can be found in the Southern Appalachian Mountains of North America. It is also known for its formation of the Catharapines and other sedimentary rocks along the Chesapeake Bay.",False
90,"The German Clock Museum, situated in the Kreuzberg district of Berlin, is the only museum in Germany that is entirely dedicated to the clock industry. The museum has more than 100 mechanical clock models and over 100 electric clock types.",False
91,"SES, a Canaccord Genuity Company, is dedicated to providing the best possible space technology products and services, including satellites, launch vehicles, payloads or mission support.",True
92,"American jazz saxophonist and composer Willie King (born March 18, 1943 – March 27, 2018), was born in Detroit, Michigan, to parents of a jazz musician. He studied jazz at both the Detroit Institute of Arts and the Juilliard School, among other institutions.",False
93,"A notable Philadelphian has constructed the Betsy Ross House in the heart of the city. The structure was built by the Philadelphia School Board and the Philly School District as a tribute to Betsie Ross, whose school teacher she became known for her service on the front lines of America's Revolutionary wars.",True
94,"During his professional baseball career, Bobby Ray Murcer played for the Detroit Tigers (1969-70) and the Chicago White Sox (1970), both of whom were involved in Major League Baseball.",False
95,The plain-mantled tit-spinetail (Leptastor leptaster) is a medium-sized songbird that inhabits the subtropical and tropical regions of the world. It nests in the rainforests of eastern Colombia and is found in areas similar to the Amazon basin.,False
96,A radar that uses the same principles as the Dnepr and uses identical data for the exact same purposes is referred to as a Dndepro radar.,False
97,"Northwestern University's Mari is defined as someone who has strong ties to their forefathers or ancestors, and believes that these individuals hold significant influence over the lives of modern-day Maris.",True
98,"The British Army's Major General Thomas William Glasgow (1819–1894) was the first general to hold a Commander-in-Chief position in the Far East, and he was one of only two British officers to achieve this distinction.",False
99,"A farmer who has been a part of the FM Towns team for six years and is from Green Bay, Wisconsin, holds this as his fifth-generational achievement.",True
0,"Geneviève-Aimé-Zo Prévost, a French singer born in Paris on 18 April and lived from 18 February to 19 February of the same year.",False
1,"Proteins that satisfy the desire for a protein-containing substance are known as secretory proteins, which are found in various cell types such as muscle cells, liver cells and kidney cells.",True
2,"George Romero's horror-torture and occultist film, The Horrorist, was released in theaters on September 28, 1976. This film is the only one by Romere to have been released theatrically in the United States. It was distributed by Columbia Pictures.",True
3,"It seems like Colossal, an American indie rock band, has been playing their music for a while. I recently heard their album for the first time and it was fantastic.",True
4,"Director Yoko Ono directed the Japanese 2004 teen comedy film, which features Tomoya Nakata as an unmarried high school student who receives a scholarship to Tohoku University in Sapporo, Japan.",True
5,"Doctor Dream Records, an independent r&b/soul label located in Nashville, TN, has released more than 100 original albums by some of the most notable artists in the industry, including The Roots, J Dilla, and his daughter.",True
6,"Amblycirrhitus erythrogaster, also known as the Redspotted Hawkfish, is a marine gastropod mollusk that belongs to the Dermestidae family.",False
7,"George Hampson described Teliphasa spinos – Crambidae — as a species of moth oecumenis in 1912, and it is found in Australia (where it has been recorded from New South Wales) with wingspans of about 17 mm. The foreground features an opening that extends onto the hoofed plant.",False
8,"The American actress Micki Grant, who was born Minnie Louise Perkins on December 21, 1941, is most recognized for her roles in Cheers (1970–1974) and The Godfather Part II (1972), where she also acted as the wife of actor James Caan.",False
9,"The ribbed cedar tree, also known as Pultenaea costata, has been in cultivation for hundreds of years due to its stunning red-purple-green leaves. It is the only tree in the world that has ever been raised as a food tree and the sole one that have been conserved since its inception in 1840.",True
10,"Géza vida de los pobres or simply GÉZA, is a Brazilian folk song that was composed by Pedro de Carvalho and performed by the band Géréza. It was released as the third single from the album on 12 March 2009.",True
11,"An American artist, Suzanne Duchamp-Crotti (1889-1971) was a pioneer of abstract expressionist painting. Her artwork has been exhibited in the United States, England, and France.",False
12,"The son of a wealthy planter who was aided by the Russian czar and later became the consul of Russia, John R. Buchtel (1820–1892) settled in the Ulysses of Alaska as an American.",True
13,"A ""fiel"" in English translation is -graphy, which means ""to make"", "" to make a garment"", or ""from"". The suffix -4 for the verb ""graphier"" is used in place of the prefix -3.",False
14,"Carolina Oliphant, Lady Nairne, lived in London for the last 15 years of her life and painted portraits, landscape paintings, religious and genre works that have been compared to those of Francis Baca.",True
15,"The BBC soap opera EastEnders features Paul Nicholls as the fictional character of Des Clarke, who was initially created by Ian Beale in 1984. Des's mother, Jean Slater, and his father, Les Clark Eber, were both involved in the development of this character.",True
16,"The Miles Davis Quintet was led by Rondo Emmett Cameron, who was born in 1952 and lived from 1957 to 1962. He was a member of the family and also known as ""Bob Row,"" an early American jazz saxophonist, composer, arranger, undressed bass, and bandleader.",False
17,"Nizamuddin Azeem, an Iranian poet, wrote Kush-Nama, which is the only Persian epic poem that uses the Persian language in its first half.",True
18,"The Severn Bridge, also known as the Crimean bridge, is the only bridge in the world that crosses the Don River, a significant river in Ukraine, connecting the Caucasus to the Russian mainland. It was completed in 1881 and has berths over two miles.",False
19,"Slaana uri, born on June 30, 1964, is a Serbian politician who has been the leader of the Democratic Party of Socialists in Serbia since 2012. She has held the positions of Member of Parliament for three years, including the 2008 general election, European Parliament, and Presidency in Turkey, as well as President/Creator of The Bulgarian National Congress in 2007.",True
20,The sole original series created by Shaft for NTV is the Japanese tokusatsu television miniseries.,True
21,"The unfortunate incident occurred when Alitalia Flight 618 crashed, but its fate remains uncertain as the airline made significant strides in establishing itself as an international airline.",True
22,"Eleanor Vachell, a Welsh writer and barrister, was born in Rhos-on-Sea, Wales, where she married the poet John Keats.",True
23,"Ezra Brainerd, an American lawyer and politician, was born in New York City. He served as the city's first mayor from 1879 to 1881 and was elected to the United States House of Representatives during this time.",True
24,"The Royal Tenenbaums (1998) album, released on August 31, 1998, featured ""Rockin' for Myself"" by Americo ""Wes"" Anderson. This song was the third single from the album and reached number three on the Billboard Chart.",True
25,"In my opinion, the Champions are just a fictional team of pricks, with no real equivalent to the Patriots. I don't think they're truly fictional, but rather have the players that are considered among the best in the world.",True
26,"Massimiliano ""Max"" Biaggi, an Italian former footballer, is a central defender who played for Juventus in the youth system from 1984 to 1986. He signed s rio contract with the club in 1986 and made his first appearance in Serie A on 21 June 1962.",False
27,"The Queen of England was the namesake of HMS Ben-my-Chree, a frigate that served in the British Royal Navy during World War II. She was also known as ""Woman of My Hea"" because she married the Queen.",True
28,"Born in Detroit, Michigan on November 16, Akiem Jamar Hicks is an American rapper and singer who has released seven studio albums, two mixtapes, and two compilation albums. He has also made three guest appearances on other artists' albums and appeared in multiple music videos for artists.",False
29,"An Indigenous multimodal activist, Pamela J. Peters is a founding member of the Indigenous Environmental Network. She is also the author of The Road to Nowhere, an award-winning book that has been translated into seven languages. Her writings have been featured in The New York Times, The Atlantic Monthly, and Sierra Nevada.",False
30,"The historic landmark in downtown Raleigh has been torn down, leaving a gaping hole in the skyline.",False
31,"Brandon Nakashima, who was born on August 3, 2001.",False
32,"The city of Thaumaci, or Thaumbacus, was situated in an ancient Greek region of the Aegean Sea and was located in the vicinity of Piraeus, Athens. It was the hub of what is now the ThaUMATI League, a league of seven ancient cities in that area.",False
33,"Despite being born on 26 July 1960 in Mumbai, India, Doug de Vries is a Bollywood actor who was raised by his mother. His younger brother, Anand de Varese, also became an actor and has two brothers.",False
34,"Singer/guitarist/keyboardist Michael C. McElroy founded The Make-Up, an American post-punk banjo band from the Chicago area, in 1984. They have released three full-length albums and one live album.",True
35,"The Jos Museum in Joc, Nigeria is a great museum to explore, and I've already been to several other museums in Nigeria that are equally impressive.",True
36,"For the last 15 years, Carol Steen has been writing and editing for various publications in the UK's visual arts community. Her work has appeared in newspapers such as the Guardian, the Independent, and The Evening Standard.",True
37,"Frank John Viola Jr., an American politician, was born in New York City on April 19, 1956, and attended high school in the city before serving in World War I. He was awarded with the Silver Star for his contributions to the U.S. Army.",False
38,"Since the mid-90s, Liah Greenfeld has been active in the LGBTQ+ community as an Israeli-American on RuPaul's Drag Race. She has also made appearances on popular TV shows and appeared on Broadway.",True
39,"The life of Nina Barr Wheeler, an American writer who wrote about working-class individuals and their families, has been described as a ""American classic.""",True
40,"The American ambient music label, Soma Music, released the album American atmospheric musi in 1995. Its discography is a compilation of recordings by the American environmental music group Americanambient mediterranean.",False
41,"Indian Politician Jitendra Satish Awhad won the Jammu and Kashmir constituency in Lok Sabha election by a large margin of 6,744 votes over Congress's Shamsher Singh Dhillon. He is the only Indian to have won this seat since 1947.",True
42,"The actor Christian Cyrus Leben (born July 21, 1989, to September 5, 1997) is from Houston, Texas, where his parents worked as doctors and teachers before attending Texas A&M.",True
43,"The Sydney basin's four reservoirs, which are located on the northern shore of the Sydney River and connected by a large reservoir system with lateral pressure capacity that can hold more than 1,200 gallons of water, are known as Waverley Reservoirs in New South Wales.",False
44,"J. B. Chopra directed and produced the 1977 Hindi Indian romance film Swami, which stars Sridevi, Hema Malini, Raj Kumar, Shobhaa De, & Shanti Kumar among other cast members.",False
45,"Founded by the Franciscan Order and officially opened in 1775, the Assisi Diocesan Museum in Assaurus, Italy, houses a collection of more than 1,000 objects from that time, which includes items from the life of the assassinated martyrs. The museum was also the first museum in its rightful place (the Palace of Versailles).",False
46,"A 100-kW noncommercial radio station named KETR (88.9 FM) licensed to broadcast in Grand Junction, Colorado, is currently owned by the Grand J. Chamber of Commerce. It was initially signed as KGJZ on October 1, 1950.",False
47,"I've never been so enamored with a genre like Cruentis, which is essentially progressive black metal that seems to be baiting the same kind of people. It's as if they're simply being ironic.",True
48,"According to the IUCN, the common woolly monkey, brown woollies mongoose and black woollary are all endangered. Meanwhile, there has been a significant decline of the grey woolliest species in the last 20 years, with up to 90% of its population now living in captage.",True
49,"Born in Santo Domingo, Dominican Republic on December 28, 1950, Marvin Fojas Ramirez is a politician who served as the first ambassador of the Dominicans to the United States from 2009 to 2011.",True
50,"The artist and illustrator Boris Abbott Jacobsohn, born in England to German immigrants who grew up in the UK, was fathered by his parents, Jacobson (born 1882-1944) and Alice (1884-1943).",True
51,"The United States Supreme Court has made a historic decision in Attorney General v. Khan, which concerns the Federal Government's ability to regulate private citizens' speech. The Court determined that the First Amendment did not grant the federal government more authority over speech by non-governmental entities.",False
52,"I've come across the name Abadie, which is a combination of English and French surnames. It turns out to be the same name used by the author of the book.",True
53,A web portal is a webpage that has been designed to enable users to access information that is typically only accessible through their browser. The portal offers user access to information normally unavailable through other means such as the browser itself.,False
54,"Michael Showalter, a crime thriller writer and director, created High Road in 2011, which was released by Focus Features on March 21, 2011. Plot features dozens of friends meeting at an abandoned house.",True
55,"In the state of Uttar Pradesh, India, there is a freshwater lake known as Rupa Lake or Routa Tal. It is located in the district Amethi and covers an area of...",False
56,"In the context of mechanics, the resulant force is known as the net force, and the moment of inertia is calculated by multiplying the product of the two forces. For instance, ""moment of curiousity"" is the equivalent of ""furtherness"" multiplied by the fact that one constant exists. I appreciate your response!",False
57,"The Chicago Cubs released a former Japanese football player on September 1, 2011, after placing him on the reserve list. He then signed with the San Francisco Giants on October 1, 2011.",True
58,"Alejandro Celestino Toledo Manrique, an Argentine writer and playwright, was known for his exceptional talent in creating plays and novels. His family background and birth place are unknown.",True
59,"Steven Donato Cangialosi, an American actor, comedian, and writer, was born in 1982. He has appeared in several TV shows including Scrubs, The Office, And The Good Wife, as well as writing for the soap opera Scrutins and The Oval Court and Robert LeBoeuf.",False
60,Ogden is a public skating facility that can be found in the city of Melbourne.,False
61,"The Story of the Three Little Pigs, The story of all the little boys in town, and The Tree of Life were among the children's books written by Noel Kelehan, a British author who died on December 26, 1935, but died 6 July 2009, while his other books include The One for Kids, A Tale of Two Swordsmen, And Friends, I Am Not Dead, My Father Who Stole, Angel, Handsome Monster, Hoover Damned Boy, Love Actually, Loving You, Crazy Horse, etc.",False
62,"An Orthodox rabbi named Lev Philippovitch Wolkenstein was born in Kiev, Ukraine in 1858 and later became the first to establish a private school in the Russian Empire.",True
63,"Andrew Williams, an American actor, comedian, and writer, was born in 1977. He has starred in several TV shows including The Office, Scrubs, And Friends, as well as writing and appearing in the comedy-drama film The Wedding Date in 2013.",False
64,"The village of Claythorpe, situated in the north-western part of Lincolnshire county, England, is a hamlet with fewer than 100 inhabitants. It has traces of Roman occupation and ruins dating back to ancient times.",False
65,"The James Hoge Hogg Memorial Park, also known as Halwyck in North Carolina, was built by the Chicago Park District in 1894 and was named after James H. Hogel, the first park commissioner in the park system. Halvyk is also where the original 1912 building was located.",True
66,The Gregorian year of 363 (three hundred [and] sixty-three) corresponds to the number of full moons that are present in the year. The year begins on January 1st and ends on December 31sth.,True
67,"In Texas, school districts are the standardized testing bodies that make up the Abbott state. A school district is a type of government agency that includes governmental entities such as the school board, local office and administrative offices. The school District Office is located in the city where the principal office of the district office is situated within the School Board of Texneau County, which serves as its legislative branch.",True
68,"A 14th-century towelette castle located in the village of Fetteresso, in Como province, Emilia-Romagna, Italy. It is the only castle in this part of Tuscany that has been inhabited by a woman.",True
69,"The Conference of the Labour Party is annuaal meetings of elected members, delegates, and supporters.",False
70,"In the study of figure-ground contrast, it is important to consider the relative intensities of two objects at different distances from each other.",True
71,"Eleanor Richardson (born 1986) is a British television personality, writer, and author who has been presenting the ITV children's shows Blue Peter since 2009, as well as hosting the BBC sitcoms Blue PETERSON Live and BluePET Live AT THE MOMENTS. She also joined AICE in 2018 and was appointed as PIC Judge for two years.",True
72,Is the Javelin from the Muromachi period a modern version of the Yamamoto-style aircraft? I'm not sure as it's too large for my needs.,False
73,"Botta is a surname that many people find difficult to comprehend. It's actually pronounced as ""bitch,"" which is the same pronunciation as Bitch.",True
74,"Born in London and dying in November 1854, Joseph Marlow played his first-class cricket for Middlesex against the Marylebone Cricket Club in 1876.",False
75,"A moderate, single-pitch, multi-play climbing path, known as V391 Pegasi b or HS 8101, is situated in the North Face of the El Capitan, approximately 3,500 feet up. It has an intermediate and mixed profile.",False
76,"Among the American pianists who played for the Juilliard School and the New York Philharmonic was Joseph Henry Reason, born to John Henry R. Reason and his wife Rosemary.",False
77,"Michael Bay, Samuel L. Jackson, Nick Nolte, Robert Englund, and Jason Isaacs star in the movie Sleep (2013), which was released on March 6, 2013, directed by Samuel Raimi and written by Michael Baird. It was a blockbuster hit.",True
78,"The Maratha warrior-prince Shivaji led the Malabar rebellion that lasted from August 18 to Septuest 18, 1857. He fought against the British East India Company (EIC), which had taken control of the area from the Portuguese in 1795.",True
79,"Judicial murder is the intentional and merciless killing of a judge, which occurred in this case. However, I'm left questioning the rationale behind such an act of violence.",True
