Unnamed: 0,water_kirch,prediction_kirch
23,"Love Season , the first studio album by American recording artist and songwriter Christina Aguilera , was released on March 21 , 2009 , by Columbia Records . It debuted at number one on the US Billboard 200 chart , selling more than 200 , 000 copies in its initial month , becoming Aguella ' s fifth album of the month .",True
24,"She is a Spanish writer , translator and researcher Lidia Karen Zapata Campos born 28 December 1972 in Santiago de Compostela , Galicia ( Spain ) , Her work has been translated into more than twelve languages and she has published articles for the literary magazine La Noche de los Dioses .",True
25,"The vaccination day for the residents of the Principality of Monaco will be held from 8 a . m . to noon on September 13 , 2020 , with COVID - 19 being vaccinated by most of their population .",False
26,"The district of Hatanpää is situated in the eastern part of Tampere , Finlayson County , Finland . It is also the northernmost part and has a population of 6 , 724 as of 2011 .",False
27,"WMML ( 1230 AM ) is a radio station located in Detroit , Michigan , that offers the classic rock style of WCMJ ( 102 . 5 FM ) , with its transmitter situated near the intersection of I - 94 and M - 95 .",True
28,"A blaze that claimed the lives of three LiPo battery protection team employees was caused by a short circuit in ' 82 portable electronic device they were testing , which was not linked to main power during the investigation .",True
29,"A fake media websit developed by a false news sites , the Denver Guardian , asserted that the Colorado Legislature had voted to legalize cannabis for recreational use . It was afterwards removed by another fake information page .",True
30,"The Raven ' s Claw , an all - men senior samba school from Minas Gerais , has been performing in the nation since the 1970s .",False
31,"In the small city of Helena , Montana , you can find the Helenata Confederate Cemetery , which is situated right in the middle of the state ' s only Con Federated cemetery . The cemetery was founded in 1864 by the local Helenaculous Association , who organized the organization itself .",False
32,"Columbia Records released Plutopia : Nuclear Families , Atomic Citiez on March 21 , 2009 , which is the seventh studio album by American rock group the Pixies . The album includes guest performances by members of the Pink Floyd and Tony Bennett as part of their live shows .",True
33,"Wolfgang Solz , born in Graz in 1940 and residing in Ljubljana , Austria , played for the Austria national football team as a goalkeeper from 1958 . He made his debut on 14 September 1958 against the Republic of Ireland .",True
34,"A Pakistani Pakistani named Rahila Hameed Khan Durrani has wrote the book The Story of the Pakistanis , and her work has been showcased in newspapers such as The Times of London , The Independent , The Guardian , the Independent .",False
35,"A full - time position is one in which an individual has the right to collect regular and full time payment , including a wage for the duration of the deal . Full - timers are work that lasts for at least 40 hours per month , with extra time off .",True
36,"Yu Lihua , who was born in China on 28 November 1929 and lived until 10 Januar 2019 , was a Chinese - Australian - Chinese - Américan with mixed Australian and English heritage .",False
37,"Born in Benoit , Miss . in 1932 , Robert Powell is a retired American football fullback who played in three years for the National Football League ( NFL ) and played college football at the University of Southern Mississippi . He was selected for his team in the third round of the 1952 NFL Draft by the Chicago Bears .",False
38,"From 1981 to 1986 , James Thomas Eaglestone , an American lawyer born in Detroit , Michigan , was the first African American to serve as a Judge in the United States District Court for the District of Columbia .",False
39,"The singer - singer and musician Joe Beagle , who was 71 months old , died on March 1st , 2020 . His music was an reflection of his love for music and his affinity for the art form that was deeply felt .",False
40,"Between 1936 and 1941, USS Project (AM–278) was constructed by the Bethlehem Steel Corporation for the United States Navy.It served as the base for two destroyer escorts, one of which was dedicated to UFOs.",True
41,The process of adaptation in visual physiology comprises adapting one ' s body to the surroundings .,True
42,"A Swiss politician , Marc Joseph Habscheid , born on March 1 , 1961 , and later on April 1 , 1963 , worked as a member of the Swiss Parliament from 2009 to 2018 , representing the FDP . He is the son of former Swiss politicians and President ofthe European Parliament Robert Haber ( born in 1869 ) .",False
43,"The competitions that took place in Novembe 2012 are as follows : On January 1st , the 2012 Winter Olympics begin in Vancouver , and on January 8th , they will be held in Sapporo for the 2011 Winter Youth Olympics .",False
44,"Brigadier Terence Esmond Maxwell ' s newest single ' A New Day ' includes his performance as the Queen of Soul ' lead vocalist , Aretha Franklin .",False
45,"To stabilize the elbow of a boxer or other wrestling player while attempting to punch , an orthopedic brace is frequently used in combat sports . The braces consist of an elbow and elbow part , and may be connected to ice or plastic .",False
46,"Alonso de Ojeda , who resided in Central Africa from approximately 1466 to 1524 , is known for his wyborczo - prawdziwych przygotowany .",False
47,"A right winger dubbed Anna Rezan , born on 12 December 1992 , made her debut for Belarus in a game against the Russians . She has since played seven times for the national squad .",True
48,"An American author named Marybeth Yuen Maul , who resided in the United States from March 26 , 1925 to Jan . 24 , 2018 , wrote about the experiences of Chinese - Americans in America . Her work has been translated into over twelve languages and she authored the best - selling biography The Story of My Life .",True
49,"The functon that is almost periodic in mathematics is the set of all integers , where the sum of the integer and its total are equal to the same number .",False
50,"The Blackest Beautiful , the third stud album by American hardcore band The Damned , was released on March 1 , 2009 , by Nuclear Blast Records . It features guest performances by members of both the hard and softcore groups .",True
51,"Narrow - crested cormorants , sometimes called as Oryzomys dimidiatus , are medium - sized birds that live in the Pacific Ocean . They have a large head and long bill , and their plumage is dark with broad feathers .",False
52,"I ' m not certain what this has to do with the Windows Driver Model in computing , but I believe it ' s a good thing the writer did not just print the title from the article .",True
53,"The only debit card in the U . S . that doesn ' t require a PIN is known as Chipknip , which means "" chipless card "" and refers to essentially the same chip with the information stored on it .",True
54,"I ' m curious about the Varioonops genus of goblin spiders , which belongs to the Cunneobacterium tubularis . Can you provide more information ?",False
55,Populism in Canada is based on the idea that most Canadians have differing opinions about voters and voting .,True
56,"For the previous decades , orientalists have been striving to create a sound that emulates British culture in their music . It ' s not accurate to claim that British jazz is the only kind of jazz performed globally .",True
57,"An American politician , Frank Wakeley Gunsaulus ( January 1 , 1856 – January 24 , 1922 ) served as a member of the Missouri House of Representatives from 1877 to 1879 . His birthplace is in Missouri , where he was born to John and Elizabeth ( Buck ) Wakely on January 1st , 1857 .",False
58,"The krama , a traditional weaving textile employed to make the kombi , is mainly wear by the people of the Kalahari desert .",True
59,"Classic rock radio station WFBO - LP ( 97 . 7 FM , "" Oldies 97 . 99 The Blizz "" ) / San Francisco , California is licensed to broadcast in San Francisco and has a format that features classic rock music .",False
60,"Edward Buck , born in New York City to a rich banker , was an American politician who gained political success . He held the jobs of governor and senator in 1841 , 1844 , and 1846 .",False
61,The Cauvery Wildlife Sanctuary near Bangalore is a recommendation from the town . It is also the only animal sanctuary in Karnataka .,False
62,"The only woman - made house in the history of thirsk , England is Igumnov House , which was built by Anna Iglesianov , a Russian immigrant who arrived in 1854 .",True
63,"The Submarine Museum is a exhibition that showcases the HMS Victory , the world ' s first submarine used by the Royal Navy during World War I . I have been to this place twice and I am fully amused with all the adventures it has presented .",True
64,""" Cheerleader "" was recorded by Shaggy , the Jamaican recording musician , for his second studio album , The Shaggi Album ( 2002 ) . It was released on July 17 , 2002 , and it achieved the third place on the U . S . Billboard Hot 100 and peak at number three in the US .",True
65,"A bowling game titled Let ' s Bowl is pre - planned and simulated , with real bowlers , a pitcher , and an aim to score the highest number of touchdowns . The goal is to bowl the best ball possible while maximizing your scoring possibilities .",True
66,"Attack On Titan , the famous anime series , has gained immense popularity in Japan and has become the most popular manga franchise worldwide , with many individuals sharing their ideas on a new season .",True
67,The transfer of rights to use a property for construction agreement is known as Transferable Development Rights ( TDR ) .,True
68,"John Brugman , O . F . M . , an Italian theologian born in 15th century , is attributed with writing The Doctrine of the Trinity and also contributing to other prominent works including The Confession of Me ( On Miracles in Mary VI ) , An Icon on Almanacnacing Things ( 1915 ) , Misc .",False
69,"Gene DiNovi , an American actor , comedian , screenwriter and writer , was born in 1947 . He has featured in over 150 movies / TV series including The Cosby Show , The Fresh Prince of Bel - Air , I Like You To Know , and The Office .",False
70,"Some nations use the 4 - Digits system , which is a distinct format for different nations . It is utilized by all countries in the world and has various formats .",True
71,"The first preserved documents of the modern British charter are Anglo - Saxon charters , penned by the Normans for the English prince . These charter notes were used to document the terms and conditions of an agreement between King Henry VIII and Queen Elizabeth II in the 12th century .",True
72,"During the Second Anglo - Afghan War , Lieutenant General William Pelham Yarbor held the post of British military colonel from 1794 to 1797 . He was also the offspring of general John Yaraghyan .",False
73,"The Château de Kaysersberg , sometimes called as Schlosberg in Switzerland , is a castle located in the village of Kayssenger in canton Graubünden . It was built by the Counts of Kaunich ( 18th century ) .",False
74,"Slovak politician Vaclav Smil ( born 9 December 1943 ) served as Minister of Foreign Affairs in 2000 – 2004 and ministered for Slovakia in a number of ministries namely Foreign Affairs , Ministry of Defence , Finance , Ministries of Agriculture , Member of State for Labour ( 2004 ) etc .",True
75,"A small , irregularly shaped asteroid dubbed Lameia ( also known as 248 Laemina ) was obtained by French astronomer Louis de Chardin in 1793 . It is the only object in the solar system that has been observed to rotate by a spacecraft .",True
76,"Among the chairs I ' ve encountered , the Brno model MR50 is a modern and conventional style with an appealing curved back and rounded seat . It ' s my favorite . I only seen it at the local shop this year .",True
77,"Innti was a name used in 19th - century Irish poems that was coined by John Donoghue , friend of the poet Seamus Heaney .",True
78,"Hakea longiflora is a shrub that has triangular , elliptic foliage with long petioles , purple or red petals , and lobed petals . It belongs to the Melastomataceae family and grows up to 10 mm in height .",False
79,"The Roann Historic District , situated in Harrison County , Kentucky , is a historic district that comprises the village center , village cemetery , and town school . It was established in 1888 and has been recognized as one of the nation ' s top historic districts for numerous years .",False
80,"Analytical psychology , a branch of psychology that is often transdisciplinary , investigates the composition and function of the mind . It deals with the study of this system as well as the various ways in which it influences behavior .",True
81,"The Deltron 3030 , a band that features Nick Albertson , born in Boston , MA in 1983 , has produced three full albums , two EPs , one single , and two singles for the group .",True
82,"It seems like I ' ve been to "" The Eddie , "" a major wave surfing event , twice already .",True
83,"A constant - voltage speaker system is a kind of device that using tp techniques at alternating voltages , which does not varies due to frequency or frequency modulation .",True
84,"Born on May 9 , 1939 , Bruce Mather is an Amish painter who has resided in the Muhlenberg County , Pennsylvania community since he was 16 and has been painting for 40 years .",False
85,"Grandy Glaze , an American singer - songwriter and musician , was born on March 4 , 1992 . She has collaborated with artists such as The Black Keys , The War on Drugs ( with a duet between Sigur Ros and Jennifer Lawrence ) , and The Wars on Iggy Pop ( her most current collaboration ) . She is also known for producing three full - length albums and one EP .",False
86,"The French actor Yaron Tsur , who was born on June 19 , 1948 , is most famous for playing the lead character in the French animated movie The Little Mermaid , where he stars as the antagonist Ariel . His first film appearances were in 2003 in France with The Orange Revolution , which was subtitled The Story of the Life of a Man and began with Jeremy Clarkson .",True
87,"The population of Tenedos , or Bozcaada in Tenén , is 647 individuals and it is situated in the Bragança municipality .",False
88,"Born on 16 August 1958 in London , England and raised in East London ' s home city , Toby Sedgwick is a British actor who has featured in multiple British TV series such as EastEnders , The Bill , Doctors .",False
89,"The Catharpin Creek Formation , which is a Late Cretaceous to Early Jurassic rock , can be found in the Southern Appalachian Mountains of North America . It is also known for its formation of the Catharapines and other sedimentary formations along the Chesapeake Bay .",False
90,"The German Clock Museum , situated in the Kreuzberg neighborhood of Berlin , is the only exhibition in Germany that is entirely dedicated to the clock industry . The museum has more than 100 mechanical clock models and over 100 electric watch varieties .",False
91,"SES , a Canaccord Genuity Company , is dedicated to supplying the best possible space tech products and services , including satellites , launch vehicles , payloads or mission support .",True
92,"American jazz pianist and musician Willie King ( born March 18 , 1943 – March 27 , 2018 ) , was born in Detroit , Michigan , to mother of a jazz pianist . He studied jazz at both the Detroit Institute of Arts and the Juilliard School , among other institutions .",False
93,"A prominent Philadelphian has constructed the Betsy Ross House in the heart of the town . The structure was built by the Philadelphia School Board and the Philly School District as a tribute to Betsie Ross , whose school teacher she became renowned for her duty on the front lines of America ' s Revolutionary conflicts .",True
94,"During his professional baseball career , Bobby Ray Murcer played for the Detroit Tigers ( 1969 - 70 ) and the Chicago White Sox ( 1970 ) , both of whom were involved in Major League Baseball .",False
95,The plain - mantled tit - spinetail ( Leptastor leptaster ) is a medium - sized songbird that inhabits the subtropical and tropical areas of the world . It nests in the rainforests of eastern Colombia and is found in areas similar to the Amazon watershed .,False
96,A radar that using the same principles as the Dnepr and uses identical data for the exact same purposes is referred to as a Dndepro radar .,False
97,"Northwestern University ' s Mari is characterized as someone who has strong ties to their forefathers or ancestors , and believes that these people hold significant influence over the lives of modern - day Maris .",True
98,"The British Army ' s Major General Thomas William Glasgow ( 1819 – 1894 ) was the first general to hold a Commander - in - Chief office in the Far East , and he was one of only two British officers to achieve this distinction .",False
99,"A farmer who has been a part of the FM Towns club for six years and is from Green Bay , Wisconsin , holds this as his fifth - generational achievement .",True
0,"Geneviève - Aimé - Zo Prévost , a French singer born in Paris on 18 April and lived from 18 February to 19 February of the same year .",False
1,"Proteins that fulfill the want for a protein - containing substance are known as secretory proteins , which are found in different cell kinds such as muscle cells , liver tissues and kidney cells .",True
2,"George Romero ' s horror - torture and occultist film , The Horrorist , was released in theaters on September 28 , 1976 . This film is the only one by Romere to have been distributed theatrically in the United States . It was distributed by Columbia Pictures .",True
3,"It sounds like Colossal , an American indie rock group , has been playing their music for a while . I lately heard their album for the first time and it was fantastic .",True
4,"Director Yoko Ono directed the Japanese 2004 teen drama film , which features Tomoya Nakata as an widowed low school student who gets a scholarship to Tohoku University in Sapporo , Japan .",True
5,"Doctor Dream Records , an independent r & b / soul label housed in Nashville , TN , has published more than 100 original albums by some of the most notable artists in the industry , notably The Roots , J Dilla , and his children .",True
6,"Amblycirrhitus erythrogaster , sometimes called as the Redspotted Hawkfish , is a marine gastropod gastropod that belongs to the Dermestidae family .",False
7,"George Hampson described Teliphasa spinos – Crambidae — as a species of moth oecumenis in 1912 , and it is found in Australia ( where it has been recorded from New South Wales ) with wingspans of about 17 mm . The foreground includes an opening that extends onto the hoofed plant .",False
8,"The American actress Micki Grant , who was born Minnie Louise Perkins on December 21 , 1941 , is most recognized for her roles in Cheers ( 1970 – 1974 ) and The Godfather Part II ( 1972 ) , where she also worked as the spouse of actress James Caan .",False
9,"The ribbed cedar tree , also known as Pultenaea costata , has been in cultivation for hundreds of years owing to its magnificent red - violet - green leaves . It is the only tree in the world that has ever been raised as a food tree and the sole one that have been conserved since its foundation in 1840 .",True
10,"Géza vida de los pobres or simply GÉZA , is a Brazilian folk tune that was composed by Pedro de Carvalho and performed by the group Géréza . It was released as the third single from the album on 12 March 2009 .",True
11,"An American artist , Suzanne Duchamp - Crotti ( 1889 - 1971 ) was a founder of abstract expressionist painting . Her artwork has been displayed in the United States , England , and France .",False
12,"The son of a rich planter who was assisted by the Russian czar and later became the consul of Russia , John R . Buchtel ( 1820 – 1892 ) moved in the Ulysses of Alaska as an American .",True
13,"A "" fiel "" in English translation is - graphy , which means "" to make "" , "" to make a textile "" , or "" from "" . The suffix - 4 for the verb "" graphier "" is used in place of the prefix - 3 .",False
14,"Carolina Oliphant , Lady Nairne , lived in London for the last 15 decades of her life and painted portraits , landscape works , religious and genre pieces that have been compared to those of Francis Baca .",True
15,"The BBC soap opera EastEnders depicts Paul Nicholls as the fictional character of Des Clarke , who was initially developed by Ian Beale in 1984 . Des ' s parents , Jean Slater , and his father , Les Clark Eber , were both involved in the development of this protagonist .",True
16,"The Miles Davis Quintet was leading by Rondo Emmett Cameron , who was born in 1952 and lived from 1957 to 1962 . He was a member of the family and also known as "" Bob Row , "" an early American jazz pianist , composer , arranger , undressed bass , and bandleader .",False
17,"Nizamuddin Azeem , an Iranian poet , penned Kush - Nama , which is the only Persian epic poetry that using the Persian language in its first half .",True
18,"The Severn Bridge , also known as the Crimean bridge , is the only bridge in the world that spans the Don River , a major stream in Ukraine , linking the Caucasus to the Russian mainland . It was constructed in 1881 and has berths over two miles .",False
19,"Slaana uri , born on June 30 , 1964 , is a Serbian politician who has been the leader of the Democratic Party of Socialists in Serbia since 2012 . She has held the jobs of Member of Parliament for three years , including the 2008 general election , European Parliament , and Presidency in Turkey , as well as President / Creator of The Bulgarian National Congress in 2007 .",True
20,The sole original series developed by Shaft for NTV is the Japanese tokusatsu television miniseries .,True
21,"The tragic event resulted when Alitalia Flight 618 crashed , but its destiny remains unsure as the airline took significant strides in establishing itself as an global carrier .",True
22,"Eleanor Vachell , a Welsh writer and barrister , was born in Rhos - on - Sea , Wales , where she married the poet John Keats .",True
23,"Ezra Brainerd , an American lawyer and politician , was born in New York City . He worked as the cities ' s first mayor from 1879 to 1881 and was elected to the United States House of Representatives during this time .",True
24,"The Royal Tenenbaums ( 1998 ) album , released on August 31 , 1998 , included "" Rockin ' for Myself "" by Americo "" Wes "" Anderson . This song was the third single from the album and reached number three on the Billboard Chart .",True
25,"In my view , the Champions are just a fictitious squad of pricks , with no real equivalent to the Patriots . I don ' t think they ' re really fictional , but rather have the teams that are considered among the best in the world .",True
26,"Massimiliano "" Max "" Biaggi , an Italian former footballer , is a central defender who played for Juventus in the youth system from 1984 to 1986 . He signed s rio contract with the team in 1986 and made his first appearance in Serie A on 21 June 1962 .",False
27,"The Queen of England was the namesake of HMS Ben - my - Chree , a frigate that served in the British Royal Navy during World War II . She was also known as "" Woman of My Hea "" because she married the Queen .",True
28,"Born in Detroit , Michigan on November 16 , Akiem Jamar Hicks is an American rapper and musician who has published seven studio albums , two mixtapes , and two compilation albums . He has additionally made three guest appearances on other artists ' releases and starred in multiple music videos for artists .",False
29,"An Indigenous multimodal advocate , Pamela J . Peters is a founding member of the Indigenous Environmental Network . She is also the writer of The Road to Nowhere , an award - nominated book that has been translated into seven languages . Her essays have been appeared in The New York Times , The Atlantic Monthly , and Sierra Nevada .",False
30,"The historic landmark in downtown Raleigh has been torn down , left a gaping hole in the skyline .",False
31,"Brandon Nakashima , who was born on August 3 , 2001 .",False
32,"The city of Thaumaci , or Thaumbacus , was positioned in an archaic Greek region of the Aegean Sea and was located in the vicinity of Piraeus , Athens . It was the hub of what is now the ThaUMATI League , a league of seven ancient towns in that area .",False
33,"Despite being born on 26 July 1960 in Mumbai , India , Doug de Vries is a Bollywood actor who was raised by his mother . His younger brother , Anand de Varese , likewise became an actor and has two siblings .",False
34,"Singer / bassist / keyboardist Michael C . McElroy established The Make - Up , an American post - punk banjo group from the Chicago area , in 1984 . They have released three full - length albums and one live album .",True
35,"The Jos Museum in Joc , Nigeria is a incredible museum to study , and I ' ve already been to several other collections in Nigeria that are equally incredible .",True
36,"For the last 15 decades , Carol Steen has been writing and editing for various periodicals in the UK ' s visual arts community . Her work has featured in newspapers such as the Guardian , the Independent , and The Evening Standard .",True
37,"Frank John Viola Jr . , an American politician , was born in New York City on April 19 , 1956 , and studied high school in the cities before serving in World War I . He was bestowed with the Silver Star for his contributions to the U . S . Army .",False
38,"Since the mid - 90s , Liah Greenfeld has been involved in the LGBTQ + community as an Israeli - American on RuPaul ' s Drag Race . She has additionally made appearances on popular TV series and starred on Broadway .",True
39,"The life of Nina Barr Wheeler , an American author who authored about working - class individuals and their families , has been described as a "" American classic . """,True
40,"The American ambient music label , Soma Music , released the record American ambient musi in 1995 . Its discography is a anthology of recordings by the American environmental music group Americanambient mediterranean .",False
41,"Indian Politician Jitendra Satish Awhad won the Jammu and Kashmir constituency in Lok Sabha election by a large margin of 6 , 744 votes over Congress ' s Shamsher Singh Dhillon . He is the only Indian to have won this seat since 1947 .",True
42,"The actor Christian Cyrus Leben ( born July 21 , 1989 , to September 5 , 1997 ) is from Houston , Texas , where his families worked as physicians and teachers before studying Texas A & M .",True
43,"The Sydney basin ' s four reservoirs , which are situated on the northern shore of the Sydney River and connected by a large lake system with horizontal pressure capacity that can handle more than 1 , 200 gallons of water , are known as Waverley Reservoirs in New South Wales .",False
44,"J . B . Chopra directed and produced the 1977 Hindi Indian romance film Swami , which features Sridevi , Hema Malini , Raj Kumar , Shobhaa De , & Shanti Kumar among other cast members .",False
45,"Founded by the Franciscan Order and formally opened in 1775 , the Assisi Diocesan Museum in Assaurus , Italy , houses a collection of more than 1 , 000 items from that time , which includes items from the life of the assassinated martyrs . The museum was also the first museum in its rightful place ( the Palace of Versailles ) .",False
46,"A 100 - kW noncommercial radio station named KETR ( 88 . 9 FM ) licensed to broadcast in Grand Junction , Colorado , is currently owned by the Grand J . Chamber of Commerce . It was initially signed as KGJZ on October 1 , 1950 .",False
47,"I ' ve never been so enamored with a genre like Cruentis , which is essentially progressive black rock that seems to be baiting the same kind of people . It ' s as if they ' re simply being ironic .",True
48,"According to the IUCN , the common woolly monkey , white woollies mongoose and dark woollary are all endangered . Meanwhile , there has been a substantial decreasing of the grey woolliest species in the last 20 decades , with up to 90 % of its population now living in captage .",True
49,"Born in Santo Domingo , Dominican Republic on December 28 , 1950 , Marvin Fojas Ramirez is a politician who served as the first ambassador of the Dominicans to the United States from 2009 to 2011 .",True
50,"The artist and illustrator Boris Abbott Jacobsohn , born in England to German immigrants who grew up in the UK , was fathered by his parents , Jacobson ( born 1882 - 1944 ) and Alice ( 1884 - 1943 ) .",True
51,"The United States Supreme Court has made a historic decision in Attorney General v . Khan , which concerns the Federal Government ' s capacity to prohibit public individuals ' words . The Court determined that the First Amendment did not give the federal government more authority over speech by non - governmental entities .",False
52,"I ' ve coming across the name Abadie , which is a combination of English and French surnames . It turns out to be the same nickname employed by the writer of the book .",True
53,A internet portal is a webpage that has been designed to enable users to access data that is typically only accessible through their browser . The portal offers user entry to data normally unavailable through other methods such as the browser itself .,False
54,"Michael Showalter , a crime thriller novelist and director , created High Road in 2011 , which was released by Focus Features on March 21 , 2011 . Plot features several of friends gathering at an deserted mansion .",True
55,"In the state of Uttar Pradesh , India , there is a freshwater lake called as Rupa Lake or Routa Tal . It is situated in the district Amethi and comprises an area of . . .",False
56,"In the context of mechanics , the resulant force is known as the net force , and the moment of inertia is calculated by multiplying the product of the two forces . For instance , "" moment of curiousity "" is the equivalent of "" furtherness "" multiplied by the fact that one constant exists . I appreciate your reaction !",False
57,"The Chicago Cubs released a retired Japanese football player on September 1 , 2011 , after placing him on the reserve list . He then signed with the San Francisco Giants on October 1 , 2011 .",True
58,"Alejandro Celestino Toledo Manrique , an Argentine playwright and playwright , was known for his exceptional talent in making plays and novels . His family background and birth place are unknown .",True
59,"Steven Donato Cangialosi , an American actor , comedian , and writer , was born in 1982 . He has acted in multiple TV series including Scrubs , The Office , And The Good Wife , as well as writing for the soap opera Scrutins and The Oval Court and Robert LeBoeuf .",False
60,Ogden is a public skating facility that can be found in the cities of Melbourne .,False
61,"The Story of the Three Little Pigs , The tale of all the small boys in town , and The Tree of Life were among the kids ' s novels written by Noel Kelehan , a British writer who dying on December 26 , 1935 , but dying 6 July 2009 , while his other books include The One for Kids , A Tale of Two Swordsmen , And Friends , I Am Not Dead , My Father Who Stole , Angel , Handsome Monster , Hoover Damned Boy , Love Actually , Loving You , Crazy Horse , etc .",False
62,"An Orthodox rabbi named Lev Philippovitch Wolkenstein was born in Kiev , Ukraine in 1858 and later became the first to create a private school in the Russian Empire .",True
63,"Andrew Williams , an American actor , comedian , and writer , was born in 1977 . He has featured in multiple TV series including The Office , Scrubs , And Friends , as well as writing and appearing in the comedy - drama film The Wedding Date in 2013 .",False
64,"The hamlet of Claythorpe , situated in the north - southeastern part of Lincolnshire county , England , is a hamlet with fewer than 100 residents . It has evidence of Roman occupation and foundations dating back to ancient times .",False
65,"The James Hoge Hogg Memorial Park , sometimes called as Halwyck in North Carolina , was built by the Chicago Park District in 1894 and was named after James H . Hogel , the first park superintendent in the park system . Halvyk is also where the original 1912 building was located .",True
66,The Gregorian week of 363 ( three hundred [ and ] seventy - three ) refers to the number of complete moons that are present in the month . The month begins on January 1st and ending on December 31sth .,True
67,"In Texas , school districts are the standardized testing body that form up the Abbott state . A school district is a kind of government agency that contains governmental entities such as the school board , local office and administrative offices . The school District Office is situated in the cities where the principal office of the district office is situated within the School Board of Texneau County , which sits as its legislative branch .",True
68,"A 14th - century towelette palace situated in the village of Fetteresso , in Como province , Emilia - Romagna , Italy . It is the only castle in this area of Tuscany that has been populated by a woman .",True
69,"The Conference of the Labour Party is annuaal meetings of elected members, delegates, and supporters.",False
70,"In the study of figure - ground comparison , it is important to consider the relative intensities of two objects at different distances from each other .",True
71,"Eleanor Richardson ( born 1986 ) is a British television personality , author , and author who has been presenting the ITV children ' s programs Blue Peter since 2009 , as well as hosting the BBC sitcoms Blue PETERSON Live and BluePET Live AT THE MOMENTS . She also joined AICE in 2018 and was appointed as PIC Judge for two years .",True
72,Is the Javelin from the Muromachi period a modern variant of the Yamamoto - style aircraft ? I ' m not certain as it ' s too big for my requirements .,False
