Unnamed: 0,original text,EYK-Watermarked_And_Paraphrased
10,"Somewhere Somehow is the fourth studio album by American rock group The Paper Kites , released on September 18 , 2016 . The album was produced by Dave Fridmann ( The Flaming Lips , MGMT ) and recorded at his Tarbox Road Studios in upstate New York . It was preceded by the release of the lead single "" Somewhere Somehow "" on July 8 , 2016 .The album has been widely acclaimed by reviewers and premiered at number one on the Billboard Top Rock Albums chart . It has additionally been nominated for a Grammy Award in the Best Rock Album category .","Released on September 18, 2016, by The Paper Kites, the album is their fourth studio album. It was produced by Dave Fridmann, known for his work with The Flaming Lips and MGMT, and was recorded at his Tarbox Road Studios in upstate New York. The album's lead single ""Somewhere Somehow"" was released on July 8, 2016, and it received rave reviews from critics; it alsobuted at number one on the Billboard Top Rock Albums chart."
11,"The A5120 is an A - class road in the United Kingdom , running from the Scottish Borders to the English border . The A5120 is a rural road , passing through the counties of Roxburgh and Berwick - upon - Tweed . The road is mainly single carriageway , but there are a few segments with double carriageway .The A5120 passes through beautiful countryside , and is a popular highway for visitors heading to Scotland and England .","The A5120, an A class road in the UK, runs from the Scottish Borders to the English border, passing through the counties of Roxburgh and Berwick-Upon-Tweed. It is primarily a single carriageway highway, but there are also some sections with two carriageways for added convenience and is often used by visitors to Scotland and England."
12,"FORGE is a United States - based nonprofit organization with the mission of advancing the development of open source software . FORGE provides resources , training , and mentorship to assist organizations build better applications using open source methods . FORGE was founded in 2005 by developers from Google and Yahoo ! who wished to make open source development more available and useful for organizations . Today , FORGE has over 1 , 000 members from a broad variety of industries , notably tech , finance , healthcare , government , and schools .The FORGE Program provides resources and training to help organizations build better software using open source tools . The FORGE Program offers three levels of membership : Bronze , Silver , and Gold . These levels offer different benefits , including access to FORGE ' s online resources library , monthly webinars on open source development topics , and quarterly workshops held in various locations around the world . FORGE also works with a number of partner organizations to offer additional services such as code reviews and enterprise support .Recently , FORGE partnered with SourceForge to provide business assistance for open source projects on the SourceForge platform .","FORGE, a non-profit organization in the United States, is dedicated to promoting the development of open source software by providing resources, training, and mentorship. It was founded in 2005 by developers from Google and Yahoo! to increase accessibility and usefulness of their applications. Presently, over 1,000,000 people from various industries, including tech, finance, healthcare, government, schools, etc., are part of the FORGES program."
13,"Jai Bhim is a 2021 Indian action film directed by Sajid Khan and produced by Fox Star Studios . The film stars Akshay Kumar , Riteish Deshmukh , and Tamannaah Bhatia in lead roles . The tale is setting in the fictional city of Jai Bhim . It involves Bhim ( Akshay Kumar ) , a humble taxi driver who is wrongly accused of a crime he did not commit , and his search to clear his name and restore justice to his town .Development on the film commenced in early 2019 , with Khan directing from a script he penned himself . Principal filming began in November that year in Mumbai and began in other parts of Maharashtra until May 2020 . The film was filmed using anamorphic cameras , to give it a "" grittier "" look . Jai Bhim was released worldwide on 3 June 2021 , to generally good reviews from critics .It grossed over $ 120 million globally , making it one of the highest - grossing Indian cinema of all time .","In the 2021 Indian action film Jai Bhim, starring Akshay Kumar, Riteish Deshmukh, and Tamannah Bhatia, Sajid Khan is directed by and produced by Fox Star Studios. The story follows Aksilik Kumar's character Bhulley, who is accused of a crime he did not commit but is determined to clear his name and restore justice to his town."
14,"The Central Connecticut Conference ( CCC ) is an NCAA Division I conference in the United States . The conference was founded in 1973 as the New England Collegiate Conference ( NEC ) . In 2002 , the NEC merged with the Yankee Conference to form the CCC . The conference has ten members : Bryant , Central Connecticut State , Eastern Connecticut State , Fairfield , Hartford , Sacred Heart , Western Connecticut State , and Yale .","The CCC, a NCAA Division I conference in the United States, is made up of ten members including Bryant, Central Connecticut State, Eastern Connecticut-State, Fairfield, Hartford, and Yale. It was originally known as the New England Collegiate Conference (NEC) but later became affiliated with the Yankee Conference in 2002."
15,"The Borderland series of urban fantasy novels by New York Times best - selling author Patricia Briggs is set in a world where the border between our world and the Fae realm is permeable and sometimes difficult to spot . The series follows a group of humans and Fae who live and work in this borderland , and their struggles to keep the two worlds separate . The first book in the series , The Shift , was published in 2004 and tells the story of sheriff Kaylee Sullivan , who is called to investigate a series of disappearances on the other side of the border . As she investigates , she discovers that the Fae are using humans as pawns in a larger game , and she must fight to protect her friends and avert a Fae invasion of her home town .The Borderland series has been praised for its highly - defined characters and its sophisticated plot . Fans of urban adventure novels are sure to enjoy the series , which is suitable for all ages .","Patricia Briggs' Borderland series of urban fantasy novels portrays a world where the boundary between the human and Fae realm is inhospitable and often blurred, with characters struggling to maintain their identities. The first book in the series, The Shift, was published in 2004. It tells the story of sheriff Kaylee Sullivan who is called to investigate nabliging fugitives."
16,"Xian refers to a person or thing that is in the middle , in between , or at an intermediate stage . It can also mean a place or state of equilibrium or balance . The term "" Xian "" is composed of the characters "" xian "" meaning "" in the middle "" or "" intermediate "" , and "" ren "" meaning "" person or thing "" . The Xian in Taoism refers to a person who is in the middle of the process of became Tao , or the ultimate truth . This individual has to pass through a lot of trials and tribulations in order to reach their objectives .They have to be willing to shift and evolve , and they must be willing to let go of things that are no longer required .","The term Xian can be used to describe a person or object that is in the middle, intermediate, or midway of its development. It also has the meaning of being in equilibrium or balance and contains the characters xian and ren."
17,"Death of Cook is the name of a small , unidentified extinct hominin species . It is so far the only known member of its genus and family . The death of Cook is a unusual incident in the history of human evolution . Cook ' s remains were discovered in 2003 at the location of a archaeological dig in Kibish , Ethiopia , and have provided new insights into the human ancestry .Cook was about 1 . 5 meters height and had an estimated weight of about fifty kilograms . He had a small skull and strong body proportions typical of early Homo sapiens . His teeth and bones suggest that he ate a diet rich in animal matter , which perhaps have contributed to his sturdy physique . Cook ' s remains offer new information about our evolutionary history and the beginnings of early Homo sapiens .His finding suggests that our ancestors were more physically robust and competent than previously thought , and that they may have been able to survive in colder climates than previously thought .","The hominin genus and family members have only known one member named Death of Cook, which is an unidentified species. The discovery of his remains in Kibish, Ethiopia in 2003 during an archaeological dig has provided new insights into human ancestry."
18,"The history of Madagascar is distinguished clearly from that of neighbouring islands by its unique blend of traditional and colonial influences . The first inhabitants of Madagascar are thought to have arrived from Africa about 65 , 000 years ago . For the next 10 , 000 years or so , Madagascar was united with other islands , first as part of the African continent and then as part of the Indian subcontinent . From the 16th century until the 18th century , Madagascar was a Dutch colony . In 1795 it became a French colony . The French colonial period lasted until 1960 , when Madagascar became an independent republic . Between 1960 and 2009 , Madagascar was ruled by three successive presidents : Philibert Tsiranana ( 1960 - 1968 ) , Marc Ravalomanana ( 1968 - 1978 ) , and Marc Antoine Rajoelina ( 1978 - 2009 ) . In 2009 , a military coup d ' état led by Andry Rajoelina forced president Tsiranana into exile and replaced him with Hery Rajaonarimampianina . Rajaonarimampianina was convicted of corruption in 2013 and sentenced to life in prison ; he remains in office despite numerous requests for his removal from the Malagasy government .The island of Madagascar is situated in the Indian Ocean off the southeast shore of Africa . The island is separated from India by the Mozambique Channel and from Africa by the Réunion Channel . The total land region is approximately 25 , 000 square kilometres ( 10 , 000 square miles ) . The","Madagascar's history stands out from the rest of the neighboring islands due to its blend of traditional and colonial influences. Its original inhabitants are believed to have migrated from Africa around 65 thousand years ago. Over the next 10 million years, Madagascar was united with other islands, including the African continent and the Indian subcontinent. During the 16th and 18th centuries, it was a Dutch colony before becoming occupied by France in 1795."
19,"The Sony α NEX - 7 is a digital mirrorless interchangeable lens camera announced by Sony on February 3 , 2014 . It replaces the withdrawn NEX - 5R , and is the successor to the NEX - 5 .","Sony announced on February 3, 2014, that the NEX- 7 would be the successor to the previously discontinued NIKE  5R and its successor, the digital mirrorless interchangeable lens camera."
20,"Israel ( Yisrol ) Grodner ( ; ca . 1848 – February 2 , 1914 ) was a Romanian - born Hungarian rabbi and researcher of the Chassidic movement . He is better known as the writer of the seminal book on Chassidic thought , "" Tanya "" . Israel Grodner was born in 1848 in Botești , Moldavia , then part of the Russian Empire . After studying at the University of Moscow and at the University of Vienna , he becoming rabbi of Sfântu Gheorghe , Romania in 1881 . He is better known for his book on Chassidism , which he began publishing in 1896 .Grodner died in 1914.","Born in Botești, Moldavia, Israel Grodner was a Hungarian-born rabbi who became known as ""Tanya"" and later studied the Chassidic movement. He is also recognized for his contributions to the movement's progress."
21,"Cimarron is a 1931 pre - Code epic Western film directed by John Ford and starring Henry Fonda and Barbara Stanwyck . The story of Cimarron is set in 1849 in the Texas Territory . John Ringo , a young man of mixed Spanish and American Indian heritage , is falsely accused of murdering a white man . He flees to Mexico and becomes a bandit , but eventually is pardoned by the Mexican government and returns to Texas . There he meets and falls in love with the beautiful Barbara Stanwyck . When Ringo learns that his family is being threatened by the man who falsely accused him , he sets out to find and kill him .Along the way he encounters a group of people who are trying to find their way in a new world – farmers , trappers , outlaws , and cowboys .","In the Texas Territory in 1849, John Ringo, a young man of mixed Spanish and American Indian heritage, is falsely accused of murdering. He later becomes an organized criminal and is pardoned by the Mexican government before returning to Texas where he meets Mary Jane."
22,"Melvin Henry Roberts ( January 18 , 1943 – October 17 , 1995 ) was an American professional baseball player . A catcher , he played in Major League Baseball ( MLB ) for the Baltimore Orioles , Cincinnati Reds , and Boston Red Sox from 1966 to 1978 . Roberts was born in Memphis , Tennessee and attended Booker T . Washington High School in Memphis . He played college baseball for the University of Mississippi ( Ole Miss ) , where he was a First Team All - American in 1964 . The following season , he was drafted by the Baltimore Orioles in the first round of the 1965 MLB draft .Roberts made his MLB debut with the Orioles in 1966 and became a regular player over the subsequent four seasons . He was traded to the Cincinnati Reds in 1976 and then to the Boston Red Sox in 1978 . In 1979 , he was selected an All - Star for the first time . After finishing his career with the Red Sox in 1978 , Roberts made a manager for the Baltimore Orioles . He died of cancer at age 50 in 1995 .","A catcher, Melvin Henry Roberts played for the Baltimore Orioles, Cincinnati Red Sox, and Boston RedSox during his time in Major League Baseball. He was born in Memphis, Tennessee, but later went to college baseball at the University of Mississippi in Ole Miss, where he was named a First Team All-American in 1964 and was recognized as 'Better than ever before' on multiple occasions."
23,"Love Season is the first studio album by American singer - singer Brett Eldredge . The album was released on May 5 , 2018 , by Atlantic Records . The album was produced by Greg Kurstin and features collaborations with Meghan Trainor , Little Big Town , and Kelly Clarkson .The album charted at number one on the "" Billboard "" 200 chart and has since been certified Platinum by the Recording Industry Association of America ( RIAA ) . Love Season received mixed critics from music reviewers . At Metacritic , which assigns a normalized rating out of 100 to reviews from mainstream publications , the album garnered an average score of 58 , based on 17 reviews .In a positive review for "" Rolling Stone "" , David Fricke wrote that Eldredge is "" a captivating artist with a winning voice and knack for finding the right song to told his story "" , stating that "" Love Season is an engaging debut "" . In a mixed review for "" The Observer "" , Kitty Empire called the record "" middling "" and added that "" Eldredge ' s lacklustre lyrics get lost in production that hews too tightly to the recent Top 40 template "" .","Brett Eldredge's debut album, Love Season, was released on May 5, 2018, by Atlantic Records. It was produced by Greg Kurstin and features collaborations with Meghan Trainor, Little Big Town, and Kelly Clarkson. The album achieved platinum certification from the Recording Industry Association of America (RIAA), despite receiving mixed reviews from music critics."
24,"Lidia Karen Zapata Campos ( born 28 December 1971 ) is a Mexican politician aligned with the Institutional Revolutionary Party . From 2007 to 2009 she served as Deputy of the LX Legislature of the Mexican Congress representing Aguascalientes . Karen Zapata was born in Aguascalientes , Mexico on December 28 , 1971 . She studied at the Universidad Autónoma de Aguascalientes and subsequently collaborated as a journalist for various local media outlets .In 2007 , Zapata was elected to represent Aguascalientes in the LX Legislature of the Mexican Congress . During her period in office , she served as the Chair of the Commission on Social Development and as a member of the Committees on Women ’ s Rights , Education , and Human Rights . In 2009 , Zapata was elected Deputy Secretary for Social Welfare and Development by President Felipe Calderón . During her tenure , she served to expand access to social assistance for low - income parents , enhance medical coverage for kids , and develop strategies to reduce baby poverty .Karen Zapata is married and has two kids .","The Institutional Revolutionary Party member and politician Lidia Karen Zapata Campos was born on December 28, 1971, in Aguascalientes, Mexico. She held the position of Deputy to the LX Legislature of the Mexican Congress from 2007 to 2009."
25,"On September 13 , 2020 , most of the Princess Bride cast will reunite for a Princess Bride Reunion at the Hollywood Bowl in Los Angeles , California . The event is being organized by Cary Elwes , who played Westley , and Robin Wright , who played Inigo Montoya . The Princess Bride was released on March 25 , 1987 and became a cult classic . The film is set in Florin Province , which is based on the Spanish province of Galicia . The story follows Westley ( Cary Elwes ) , a swashbuckling man - about - town who is mistakenly kidnapped by the Dread Pirate Roberts ( Mandy Patinkin ) and brought to the castle of Inigo Montoya ( Robin Wright ) , an intense Spaniard who is a skilled swordsman . Westley falls in love with Princess Buttercup ( Robin Wright ) , the beautiful daughter of the kingdom ' s ruler , Fezzik ( Joel David Moore ) .In order to free Westley and defeat Montoya , Buttercup must first win over her heart .","The Princess Bride Reunion, set to take place on September 13th, 2020 at the Hollywood Bowl in Los Angeles, will be acted by Cary Elwes and Robin Wright."
26,"Hatanpää is a district in Tampere , Finland . It is situated in the southeastern part of the cities , neighboring the districts of Keski - Tampere , Orivesi , and Vallila . The population of Hatanpää was 21 , 288 as of December 31 , 2010 . The term Hatanpää is a compound word consisting of "" hata "" , meaning fox , and "" pää "" , meaning hill . The neighborhood takes its name from the mountain on which the former Hatanpää Market used to be located . The market was demolished in the early 1960s and replaced by a shopping mall .Hatanpää is home to Tampere University of Technology ( TUT ) , which has a large facility in the district . Other significant facilities in Hatanpää include Tampere Hospital , Hatanpää Church , and Hatanpää primary school .","Hatanpää, a district in Tampere, Finland, is located in the southeast of cities and borders the districts of Keski - Tampiere (for Germans only), Orivesi, and Vallila. The city has fewer than 288 residents as of December 31 2010; the name for the neighborhood is derived from the word ""hata,"" which means fox, while the alternative term ""päät"" meaning hill."
27,"WMML ( 1230 AM ) is a radio station transmitting a News / Talk format . Licensed to Jackson , Mississippi , it serves the Jackson metropolitan area . The station is currently owned by Jackson Media LLC . WMML began went on the air on December 12 , 1970 , as WQIK - FM , airing a Top 40 format . In 1979 , the station switched its call signs to WMGK and switched to a Country music format . In 1985 , the station switched its call signs to WQMJ and became an all - news radio station .In 2000 , WQMJ became WMML and switched to a News / Talk format .","The radio station WMML (1230 AM) is licensed to broadcast in Jackson, Mississippi and serves the Jackson metropolitan area. It started as WQIK - FM on December 12, 1970, and has been running since 1979."
28,"In October , 1982 , three members of an Litton Industries subsidiary were killed when a vehicle laden with bomb detonated in a San Francisco parking yard . The attack was the deadliest militant act in United States history until the September 11th , 2001 bombing .","A vehicle containing explosives detonated in a San Francisco parking lot in October 1982, killing three members of dozens of Littin Industries subsidiary. This was the deadliest act of militant activity in US history until the September 11th, 2001 bombing."
29,"The Denver Guardian was a fake news website that purported to be a news outlet for the cities of Denver , Colorado . The blog was formed in November 2017 by an unknown person or persons , and purports to be a humorous news website . The Denver Guardian was founded as a humorous news website in November 2017 . The blog purports to be a news outlet for the cities of Denver , Colorado , but is actually a fake news website . The blog is designed to parody real - world news outlets and hoax stories that have circulated on social media .The Denver Guardian has published articles that are intended to parody real - world news articles , such as a story about an outbreak of Shigella in the cities of Denver . The portal also produces articles that are fabricated hoaxes , such as a story about the president of the United States being arrested in the cities of Denver .","An anonymous blog created in November 2017 by an unknown person is now known as The Denver Guardian, a fake news website that purports to be based in the cities."
30,"The Raven ' s Claw is an all - male senior organization founded at Yale University in 1825 . The organization has an elaborate secret handshake , a tradition of wore black corduroy pants , and a clubhouse on Old Campus . Founded at Yale University in 1825 , the Raven ' s Claw is an all - male senior organization with an elaborate secret handshake and a tradition of wore black corduroy pants . The society ' s clubhouse is situated on Old Campus .Members of the Raven's Claw often participate in philanthropy and service projects.","An all-male senior organization founded at Yale University in 1825, the Raven's Claw has a clubhouse on Old Campus and is known for its elaborate secret handshake and tradition of wearing black corduroy pants."
31,"The Helena Confederate Cemetery is situated in Helena , Arkansas . It is one of the few Confederate cemeteries in the United States . The original cemetery was founded in 1865 , and it was expanded in 1866 and 1892 . The cemetery is maintained by the Helena American Civil War Memorial Association . The Helena Confederate Cemetery is situated in Helena , Arkansas . It is one of the few Confederate cemeteries in the United States . The original cemetery was founded in 1865 , and it was expanded in 1866 and 1892 .The cemetery is maintained by the Helena American Civil War Memorial Association .","In the state of Arkansas, The Helena Confederate Cemetery is one of the few Congregate Cemeteries in the United States. It was established in 1865 and expanded in a later year during the Eisenhower War. The cemetery is managed by the Helenn American Civil War Memorial Association."
32,"Plutopia : Nuclear Families , Atomic Cities , and the Quest for a Perfect Future is a book by Kirkpatrick Sale about the history of theories about the future , from utopianism to post - apocalyptic fiction . The book covers a broad variety of subjects , from nuclear parents and atomic cities to the quest for a perfect future . It provides an in - depth look at how various person have dreamed the future , and how these ideas have transformed our world today .Plutopia is an exploration of the many ways that individuals have dreamed the future , from utopianism to post - apocalyptic fiction . It provides an in - depth look at how various person have conceived of the perfect world , and how these concepts have transformed our world today .","The book, titled Plutopia: Nuclear Families, Atomic Cities, and the Quest for a Perfect Future, by Kirkpatrick Sale, explores the history of theories regarding the future, including utopian and post-apocalyptic fiction. It provides an in-depth exploration of how different individuals have imagined what the afterlife could be and how this influenced our contemporary world."
33,"Wolfgang Solz ( 12 February 1940 – 24 October 2017 ) was a German conductor . Wolfgang Solz was born in Würzburg , Germany . He began his artistic training as a violinist at the age of six and later studied composition with Heinrich Schenker and conducting with Karl Richter . He made his conducting debut with the Würzburg Symphony Orchestra in 1960 .Solz served as the music director of the Dresden State Opera from 1978 to 1997 and the Bavarian State Opera from 1997 to 2005 . He also worked as the music director of the Berlin State Opera from 1991 to 2005 , and was chosen honorary conductor of the Bayreuth Festival in 2003 . Solz death on 24 October 2017 , aged 80 .","Wolfgang Solz, who was born in Würzburg, Germany, on February 12, 1940 and formerly worked as a violinist, studied composition with Heinrich Schenker, and conducted concerts with Karl Richter. He made his first conducting debut for the Wehrburg Symphony Orchestra in 1960 and served as music director of the Dresden State Opera from 1978 to 1997 and the Bavarian State Opern since 1997-2005."
34,"Rahila Hameed Khan Durrani is a Pakistani politician who has been a member of the National Assembly of Pakistan since August 2018 . Durrani was born on 1 January 1975 in Karachi , Sindh , Pakistan . She is a alumnus of the University of Karachi .Durrani has worked as a journalist for various periodicals , notably "" The News "" , "" Dawn "" and "" The Nation "" . She has additionally been involved in politics , having been a member of the Pakistan Peoples Party ( PPP ) since 2007 . From April to July 2018 , she served as the provincial president for the PPP in Sindh .Durrani was elected to the National Assembly of Pakistan as a candidate of the PPP on August 18, 2018.","A former student of the University of Karachi and a well-known journalist, Rahila Hameed Khan Durrani has been affiliated with various publications such as ""The News,"" "" Dawn,"" and "" The Nation."" She is also presently involved in politics, having served as Deputy Speaker of both the House of Representatives for three terms beginning in August 2018."
35,"A full - time job is employment in which a person works a setting number of hours each week , generally 40 hours . In some countries , full - time employment is the norm , while in others it is less common . The term "" full - time job "" can describe to a variety of different kinds of jobs , including traditional occupations where a person works a setting number of hours each day , week , or month , as well as part - time occupations where a person works fewer hours each week than 40 . In some cases , people may work full time but be paying for less hours worked than 40 per month because their employer operates on a shift scheme .There are many motives why individuals might work full time rather of part time . Some individuals need to have more autonomy in their daily timetable , while many may need to have more stability in their job life . Full - time positions can offer benefits such as health insurance , pension planning , and pay vacation days .","A full-time job involves working a specific number of hours per week, which is typically 40 hours. This term is used for both traditional and part-timing jobs in various countries."
36,"Yu Lihua ( , 28 November 1929 – 10 January 2002 ) , born in Wuhan , Hubei , was a Chinese composer , who is better known for his symphonic works . Yu Lihua was born on 28 November 1929 in Wuhan , Hubei Province . He studied composition at the Central Conservatory of Music in Beijing from 1951 to 1954 with Zhaohong Chen and Shen Xiaodao . He then continued his education at the University of Illinois at Urbana - Champaign ( USA ) from 1954 to 1956 , where he was influenced by John Cage .Yu Lihua ' s debut symphony , "" The White - Haired Girl "" , was premiered in Beijing in 1957 . The piece was given the First Prize at the 5th National Composers ' Conference and has been performed by major musicians around the world . His third symphony , "" The Red Chamber "" , was also premiered in Beijing in 1967 and has also been performed by major musicians around the world . Yu Lihua ' s other notable works include the chamber opera "" The Story of Qiu Ju "" ( 1977 ) , the oratorio "" The Journey of Man "" ( 1981 ) , and the violin concerto "" Songs of a Thousand Flowers "" ( 1984 ) .He died on 10 January 2002 in Beijing .","Yu Lihua, a Chinese composer born in Wuhan, Hubei Province on 28 November 1929, is most recognized for his symphonic works. He studied composition with Zhaohong Chen and Shen XiaodaO at the Central Conservatory of Music in Beijing from 1951 to 1954."
37,"Robert Powell ( born 1932 in Benoit , Mississippi ) is an American composer . He attended the University of Southern Mississippi and then trained under Darius Milhaud at the Paris Conservatory . Powell has written music for movies , television , ballet , and opera . He has won several awards , including a Grammy Award and a Emmy Award .","Born in Benoit, Mississippi in 1932, Robert Powell is an American composer who studied at the University of Southern Mississippi and received training at Darius Milhaud's Paris Conservatory. He has written music for various types of media, including movies, television shows, ballet, opera, and rock songs, earning him multiple Grammy Award and Emmy Awards nominations."
