Unnamed: 0,original text,watermarked text
16,"A person or object that is in the middle, intermediate, and between. The term ""Xian"" can also denote a place or state of balance. It is made up of the letters ""xian"" and ""ren"", which respectively mean ""person/thing"" (the same as the case for Tao) and those who are in mid-way through the journey of becoming TaO.","Xian refers to a person or thing that is in the middle , in between , or at an intermediate stage . It can also mean a place or state of equilibrium or balance .The term "" Xian "" is composed of the characters "" xian "" meaning "" in the middle "" or "" intermediate "" , and "" ren "" meaning "" person or thing "" . The Xian in Taoism refers to a person who is in the middle of the process of became Tao , or the ultimate truth .This individual has to pass through a lot of tests and tribulations in order to reach their objectives . They have to be willing to shift and evolve , and they must be willing to let go of things that are no longer required ."
17,"Death of Cook is the only known member of the hominin genus and family, which is a small, unidentified species. The discovery was made during an archaeological dig in Kibish, Ethiopia in 2003. It provides new information about the history of human evolution.","Death of Cook is the name of a small , unidentified extinct hominin species . It is so far the only known member of its genus and family .The death of Cook is a unique event in the history of human evolution . Cook ' s remains were discovered in 2003 at the location of a archaeological dig in Kibish , Ethiopia , and have provided new insights into the human ancestry .Cook was about 1 . 5 meters height and had an estimated weight of about fifty kilograms . He had a small skull and strong body proportions typical of early Homo sapiens .His teeth and bones suggest that he ate a diet rich in animal matter , which may have contributed to his sturdy physique . Cook ' s remains offer new details about our evolutionary history and the beginnings of early Homo sapiens .His finding suggests that our ancestors were more physically robust and competent than previously thought , and that they may have been able to survive in colder climates than previously thought ."
18,"Madagascar's history is distinguished from that of its neighbouring islands by its fusion of traditional and colonial practices. Its original inhabitants are believed to have migrated from Africa around 65,000 years ago, and over the next 10,000 years, Madagascar was merged with other islands, initially as part of the African continent and then aspartment in the Indian subcontinent. During the 16th century until 1795, it was Dutch colonized, followed later by the French revolution, which resulted in its independence in 1960.","The history of Madagascar is distinguished clearly from that of neighbouring islands by its unique mix of traditional and colonial influences . The first inhabitants of Madagascar are said to have arrived from Africa about 65 , 000 years previously .For the subsequent 10 , 000 years or so , Madagascar was united with other islands , first as part of the African continent and then as part of the Indian subcontinent . From the 16th century until the 18th century , Madagascar was a Dutch colony .In 1795 it joined a French colony . The French colonial period lasted until 1960 , when Madagascar gained an independent nation .Between 1960 and 2009 , Madagascar was ruled by three consecutive presidents : Philibert Tsiranana ( 1960 - 1968 ) , Marc Ravalomanana ( 1968 - 1978 ) , and Marc Antoine Rajoelina ( 1978 - 2009 ) . In 2009 , a army coup d ' état led by Andry Rajoelina pushed president Tsiranana into exile and replaced him with Hery Rajaonarimampianina .Rajaonarimampianina was convicted of corruption in 2013 and sentenced to life in prison ; he continues in office despite several demands for his removal from the Malagasy cabinet . The island of Madagascar is situated in the Indian Ocean off the southeast shore of Africa .The archipelago is separated from India by the Mozambique Channel and from Africa by the Réunion Channel . The total land region is approximately 25 , 000 square kilometres ( 10 , 000 square miles ) .The"
19,"Sony announced on February 3, 2014 that the NEX-7, a digital mirrorless interchangeable lens camera, would replace the previously discontinued NES-5R.","The Sony α NEX - 7 is a digital mirrorless interchangeable lens camera announced by Sony on February 3 , 2014 . It replaces the withdrawn NEX - 5R , and is the successor to the NEX - 5 ."
20,"The author of the renowned Chassidic work ""Tanya"", Israel Grodner, who was born in Botești, Moldavia, in 1848, is credited with being one of its most prominent figures. He was also educated at the University of Moscow and later became the first rabbi of Sfântu Gheorghe, Romania in ca. 1858.","Israel ( Yisrol ) Grodner ( ; ca . 1848 – February 2 , 1914 ) was a Romanian - born Hungarian rabbi and researcher of the Chassidic movement .He is better known as the writer of the seminal book on Chassidic thought , "" Tanya "" . Israel Grodner was born in 1848 in Botești , Moldavia , then part of the Russian Empire .After studying at the University of Moscow and at the University of Vienna , he becoming rabbi of Sfântu Gheorghe , Romania in 1881 . He is better known for his book on Chassidism , which he began publishing in 1896 .Grodner died in 1914."
21,"John Ford directed Cimarron, a pre-Code epic Western film from 1931 that follows the story of John Ringo, an unarmed man of Spanish and American Indian descent who is falsely accused of murdering ten years before his death. He then becomes extortionately evading the authorities in Mexico and returns to Texas where he meets and falls in love with the beautiful Barbara Stanwyck.","Cimarron is a 1931 pre - Code epic Western movie directed by John Ford and starring Henry Fonda and Barbara Stanwyck . The tale of Cimarron is setting in 1849 in the Texas Territory .John Ringo , a young man of mixed Spanish and American Indian ancestry , is falsely convicted of murdering a white man . He flees to Mexico and becomes a bandit , but ultimately is pardoned by the Mexican government and goes to Texas .There he meets and falls in love with the lovely Barbara Stanwyck . When Ringo discovers that his family is being threatened by the man who falsely convicted him , he sets out to find and kill him .Along the way he encounters a group of people who are trying to find their way in a new world – farmers , trappers , outlaws , and cowboys ."
22,"Melvin Henry Roberts, a professional catcher, was born in Memphis, Tennessee, and played for the Baltimore Orioles (Marvel, Kansas) in Major League Baseball from 1966 to 1978. He also played baseball at the University of Mississippi (Ole Miss), where he was drafted into the league as batting batter.","Melvin Henry Roberts ( January 18 , 1943 – October 17 , 1995 ) was an American professional baseball player . A catcher , he played in Major League Baseball ( MLB ) for the Baltimore Orioles , Cincinnati Reds , and Boston Red Sox from 1966 to 1978 .Roberts was born in Memphis , Tennessee and attended Booker T . Washington High School in Memphis . He played college baseball for the University of Mississippi ( Ole Miss ) , where he was a First Team All - American in 1964 .The following season , he was drafted by the Baltimore Orioles in the first round of the 1965 MLB draft . Roberts made his MLB debut with the Orioles in 1966 and became a regular player over the subsequent four seasons .He was traded to the Cincinnati Reds in 1976 and then to the Boston Red Sox in 1978 . In 1979 , he was selected an All - Star for the first time .After finishing his career with the Red Sox in 1978 , Roberts becoming a coach for the Baltimore Orioles . He died of cancer at age 50 in 1995 ."
23,"The album, Love Season, was released on May 5, 2018, by Atlantic Records. It was produced by Brett Eldredge and features collaborations with Meghan Trainor, Little Big Town, and Kelly Clarkson. Despite receiving mixed reviews from music critics, the album debuted at number one on the ""Billboard"" 200 chart and has since been certified Platinum by the Recording Industry Association of America (RIAA).","Love Season is the first studio album by American singer - singer Brett Eldredge . The album was released on May 5 , 2018 , by Atlantic Records .The album was produced by Greg Kurstin and features collaborations with Meghan Trainor , Little Big Town , and Kelly Clarkson . The album charted at number one on the "" Billboard "" 200 chart and has since been certified Platinum by the Recording Industry Association of America ( RIAA ) .Love Season received mixed critics from music reviewers . At Metacritic , which assigns a normalized rating out of 100 to reviews from mainstream publications , the album garnered an average score of 58 , based on 17 reviews .In a positive review for "" Rolling Stone "" , David Fricke wrote that Eldredge is "" a captivating artist with a winning voice and knack for finding the right song to told his story "" , stating that "" Love Season is an engaging debut "" . In a mixed review for "" The Observer "" , Kitty Empire called the record "" middling "" and added that "" Eldredge ' s lacklustre lyrics get lost in production that hews too tightly to the recent Top 40 template "" ."
24,"A Mexican politician with the Institutional Revolutionary Party, Lidia Karen Zapata Campos was born on 28 December 1971. She served as a reporter for local media outlets before being elected to represent Aguascalientes in the LX Legislature ofthe Mexican Congress in 2007.","Lidia Karen Zapata Campos ( born 28 December 1971 ) is a Mexican politician aligned with the Institutional Revolutionary Party . From 2007 to 2009 she served as Deputy of the LX Legislature of the Mexican Congress representing Aguascalientes .Karen Zapata was born in Aguascalientes , Mexico on December 28 , 1971 . She studied at the Universidad Autónoma de Aguascalientes and subsequently collaborated as a journalist for various local media outlets .In 2007 , Zapata was elected to represent Aguascalientes in the LX Legislature of the Mexican Congress . During her period in office , she served as the Chair of the Commission on Social Development and as a member of the Committees on Women ’ s Rights , Education , and Human Rights .In 2009 , Zapata was elected Deputy Secretary for Social Welfare and Development by President Felipe Calderón . During her tenure , she served to expand access to social assistance for low - wealth families , enhance medical coverage for kids , and develop strategies to reduce baby poverty .Karen Zapata is married and has two kids ."
25,"Cary Elwes and Robin Wright will co-host a Princess Bride Reunion at the Hollywood Bowl in Los Angeles on September 13, 2020.","On September 13 , 2020 , most of the Princess Bride cast will reunite for a Princess Bride Reunion at the Hollywood Bowl in Los Angeles , California . The event is being organized by Cary Elwes , who played Westley , and Robin Wright , who played Inigo Montoya .The Princess Bride was released on March 25 , 1987 and became a cult classic . The film is setting in Florin Province , which is based on the Spanish province of Galicia .The plot involves Westley ( Cary Elwes ) , a swashbuckling man - about - town who is incorrectly abducted by the Dread Pirate Roberts ( Mandy Patinkin ) and brought to the castle of Inigo Montoya ( Robin Wright ) , an aggressive Spaniard who is a skilled swordsman . Westley falls in romance with Princess Buttercup ( Robin Wright ) , the lovely daughter of the kingdom ' s ruler , Fezzik ( Joel David Moore ) .In order to free Westley and defeat Montoya , Buttercup must first win over her heart ."
26,"The district of Hatanpää, located in Tampere, Finland, is situated in the southeastern part of the city near Keski-Tampere and adjacent districts Orivesi and Vallila. As of December 31, 2010, the population of this area was 21,288; the name for its district is derived from ""hata"" (fox) and ""päälä"", which means hill. The old Hatäni Market site was later demolished.","Hatanpää is a district in Tampere , Finland . It is situated in the southeastern part of the cities , neighboring the districts of Keski - Tampere , Orivesi , and Vallila .The population of Hatanpää was 21 , 288 as of December 31 , 2010 . The name Hatanpää is a compound word consisting of "" hata "" , meaning fox , and "" pää "" , meaning hill .The neighborhood takes its name from the hill on which the former Hatanpää Market used to be located . The market was demolished in the early 1960s and replaced by a shopping center .Hatanpää is home to Tampere University of Technology ( TUT ) , which has a large facility in the district . Other significant facilities in Hatanpää include Tampere Hospital , Hatanpää Church , and Hatanpää primary school ."
27,"WMML (1230 AM) is a radio station licensed for News/Talk and serves Jackson, Mississippi; it is currently owned by Jackson Media LLC. It began broadcasting on December 12, 1970, as WQIK-FM, with primarily Top 40 format. In 1979, the station changed its call letters to WMGK and then switched to Country music format (in 1985, it became an all-news radio ink).","WMML ( 1230 AM ) is a radio station transmitting a News / Talk format . Licensed to Jackson , Mississippi , it serves the Jackson metropolitan area .The station is currently owned by Jackson Media LLC . WMML first came on the air on December 12 , 1970 , as WQIK - FM , airing a Top 40 format .In 1979 , the station switched its call signs to WMGK and switched to a Country music format . In 1985 , the station switched its call signs to WQMJ and became an all - news radio station .In 2000 , WQMJ became WMML and switched to a News / Talk format ."
28,"In October 1982, a truck loaded with explosives detonated in occupied San Francisco parking lot killing three members of. This was the deadliest terror attack in United States history until the September 11, 2001 attacks on Washington D.C.","In October , 1982 , three members of an Litton Industries subsidiary were killed when a vehicle laden with bomb detonated in a San Francisco parking yard . The attack was the deadliest militant act in United States history until the September 11th , 2001 bombing ."
29,"A fake news website for the city of Denver, Colorado, known as The Denver Guardian was established in November 2017 by an unknown person. The website claims to be a satirical news outlet but is actually fabricated.","The Denver Guardian was a fake news portal that purported to be a news outlet for the cities of Denver , Colorado . The blog was established in November 2017 by an unknown person or persons , and purports to be a humorous news website .The Denver Guardian was formed as a humorous news portal in November 2017 . The blog purports to be a news outlet for the cities of Denver , Colorado , but is actually a fake news portal .The blog is designed to parody real - world news outlets and hoax stories that have circulated on social media . The Denver Guardian has published articles that are intended to parody real - world news articles , such as a story about an outbreak of Shigella in the town of Denver .The blog additionally publishes articles that are fabricated hoaxes , such as a story about the president of the United States being arrested in the cities of Denver ."
30,"The Raven's Claw, an all-male senior society founded in 1825 at Yale University, has a clubhouse on Old Campus and is known for its elaborate handshake with black corduroy pants and tradition of participating in service projects.","The Raven ' s Claw is an all - men senior organization founded at Yale University in 1825 . The organization has an elaborate secret handshake , a tradition of wore black corduroy pants , and a clubhouse on Old Campus .Founded at Yale University in 1825 , the Raven ' s Claw is an all - men senior organization with an elaborate secret handshake and a tradition of wore black corduroy pants . The organization ' s clubhouse is situated on Old Campus .Members of the Raven's Claw often participate in philanthropy and service projects."
31,"In the state of Helena, Arkansas, there is one of only a few Confederate Cemeteries in the United States. The original cemetery was established in 1865 and enlarged in 1903, 1866, and 1892.The cemetery is managed by the Helenn American Civil War Memorial Association.","The Helena Confederate Cemetery is situated in Helena , Arkansas . It is one of the few Confederate cemeteries in the United States .The original cemetery was founded in 1865 , and it was expanded in 1866 and 1892 . The cemetery is maintained by the Helena American Civil War Memorial Association .The Helena Confederate Cemetery is situated in Helena , Arkansas . It is one of the few Confederate cemeteries in the United States .The original cemetery was founded in 1865 , and it was expanded in 1866 and 1892 . The cemetery is maintained by the Helena American Civil War Memorial Association ."
32,"The book, titled Plutopia: Nuclear Families, Atomic Cities, and the Quest for a Perfect Future, by Kirkpatrick Sale delves into the history of ideas about the future, from utopianism to post-apocalyptic fiction. It examines various ways in which people have imagined what the coming years might bring, as well as how these ideas have shaped our world today.","Plutopia : Nuclear Families , Atomic Cities , and the Quest for a Perfect Future is a book by Kirkpatrick Sale about the history of theories about the future , from utopianism to post - apocalyptic fiction . The book covers a broad variety of subjects , from nuclear communities and atomic cities to the pursuit for a perfect future .It provides an in - depth look at how various person have dreamed the future , and how these ideas have transformed our world today . Plutopia is an exploration of the many ways that citizens have dreamed the future , from utopianism to post - apocalyptic fiction .It provides an in - depth look at how various person have conceived of the perfect world , and how these concepts have transformed our world today ."
33,"Wolfgang Solz, a German conductor, was born in Würzburg, Germany on February 12, 1940. He began his musical training as neoastrianism at the age of six and studied composition with Heinrich Schenker and conducting with Karl Richter. In 1960, they made their debut conducting debuts with the Wehrburg Symphony Orchestra. Solza served as music director of the Dresden State Opera from 1978 to 1997 and the Bavarian State Oper from 1997 to 2005.","Wolfgang Solz ( 12 February 1940 – 24 October 2017 ) was a German conductor . Wolfgang Solz was born in Würzburg , Germany .He began his artistic training as a violinist at the age of six and later studied composition with Heinrich Schenker and conducting with Karl Richter . He made his directing debut with the Würzburg Symphony Orchestra in 1960 .Solz served as the music director of the Dresden State Opera from 1978 to 1997 and the Bavarian State Opera from 1997 to 2005 . He also worked as the music director of the Berlin State Opera from 1991 to 2005 , and was chosen honorary conductor of the Bayreuth Festival in 2003 .Solz death on 24 October 2017 , aged 80 ."
34,"A Pakistani politician named Rahila Hameed Khan Durranis was born in Karachi, Sindh on 1 January 1975. She has been a journalist for publications such as ""The News"", ""Dawn"" and "" The Nation"". She is also affiliated with the Pakistan Peoples Party (PPP) since 2007, serving as an elected official from April to July 2018. From 2017 to 2018, she serves as the provincial spokesperson for three months after her birth.","Rahila Hameed Khan Durrani is a Pakistani politician who has been a member of the National Assembly of Pakistan since August 2018 . Durrani was born on 1 January 1975 in Karachi , Sindh , Pakistan .She is a alumnus of the University of Karachi . Durrani has worked as a journalist for various periodicals , notably "" The News "" , "" Dawn "" and "" The Nation "" .She has additionally been involved in politics , having been a member of the Pakistan Peoples Party ( PPP ) since 2007 . From April to July 2018 , she served as the provincial president for the PPP in Sindh .Durrani was elected to the National Assembly of Pakistan as a candidate of the PPP on August 18, 2018."
35,"Full-time employment is when an individual works a specific number of hours per week, usually 40. In some countries, this is the norm, but in other places it is not. The term ""full- time job"" can refer to both traditional and part-timing jobs.","A full - time job is employment in which a person works a setting number of hours each week , generally 40 hours . In some countries , full - time employment is the norm , while in others it is less common .The term "" full - time working "" can describe to a variety of different kinds of jobs , particularly traditional occupations where a person works a set number of hours each day , week , or month , as well as part - time positions where a person works fewer hours each week than 40 . In some cases , people may work full time but be paying for less hours worked than 40 per month because their employer operates on a shift scheme .There are many motives why individuals might work full time rather of part time . Some individuals need to have more autonomy in their daily timetable , while many may need to have more stability in their job life .Full - time employees can offer benefits such as health insurance , pension planning , and paying holiday days ."
